"year","age_gr","education","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","16-34 y.","college entrance qualification","5.36","5.33","1579","5.32","5.4","4.33333349227905","4.66666650772095","6","6.33333349227905"
"2005","16-34 y.","lower secondary degree","5.33","5.33","949","5.27","5.39","4","4.66666650772095","6","6.66666650772095"
"2005","16-34 y.","no degree/no degree yet","5.4","5.33","694","5.33","5.47","4","4.66666650772095","6","6.66666650772095"
"2005","16-34 y.","Other degree","5.56","5.67","155","5.39","5.73","4","4.66666650772095","6.66666650772095","7"
"2005","16-34 y.","secondary school degree","5.43","5.67","1613","5.38","5.48","4.33333349227905","5","6","6.66666650772095"
"2005","35-65 y.","college entrance qualification","5.43","5.33","3054","5.4","5.46","4.33333349227905","4.66666650772095","6","6.66666650772095"
"2005","35-65 y.","lower secondary degree","5.42","5.33","3722","5.39","5.45","4","4.66666650772095","6.33333349227905","6.66666650772095"
"2005","35-65 y.","no degree/no degree yet","5.44","5.33","145","5.25","5.63","4","4.66666650772095","6.33333349227905","7"
"2005","35-65 y.","Other degree","5.52","5.67","790","5.45","5.59","4","4.66666650772095","6.33333349227905","7"
"2005","35-65 y.","secondary school degree","5.43","5.67","3870","5.4","5.46","4","4.66666650772095","6","6.66666650772095"
"2005","66 and older","college entrance qualification","5.56","5.67","569","5.48","5.64","4","4.66666650772095","6.33333349227905","7"
"2005","66 and older","lower secondary degree","5.65","5.67","2433","5.61","5.69","4.33333349227905","5","6.66666650772095","7"
"2005","66 and older","no degree/no degree yet","5.64","5.67","65","5.38","5.9","4","5","6.33333349227905","7"
"2005","66 and older","Other degree","5.55","5.67","175","5.38","5.72","4","4.66666650772095","6.66666650772095","7"
"2005","66 and older","secondary school degree","5.77","6","546","5.69","5.85","4.33333349227905","5","6.66666650772095","7"
"2006","16-34 y.","college entrance qualification","","","","","","","","",""
"2006","16-34 y.","lower secondary degree","","","","","","","","",""
"2006","16-34 y.","no degree/no degree yet","","","","","","","","",""
"2006","16-34 y.","Other degree","","","","","","","","",""
"2006","16-34 y.","secondary school degree","","","","","","","","",""
"2006","35-65 y.","college entrance qualification","","","","","","","","",""
"2006","35-65 y.","lower secondary degree","","","","","","","","",""
"2006","35-65 y.","no degree/no degree yet","","","","","","","","",""
"2006","35-65 y.","Other degree","","","","","","","","",""
"2006","35-65 y.","secondary school degree","","","","","","","","",""
"2006","66 and older","college entrance qualification","","","","","","","","",""
"2006","66 and older","lower secondary degree","","","","","","","","",""
"2006","66 and older","no degree/no degree yet","","","","","","","","",""
"2006","66 and older","Other degree","","","","","","","","",""
"2006","66 and older","secondary school degree","","","","","","","","",""
"2007","16-34 y.","college entrance qualification","","","","","","","","",""
"2007","16-34 y.","lower secondary degree","","","","","","","","",""
"2007","16-34 y.","no degree/no degree yet","","","","","","","","",""
"2007","16-34 y.","Other degree","","","","","","","","",""
"2007","16-34 y.","secondary school degree","","","","","","","","",""
"2007","35-65 y.","college entrance qualification","","","","","","","","",""
"2007","35-65 y.","lower secondary degree","","","","","","","","",""
"2007","35-65 y.","no degree/no degree yet","","","","","","","","",""
"2007","35-65 y.","Other degree","","","","","","","","",""
"2007","35-65 y.","secondary school degree","","","","","","","","",""
"2007","66 and older","college entrance qualification","","","","","","","","",""
"2007","66 and older","lower secondary degree","","","","","","","","",""
"2007","66 and older","no degree/no degree yet","","","","","","","","",""
"2007","66 and older","Other degree","","","","","","","","",""
"2007","66 and older","secondary school degree","","","","","","","","",""
"2008","16-34 y.","college entrance qualification","","","","","","","","",""
"2008","16-34 y.","lower secondary degree","","","","","","","","",""
"2008","16-34 y.","no degree/no degree yet","","","","","","","","",""
"2008","16-34 y.","Other degree","","","","","","","","",""
"2008","16-34 y.","secondary school degree","","","","","","","","",""
"2008","35-65 y.","college entrance qualification","","","","","","","","",""
"2008","35-65 y.","lower secondary degree","","","","","","","","",""
"2008","35-65 y.","no degree/no degree yet","","","","","","","","",""
"2008","35-65 y.","Other degree","","","","","","","","",""
"2008","35-65 y.","secondary school degree","","","","","","","","",""
"2008","66 and older","college entrance qualification","","","","","","","","",""
"2008","66 and older","lower secondary degree","","","","","","","","",""
"2008","66 and older","no degree/no degree yet","","","","","","","","",""
"2008","66 and older","Other degree","","","","","","","","",""
"2008","66 and older","secondary school degree","","","","","","","","",""
