"year","migback","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","direct migration background","Ostdeutschland, neue Bundeslaender","5.83","6","100","4.66666650772095","5.33333349227905","6.66666650772095","7","5.63","6.03","5.33333349227905","6"
"2005","direct migration background","Westdeutschland, alte Bundeslaender","5.54","5.67","2269","4","4.66666650772095","6.33333349227905","7","5.5","5.58","5.66666650772095","5.66666650772095"
"2005","indirect migration background","Ostdeutschland, neue Bundeslaender","5.18","5","35","4","4.66666650772095","6","6.33333349227905","4.8","5.56","4.66666650772095","5.66666650772095"
"2005","indirect migration background","Westdeutschland, alte Bundeslaender","5.43","5.33","797","4.33333349227905","4.66666650772095","6","6.66666650772095","5.36","5.5","5.33333349227905","5.66666650772095"
"2005","no migration background","Ostdeutschland, neue Bundeslaender","5.48","5.67","4916","4","4.66666650772095","6.33333349227905","6.66666650772095","5.45","5.51","5.66666650772095","5.66666650772095"
"2005","no migration background","Westdeutschland, alte Bundeslaender","5.45","5.5","12630","4","4.66666650772095","6.33333349227905","6.66666650772095","5.43","5.47","5.33333349227905","5.66666650772095"
"2006","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2008","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2008","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2008","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2008","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2008","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2008","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
