"ple0162","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2012","Not Employed","no migration background","4127","0.957603336655112","0.951608713444905","0.963597959865319"
"Yes","2012","Not Employed","direct migration background","467","0.950734039873757","0.931591024758822","0.969877054988693"
"Yes","2012","Not Employed","indirect migration background","71","0.954981035139372","0.908966407110854","1.00099566316789"
"Yes","2012","Employed","no migration background","3318","0.922466160906541","0.913749407777502","0.93118291403558"
"Yes","2012","Employed","direct migration background","370","0.924057540076804","0.898194033522804","0.949921046630803"
"Yes","2012","Employed","indirect migration background","174","0.887226593145763","0.842600377257897","0.931852809033628"
"No","2012","Not Employed","no migration background","213","0.0423966633448884","0.0364020401346814","0.0483912865550954"
"No","2012","Not Employed","direct migration background","24","","",""
"No","2012","Not Employed","indirect migration background","7","","",""
"No","2012","Employed","no migration background","298","0.0775338390934591","0.0688170859644196","0.0862505922224985"
"No","2012","Employed","direct migration background","33","0.0759424599231962","0.0500789533691967","0.101805966477196"
"No","2012","Employed","indirect migration background","19","","",""
"Yes","2013","Not Employed","no migration background","3783","0.964682038244105","0.958912630295044","0.970451446193165"
"Yes","2013","Not Employed","direct migration background","1141","0.949009748134426","0.936716279128666","0.961303217140186"
"Yes","2013","Not Employed","indirect migration background","190","0.927937146249182","0.892878918630318","0.962995373868046"
"Yes","2013","Employed","no migration background","3056","0.915533065568815","0.906103531445205","0.924962599692424"
"Yes","2013","Employed","direct migration background","346","0.939058539560041","0.915037689892238","0.963079389227844"
"Yes","2013","Employed","indirect migration background","138","0.947780413948116","0.912059255556165","0.983501572340067"
"No","2013","Not Employed","no migration background","149","0.0353179617558954","0.0295485538068352","0.0410873697049555"
"No","2013","Not Employed","direct migration background","89","0.050990251865574","0.0386967828598138","0.0632837208713342"
"No","2013","Not Employed","indirect migration background","19","","",""
"No","2013","Employed","no migration background","285","0.0844669344311851","0.0750374003075756","0.0938964685547947"
"No","2013","Employed","direct migration background","35","0.0609414604399587","0.036920610772156","0.0849623101077615"
"No","2013","Employed","indirect migration background","11","","",""
"Yes","2014","Not Employed","no migration background","","","",""
"Yes","2014","Not Employed","direct migration background","","","",""
"Yes","2014","Not Employed","indirect migration background","","","",""
"Yes","2014","Employed","no migration background","","","",""
"Yes","2014","Employed","direct migration background","","","",""
"Yes","2014","Employed","indirect migration background","","","",""
"No","2014","Not Employed","no migration background","","","",""
"No","2014","Not Employed","direct migration background","","","",""
"No","2014","Not Employed","indirect migration background","","","",""
"No","2014","Employed","no migration background","","","",""
"No","2014","Employed","direct migration background","","","",""
"No","2014","Employed","indirect migration background","","","",""
"Yes","2015","Not Employed","no migration background","3477","0.945102646260234","0.937757256584663","0.952448035935804"
"Yes","2015","Not Employed","direct migration background","745","0.925220318213266","0.907083679670062","0.94335695675647"
"Yes","2015","Not Employed","indirect migration background","104","0.898957885507933","0.843874572012013","0.954041199003853"
"Yes","2015","Employed","no migration background","2830","0.852190419953241","0.840003550290444","0.864377289616038"
"Yes","2015","Employed","direct migration background","596","0.847050762162198","0.8196939400935","0.874407584230896"
"Yes","2015","Employed","indirect migration background","179","0.842704006744818","0.793225933060423","0.892182080429214"
"No","2015","Not Employed","no migration background","217","0.0548973537397663","0.0475519640641958","0.0622427434153367"
"No","2015","Not Employed","direct migration background","63","0.0747796817867339","0.0566430432435297","0.0929163203299381"
"No","2015","Not Employed","indirect migration background","11","","",""
"No","2015","Employed","no migration background","428","0.147809580046759","0.135622710383962","0.159996449709556"
"No","2015","Employed","direct migration background","69","0.152949237837802","0.125592415769104","0.1803060599065"
"No","2015","Employed","indirect migration background","29","","",""
"Yes","2016","Not Employed","no migration background","","","",""
"Yes","2016","Not Employed","direct migration background","717","0.774368439449629","0.747240024630286","0.801496854268971"
"Yes","2016","Not Employed","indirect migration background","","","",""
"Yes","2016","Employed","no migration background","","","",""
"Yes","2016","Employed","direct migration background","","","",""
"Yes","2016","Employed","indirect migration background","","","",""
"No","2016","Not Employed","no migration background","","","",""
"No","2016","Not Employed","direct migration background","195","0.225631560550371","0.198503145731029","0.252759975369714"
"No","2016","Not Employed","indirect migration background","","","",""
"No","2016","Employed","no migration background","","","",""
"No","2016","Employed","direct migration background","","","",""
"No","2016","Employed","indirect migration background","","","",""
"Yes","2017","Not Employed","no migration background","3403","0.966669371006564","0.960739605860174","0.972599136152953"
"Yes","2017","Not Employed","direct migration background","1050","0.953225948746955","0.941157683362677","0.965294214131233"
"Yes","2017","Not Employed","indirect migration background","105","0.988901993007093","0.969052230028475","1.00875175598571"
"Yes","2017","Employed","no migration background","3166","0.939182790230179","0.931142337915632","0.947223242544725"
"Yes","2017","Employed","direct migration background","596","0.888454066746235","0.864363859743441","0.912544273749028"
"Yes","2017","Employed","indirect migration background","224","0.896300876286762","0.858734242242615","0.933867510330909"
"No","2017","Not Employed","no migration background","117","0.0333306289934361","0.0274008638470467","0.0392603941398255"
"No","2017","Not Employed","direct migration background","126","0.0467740512530446","0.0347057858687666","0.0588423166373225"
"No","2017","Not Employed","indirect migration background","2","","",""
"No","2017","Employed","no migration background","228","0.0608172097698212","0.0527767574552746","0.0688576620843679"
"No","2017","Employed","direct migration background","60","0.111545933253765","0.0874557262509715","0.135636140256559"
"No","2017","Employed","indirect migration background","29","","",""
"Yes","2018","Not Employed","no migration background","","","",""
"Yes","2018","Not Employed","direct migration background","66","0.621456814741997","0.519538635091172","0.723374994392821"
"Yes","2018","Not Employed","indirect migration background","","","",""
"Yes","2018","Employed","no migration background","","","",""
"Yes","2018","Employed","direct migration background","","","",""
"Yes","2018","Employed","indirect migration background","","","",""
"No","2018","Not Employed","no migration background","","","",""
"No","2018","Not Employed","direct migration background","21","","",""
"No","2018","Not Employed","indirect migration background","","","",""
"No","2018","Employed","no migration background","","","",""
"No","2018","Employed","direct migration background","","","",""
"No","2018","Employed","indirect migration background","","","",""
"Yes","2019","Not Employed","no migration background","3440","0.963073158732778","0.956906921890973","0.969239395574584"
"Yes","2019","Not Employed","direct migration background","1067","0.943598118682577","0.930668813374529","0.956527423990626"
"Yes","2019","Not Employed","indirect migration background","104","0.971388738182366","0.940375176870686","1.00240229949405"
"Yes","2019","Employed","no migration background","3319","0.921226254366521","0.912445986174249","0.930006522558794"
"Yes","2019","Employed","direct migration background","620","0.903430081870485","0.881688397899584","0.925171765841387"
"Yes","2019","Employed","indirect migration background","240","0.885864428200614","0.847652283500321","0.924076572900908"
"No","2019","Not Employed","no migration background","153","0.0369268412672217","0.030760604425416","0.0430930781090273"
"No","2019","Not Employed","direct migration background","156","0.0564018813174227","0.0434725760093742","0.0693311866254713"
"No","2019","Not Employed","indirect migration background","7","","",""
"No","2019","Employed","no migration background","297","0.0787737456334787","0.0699934774412063","0.087554013825751"
"No","2019","Employed","direct migration background","89","0.0965699181295145","0.0748282341586125","0.118311602100416"
"No","2019","Employed","indirect migration background","26","","",""
