"transab_cat","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"No transfer dependency","1984","16-34 y.","in school","15","","",""
"No transfer dependency","1984","16-34 y.","inadequately","52","0.208493475282896","0.162293329045521","0.25469362152027"
"No transfer dependency","1984","16-34 y.","general elemantary","232","0.190903308584106","0.168957596490444","0.212849020677768"
"No transfer dependency","1984","16-34 y.","middle vocational","695","0.357108482277106","0.336556591902294","0.377660372651917"
"No transfer dependency","1984","16-34 y.","vocational + Abi","57","0.411731727802627","0.334253956021131","0.489209499584124"
"No transfer dependency","1984","16-34 y.","higher vocational","70","0.374451642403444","0.307208211060079","0.441695073746808"
"No transfer dependency","1984","16-34 y.","higher education","118","0.498411585657547","0.435154339269552","0.561668832045542"
"No transfer dependency","1984","35-65 y.","in school","","","",""
"No transfer dependency","1984","35-65 y.","inadequately","203","0.315640156136746","0.280447740862954","0.350832571410537"
"No transfer dependency","1984","35-65 y.","general elemantary","703","0.510164323727765","0.485761177565395","0.534567469890134"
"No transfer dependency","1984","35-65 y.","middle vocational","1113","0.433820924092455","0.41564798688376","0.451993861301149"
"No transfer dependency","1984","35-65 y.","vocational + Abi","54","0.532606989659324","0.445489098108645","0.619724881210004"
"No transfer dependency","1984","35-65 y.","higher vocational","129","0.412305334045327","0.360135387808871","0.464475280281783"
"No transfer dependency","1984","35-65 y.","higher education","171","0.399072006952685","0.353926376341633","0.444217637563738"
"No transfer dependency","1984","66 and older","in school","","","",""
"No transfer dependency","1984","66 and older","inadequately","7","","",""
"No transfer dependency","1984","66 and older","general elemantary","412","0.816835453300585","0.783199461939758","0.850471444661413"
"No transfer dependency","1984","66 and older","middle vocational","525","0.912365920822847","0.889213744499408","0.935518097146287"
"No transfer dependency","1984","66 and older","vocational + Abi","20","","",""
"No transfer dependency","1984","66 and older","higher vocational","74","0.928976866024619","0.872690208055598","0.985263523993639"
"No transfer dependency","1984","66 and older","higher education","59","0.91418902289667","0.845027071079629","0.983350974713712"
"Very low transfer dependency","1984","16-34 y.","in school","146","0.809310026551984","0.751760339660624","0.866859713443344"
"Very low transfer dependency","1984","16-34 y.","inadequately","206","0.599985327936434","0.544269557282639","0.655701098590229"
"Very low transfer dependency","1984","16-34 y.","general elemantary","880","0.713482226609215","0.688235207989818","0.738729245228612"
"Very low transfer dependency","1984","16-34 y.","middle vocational","1216","0.564017709284204","0.542747897910024","0.585287520658384"
"Very low transfer dependency","1984","16-34 y.","vocational + Abi","79","0.45193334841262","0.373583867190313","0.530282829634927"
"Very low transfer dependency","1984","16-34 y.","higher vocational","107","0.503920123672276","0.434453177262508","0.573387070082043"
"Very low transfer dependency","1984","16-34 y.","higher education","104","0.42756096862798","0.364970800896519","0.490151136359441"
"Very low transfer dependency","1984","35-65 y.","in school","","","",""
"Very low transfer dependency","1984","35-65 y.","inadequately","375","0.502722422216133","0.464862976069722","0.540581868362544"
"Very low transfer dependency","1984","35-65 y.","general elemantary","789","0.427506211004631","0.403355930672166","0.451656491337096"
"Very low transfer dependency","1984","35-65 y.","middle vocational","1590","0.518628187743459","0.500306673807078","0.536949701679839"
"Very low transfer dependency","1984","35-65 y.","vocational + Abi","58","0.405260358781753","0.319538155695395","0.49098256186811"
"Very low transfer dependency","1984","35-65 y.","higher vocational","203","0.557719405688293","0.505082317317865","0.610356494058722"
"Very low transfer dependency","1984","35-65 y.","higher education","269","0.570961164950401","0.52533326706727","0.616589062833532"
"Very low transfer dependency","1984","66 and older","in school","","","",""
"Very low transfer dependency","1984","66 and older","inadequately","6","","",""
"Very low transfer dependency","1984","66 and older","general elemantary","77","0.148634797282508","0.117700914876645","0.179568679688372"
"Very low transfer dependency","1984","66 and older","middle vocational","41","0.074565870644901","0.0530571993484444","0.0960745419413576"
"Very low transfer dependency","1984","66 and older","vocational + Abi","","","",""
"Very low transfer dependency","1984","66 and older","higher vocational","6","","",""
"Very low transfer dependency","1984","66 and older","higher education","4","","",""
"Low transfer dependency","1984","16-34 y.","in school","15","","",""
"Low transfer dependency","1984","16-34 y.","inadequately","25","","",""
"Low transfer dependency","1984","16-34 y.","general elemantary","64","0.0475266608470732","0.0356460764881347","0.0594072452060117"
"Low transfer dependency","1984","16-34 y.","middle vocational","100","0.0411890315889171","0.0326650965510667","0.0497129666267675"
"Low transfer dependency","1984","16-34 y.","vocational + Abi","8","","",""
"Low transfer dependency","1984","16-34 y.","higher vocational","10","","",""
"Low transfer dependency","1984","16-34 y.","higher education","11","","",""
"Low transfer dependency","1984","35-65 y.","in school","","","",""
"Low transfer dependency","1984","35-65 y.","inadequately","59","0.11522728232919","0.0910501821261618","0.139404382532219"
"Low transfer dependency","1984","35-65 y.","general elemantary","72","0.0305360740203098","0.0221368725473114","0.0389352754933082"
"Low transfer dependency","1984","35-65 y.","middle vocational","100","0.0290480901898956","0.022889935086351","0.0352062452934402"
"Low transfer dependency","1984","35-65 y.","vocational + Abi","9","","",""
"Low transfer dependency","1984","35-65 y.","higher vocational","3","","",""
"Low transfer dependency","1984","35-65 y.","higher education","7","","",""
"Low transfer dependency","1984","66 and older","in school","","","",""
"Low transfer dependency","1984","66 and older","inadequately","1","","",""
"Low transfer dependency","1984","66 and older","general elemantary","11","","",""
"Low transfer dependency","1984","66 and older","middle vocational","6","","",""
"Low transfer dependency","1984","66 and older","vocational + Abi","","","",""
"Low transfer dependency","1984","66 and older","higher vocational","","","",""
"Low transfer dependency","1984","66 and older","higher education","","","",""
"High transfer dependency","1984","16-34 y.","in school","1","","",""
"High transfer dependency","1984","16-34 y.","inadequately","2","","",""
"High transfer dependency","1984","16-34 y.","general elemantary","21","","",""
