"year","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","college entrance qualification","4.82","5","5191","3","4","6","6","7","4.79","4.85","1","7","5","5"
"2005","lower secondary degree","4.31","4","7036","2","3","5","6","7","4.27","4.35","1","7","4","4"
"2005","no degree/no degree yet","4.58","5","897","2","3","6","7","7","4.48","4.68","1","7","5","5"
"2005","Other degree","4.13","4","1104","2","3","5","6","7","4.04","4.22","1","7","4","4"
"2005","secondary school degree","4.66","5","6002","3","4","6","6","7","4.63","4.69","1","7","5","5"
"2006","college entrance qualification","","","","","","","","","","","","","",""
"2006","lower secondary degree","","","","","","","","","","","","","",""
"2006","no degree/no degree yet","","","","","","","","","","","","","",""
"2006","Other degree","","","","","","","","","","","","","",""
"2006","secondary school degree","","","","","","","","","","","","","",""
"2007","college entrance qualification","","","","","","","","","","","","","",""
"2007","lower secondary degree","","","","","","","","","","","","","",""
"2007","no degree/no degree yet","","","","","","","","","","","","","",""
"2007","Other degree","","","","","","","","","","","","","",""
"2007","secondary school degree","","","","","","","","","","","","","",""
"2008","college entrance qualification","","","","","","","","","","","","","",""
"2008","lower secondary degree","","","","","","","","","","","","","",""
"2008","no degree/no degree yet","","","","","","","","","","","","","",""
"2008","Other degree","","","","","","","","","","","","","",""
"2008","secondary school degree","","","","","","","","","","","","","",""
"2009","college entrance qualification","4.72","5","4882","3","4","6","6","7","4.68","4.76","1","7","5","5"
"2009","lower secondary degree","4.28","4","5883","2","3","5","6","7","4.24","4.32","1","7","4","4"
"2009","no degree/no degree yet","4.32","4","482","2","3","6","6","7","4.18","4.46","1","7","4","5"
"2009","Other degree","4.17","4","800","2","3","5","6","7","4.06","4.28","1","7","4","4"
"2009","secondary school degree","4.58","5","5398","3","4","6","6","7","4.54","4.62","1","7","5","5"
"2010","college entrance qualification","","","","","","","","","","","","","",""
"2010","lower secondary degree","","","","","","","","","","","","","",""
"2010","no degree/no degree yet","","","","","","","","","","","","","",""
"2010","Other degree","","","","","","","","","","","","","",""
"2010","secondary school degree","","","","","","","","","","","","","",""
"2011","college entrance qualification","","","","","","","","","","","","","",""
"2011","lower secondary degree","","","","","","","","","","","","","",""
"2011","no degree/no degree yet","","","","","","","","","","","","","",""
"2011","Other degree","","","","","","","","","","","","","",""
"2011","secondary school degree","","","","","","","","","","","","","",""
"2012","college entrance qualification","4.93","5","2146","3","4","6","6","7","4.88","4.98","1","7","5","5"
"2012","lower secondary degree","4.92","5","1408","3","4","6","7","7","4.85","4.99","1","7","5","5"
"2012","no degree/no degree yet","4.8","5","349","3","4","6","6","7","4.66","4.94","1","7","5","5"
"2012","Other degree","4.97","5","675","3","4","6","7","7","4.86","5.08","1","7","5","5"
"2012","secondary school degree","4.92","5","2388","3","4","6","7","7","4.87","4.97","1","7","5","5"
"2013","college entrance qualification","4.9","5","5386","3","4","6","6","7","4.87","4.93","1","7","5","5"
"2013","lower secondary degree","4.47","4","5801","3","4","6","6","7","4.43","4.51","1","7","4","5"
"2013","no degree/no degree yet","4.4","5","484","2","4","6","6","7","4.27","4.53","1","7","5","5"
"2013","Other degree","4.42","4","1008","2","3","6","7","7","4.32","4.52","1","7","4","5"
"2013","secondary school degree","4.72","5","5619","3","4","6","6","7","4.68","4.76","1","7","5","5"
"2014","college entrance qualification","","","","","","","","","","","","","",""
"2014","lower secondary degree","","","","","","","","","","","","","",""
"2014","no degree/no degree yet","","","","","","","","","","","","","",""
"2014","Other degree","","","","","","","","","","","","","",""
"2014","secondary school degree","","","","","","","","","","","","","",""
"2015","college entrance qualification","","","","","","","","","","","","","",""
"2015","lower secondary degree","","","","","","","","","","","","","",""
"2015","no degree/no degree yet","","","","","","","","","","","","","",""
"2015","Other degree","","","","","","","","","","","","","",""
"2015","secondary school degree","","","","","","","","","","","","","",""
"2016","college entrance qualification","","","","","","","","","","","","","",""
"2016","lower secondary degree","","","","","","","","","","","","","",""
"2016","no degree/no degree yet","","","","","","","","","","","","","",""
"2016","Other degree","","","","","","","","","","","","","",""
"2016","secondary school degree","","","","","","","","","","","","","",""
"2017","college entrance qualification","4.85","5","7943","3","4","6","6","7","4.82","4.88","1","7","5","5"
"2017","lower secondary degree","4.51","5","6088","2","4","6","6","7","4.47","4.55","1","7","5","5"
"2017","no degree/no degree yet","4.78","5","1826","3","4","6","7","7","4.7","4.86","1","7","5","5"
"2017","Other degree","4.72","5","4535","3","4","6","7","7","4.67","4.77","1","7","5","5"
"2017","secondary school degree","4.79","5","7608","3","4","6","6","7","4.76","4.82","1","7","5","5"
"2018","college entrance qualification","","","","","","","","","","","","","",""
"2018","lower secondary degree","","","","","","","","","","","","","",""
"2018","no degree/no degree yet","","","","","","","","","","","","","",""
"2018","Other degree","","","","","","","","","","","","","",""
"2018","secondary school degree","","","","","","","","","","","","","",""
"2019","college entrance qualification","4.77","5","8534","3","4","6","6","7","4.74","4.8","1","7","5","5"
"2019","lower secondary degree","4.39","4","5282","2","3","5","6","7","4.35","4.43","1","7","4","5"
"2019","no degree/no degree yet","4.6","5","774","3","4","6","7","7","4.49","4.71","1","7","5","5"
"2019","Other degree","4.6","5","2538","3","4","6","7","7","4.54","4.66","1","7","5","5"
"2019","secondary school degree","4.68","5","7412","3","4","6","6","7","4.65","4.71","1","7","5","5"
