"year","migback","pgisced97","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","direct migration background","general elemantary","5.19","5","560","5.06","5.32","3","4","7","7"
"2005","direct migration background","higher education","5.55","6","340","5.4","5.7","4","5","7","7"
"2005","direct migration background","higher vocational","5.5","6","133","5.24","5.76","4","5","7","7"
"2005","direct migration background","in school","5.32","6","55","4.89","5.75","3","5","6","7"
"2005","direct migration background","inadequately","5.29","6","143","5.03","5.55","3","4","7","7"
"2005","direct migration background","middle vocational","5.37","6","869","5.27","5.47","3","4","7","7"
"2005","direct migration background","vocational + Abi","5.41","6","215","5.21","5.61","4","4","7","7"
"2005","indirect migration background","general elemantary","5.44","6","182","5.2","5.68","4","4","7","7"
"2005","indirect migration background","higher education","5.68","6","69","5.36","6","4","5","7","7"
"2005","indirect migration background","higher vocational","5.23","5.11","41","4.84","5.62","4","4","6","7"
"2005","indirect migration background","in school","4.95","5","89","4.66","5.24","4","4","6","7"
"2005","indirect migration background","inadequately","","","","","","","","",""
"2005","indirect migration background","middle vocational","5.4","5","336","5.25","5.55","4","4","7","7"
"2005","indirect migration background","vocational + Abi","5.34","6","46","4.87","5.81","3","5","7","7"
"2005","no migration background","general elemantary","4.97","5","1644","4.89","5.05","2","4","6","7"
"2005","no migration background","higher education","5.5","6","3754","5.46","5.54","4","5","6","7"
"2005","no migration background","higher vocational","5.24","5","1383","5.16","5.32","3","4","6","7"
"2005","no migration background","in school","4.96","5","501","4.83","5.09","3","4","6","7"
"2005","no migration background","inadequately","4.5","5","80","4.01","4.99","1","2","7","7"
"2005","no migration background","middle vocational","5.23","5","9037","5.2","5.26","3","4","6","7"
"2005","no migration background","vocational + Abi","5.27","5","868","5.18","5.36","3","4","6","7"
"2006","direct migration background","general elemantary","","","","","","","","",""
"2006","direct migration background","higher education","","","","","","","","",""
"2006","direct migration background","higher vocational","","","","","","","","",""
"2006","direct migration background","in school","","","","","","","","",""
"2006","direct migration background","inadequately","","","","","","","","",""
"2006","direct migration background","middle vocational","","","","","","","","",""
"2006","direct migration background","vocational + Abi","","","","","","","","",""
"2006","indirect migration background","general elemantary","","","","","","","","",""
"2006","indirect migration background","higher education","","","","","","","","",""
"2006","indirect migration background","higher vocational","","","","","","","","",""
