"year","migback","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","direct migration background","5.36","6","2352","5.3","5.42","3","4","7","7"
"2005","indirect migration background","5.32","5","829","5.22","5.42","4","4","7","7"
"2005","no migration background","5.23","5","17475","5.21","5.25","3","4","6","7"
"2006","direct migration background","","","","","","","","",""
"2006","indirect migration background","","","","","","","","",""
"2006","no migration background","","","","","","","","",""
"2007","direct migration background","","","","","","","","",""
"2007","indirect migration background","","","","","","","","",""
"2007","no migration background","","","","","","","","",""
"2008","direct migration background","","","","","","","","",""
"2008","indirect migration background","","","","","","","","",""
"2008","no migration background","","","","","","","","",""
"2009","direct migration background","","","","","","","","",""
"2009","indirect migration background","","","","","","","","",""
"2009","no migration background","","","","","","","","",""
"2010","direct migration background","5.35","6","1459","5.27","5.43","3","4","7","7"
"2010","indirect migration background","5.43","6","657","5.31","5.55","4","5","7","7"
"2010","no migration background","5.17","5","14528","5.15","5.19","3","4","6","7"
"2011","direct migration background","","","","","","","","",""
"2011","indirect migration background","","","","","","","","",""
"2011","no migration background","","","","","","","","",""
"2012","direct migration background","","","","","","","","",""
"2012","indirect migration background","","","","","","","","",""
"2012","no migration background","","","","","","","","",""
"2013","direct migration background","","","","","","","","",""
"2013","indirect migration background","","","","","","","","",""
"2013","no migration background","","","","","","","","",""
"2014","direct migration background","","","","","","","","",""
"2014","indirect migration background","","","","","","","","",""
"2014","no migration background","","","","","","","","",""
"2015","direct migration background","5.47","6","5750","5.43","5.51","3","5","7","7"
"2015","indirect migration background","5.36","6","1684","5.28","5.44","3","5","7","7"
"2015","no migration background","5.25","6","19222","5.23","5.27","3","4","6","7"
"2016","direct migration background","6.11","7","4313","6.08","6.14","4","6","7","7"
"2016","indirect migration background","","","","","","","","",""
"2016","no migration background","","","","","","","","",""
"2017","direct migration background","6.35","7","2849","6.31","6.39","5","6","7","7"
"2017","indirect migration background","","","","","","","","",""
"2017","no migration background","","","","","","","","",""
"2018","direct migration background","6.42","7","419","6.3","6.54","5","7","7","7"
"2018","indirect migration background","","","","","","","","",""
"2018","no migration background","","","","","","","","",""
"2019","direct migration background","6.19","7","278","6.03","6.35","4","6","7","7"
"2019","indirect migration background","","","","","","","","",""
"2019","no migration background","","","","","","","","",""
