"pli0095_h","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1985","Schleswig-Holstein","Not Employed","12","","",""
"Min 1x per week","1985","Schleswig-Holstein","Employed","21","","",""
"Min 1x per week","1985","Hamburg","Not Employed","12","","",""
"Min 1x per week","1985","Hamburg","Employed","11","","",""
"Min 1x per week","1985","Lower Saxony","Not Employed","40","0.0893391049766391","0.0636069455036394","0.115071264449639"
"Min 1x per week","1985","Lower Saxony","Employed","55","0.0827622167815573","0.061004427805354","0.104520005757761"
"Min 1x per week","1985","Bremen","Not Employed","5","","",""
"Min 1x per week","1985","Bremen","Employed","3","","",""
"Min 1x per week","1985","North Rhine-Westphalia","Not Employed","157","0.119776132413148","0.101343316904834","0.138208947921463"
"Min 1x per week","1985","North Rhine-Westphalia","Employed","170","0.0825522412074048","0.0696730555792354","0.0954314268355742"
"Min 1x per week","1985","Hesse","Not Employed","55","0.102725921126646","0.0736906404385606","0.13176120181473"
"Min 1x per week","1985","Hesse","Employed","107","0.131997704402403","0.106940494670456","0.15705491413435"
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","Not Employed","26","","",""
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","Employed","61","0.114952216618332","0.0849090174237306","0.144995415812933"
"Min 1x per week","1985","Baden-Württemberg","Not Employed","105","0.125789187838402","0.100809701707567","0.150768673969238"
"Min 1x per week","1985","Baden-Württemberg","Employed","182","0.102210763492711","0.0861524716269206","0.118269055358501"
"Min 1x per week","1985","Bavaria","Not Employed","86","0.113527452458569","0.0892882550401471","0.137766649876991"
"Min 1x per week","1985","Bavaria","Employed","131","0.0945831284812024","0.0782885336276184","0.110877723334786"
"Min 1x per week","1985","Berlin","Not Employed","8","","",""
"Min 1x per week","1985","Berlin","Employed","14","","",""
"Min 1x per week","1985","Brandenburg","Not Employed","","","",""
"Min 1x per week","1985","Brandenburg","Employed","","","",""
"Min 1x per week","1985","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Min 1x per week","1985","Mecklenburg-Western Pomerania","Employed","","","",""
"Min 1x per week","1985","Saxony","Not Employed","","","",""
"Min 1x per week","1985","Saxony","Employed","","","",""
"Min 1x per week","1985","Saxony-Anhalt","Not Employed","","","",""
"Min 1x per week","1985","Saxony-Anhalt","Employed","","","",""
"Min 1x per week","1985","Thuringia","Not Employed","","","",""
"Min 1x per week","1985","Thuringia","Employed","","","",""
"Min 1x per month","1985","Schleswig-Holstein","Not Employed","19","","",""
"Min 1x per month","1985","Schleswig-Holstein","Employed","49","0.210187427677065","0.155851560280724","0.264523295073405"
"Min 1x per month","1985","Hamburg","Not Employed","25","","",""
"Min 1x per month","1985","Hamburg","Employed","56","0.291762112580018","0.223227689055766","0.36029653610427"
"Min 1x per month","1985","Lower Saxony","Not Employed","109","0.218460387601267","0.181183560509775","0.255737214692758"
"Min 1x per month","1985","Lower Saxony","Employed","149","0.243330219310979","0.209445105114009","0.277215333507948"
"Min 1x per month","1985","Bremen","Not Employed","11","","",""
"Min 1x per month","1985","Bremen","Employed","17","","",""
"Min 1x per month","1985","North Rhine-Westphalia","Not Employed","268","0.196789318393747","0.174219635265906","0.219359001521589"
"Min 1x per month","1985","North Rhine-Westphalia","Employed","520","0.290098125232192","0.268860550547208","0.311335699917176"
"Min 1x per month","1985","Hesse","Not Employed","116","0.261530646733543","0.219501460817066","0.303559832650021"
"Min 1x per month","1985","Hesse","Employed","206","0.286225063947837","0.252765247094171","0.319684880801504"
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","Not Employed","90","0.259203328169305","0.211562839390362","0.306843816948249"
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","Employed","143","0.318641369262374","0.274753640783731","0.362529097741016"
"Min 1x per month","1985","Baden-Württemberg","Not Employed","150","0.202029584884561","0.171784511856078","0.232274657913043"
"Min 1x per month","1985","Baden-Württemberg","Employed","363","0.267546953512454","0.244080160987582","0.291013746037327"
"Min 1x per month","1985","Bavaria","Not Employed","108","0.142858386493323","0.116121286227689","0.169595486758957"
"Min 1x per month","1985","Bavaria","Employed","332","0.255024872378652","0.230754603152568","0.279295141604737"
"Min 1x per month","1985","Berlin","Not Employed","25","","",""
"Min 1x per month","1985","Berlin","Employed","91","0.342158942465824","0.282630075981961","0.401687808949686"
"Min 1x per month","1985","Brandenburg","Not Employed","","","",""
"Min 1x per month","1985","Brandenburg","Employed","","","",""
"Min 1x per month","1985","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Min 1x per month","1985","Mecklenburg-Western Pomerania","Employed","","","",""
"Min 1x per month","1985","Saxony","Not Employed","","","",""
"Min 1x per month","1985","Saxony","Employed","","","",""
"Min 1x per month","1985","Saxony-Anhalt","Not Employed","","","",""
"Min 1x per month","1985","Saxony-Anhalt","Employed","","","",""
"Min 1x per month","1985","Thuringia","Not Employed","","","",""
"Min 1x per month","1985","Thuringia","Employed","","","",""
"Rarely","1985","Schleswig-Holstein","Not Employed","70","0.444784121879185","0.361265328130511","0.52830291562786"
