"year","education","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","college entrance qualification","(0) in school","","","","","","","","","","",""
"2005","college entrance qualification","(1a) inadequately completed","","","","","","","","","","",""
"2005","college entrance qualification","(1b) general elementary school","","","","","","","","","","",""
"2005","college entrance qualification","(1c) basic vocational qualification","","","","","","","","","","",""
"2005","college entrance qualification","(2a) intermediate vocational","","","","","","","","","","",""
"2005","college entrance qualification","(2b) intermediate general qualification","","","","","","","","","","",""
"2005","college entrance qualification","(2c_gen) general maturity certificate","3.47","4","730","1","2","5","6","3.35","3.59","3","4"
"2005","college entrance qualification","(2c_voc) vocational maturity certificate","3.08","3","1297","1","2","4","5","2.99","3.17","3","3"
"2005","college entrance qualification","(3a) lower tertiary education","2.92","3","969","1","2","4","5","2.82","3.02","2","3"
"2005","college entrance qualification","(3b) higher tertiary education","2.88","3","2187","1","2","4","5","2.82","2.94","2","3"
"2005","lower secondary degree","(0) in school","","","","","","","","","","",""
"2005","lower secondary degree","(1a) inadequately completed","","","","","","","","","","",""
"2005","lower secondary degree","(1b) general elementary school","3.45","3","1488","1","2","5","6","3.36","3.54","3","4"
"2005","lower secondary degree","(1c) basic vocational qualification","3.33","3","5342","1","2","5","6","3.28","3.38","3","3"
"2005","lower secondary degree","(2a) intermediate vocational","","","","","","","","","","",""
"2005","lower secondary degree","(2b) intermediate general qualification","","","","","","","","","","",""
"2005","lower secondary degree","(2c_gen) general maturity certificate","","","","","","","","","","",""
"2005","lower secondary degree","(2c_voc) vocational maturity certificate","","","","","","","","","","",""
"2005","lower secondary degree","(3a) lower tertiary education","3.11","3","139","1","2","4","5","2.83","3.39","3","3"
"2005","lower secondary degree","(3b) higher tertiary education","3.01","3","43","1","1","4","6","2.48","3.54","2","4"
"2005","no degree/no degree yet","(0) in school","3.78","4","651","1","2","5","6","3.64","3.92","4","4"
"2005","no degree/no degree yet","(1a) inadequately completed","3.23","3","240","1","1","5","6","2.98","3.48","3","3"
"2005","no degree/no degree yet","(1b) general elementary school","","","","","","","","","","",""
"2005","no degree/no degree yet","(1c) basic vocational qualification","","","","","","","","","","",""
"2005","no degree/no degree yet","(2a) intermediate vocational","","","","","","","","","","",""
