"year","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","general elemantary","3.46","3","2397","1","2","5","6","7","3.39","3.53","1","7","3","4"
"2005","higher education","2.93","3","4161","1","2","4","5","7","2.88","2.98","1","7","3","3"
"2005","higher vocational","3.05","3","1556","1","2","4","6","7","2.97","3.13","1","7","3","3"
"2005","in school","3.78","4","647","1","2","5","6","7","3.64","3.92","1","7","4","4"
"2005","inadequately","3.42","3","231","1","1","5","7","7","3.16","3.68","1","7","3","4"
"2005","middle vocational","3.32","3","10235","1","2","5","6","7","3.29","3.35","1","7","3","3"
"2005","vocational + Abi","3.18","3","1132","1","2","4","6","7","3.08","3.28","1","7","3","3"
"2006","general elemantary","","","","","","","","","","","","","",""
"2006","higher education","","","","","","","","","","","","","",""
"2006","higher vocational","","","","","","","","","","","","","",""
"2006","in school","","","","","","","","","","","","","",""
"2006","inadequately","","","","","","","","","","","","","",""
"2006","middle vocational","","","","","","","","","","","","","",""
"2006","vocational + Abi","","","","","","","","","","","","","",""
"2007","general elemantary","","","","","","","","","","","","","",""
"2007","higher education","","","","","","","","","","","","","",""
"2007","higher vocational","","","","","","","","","","","","","",""
"2007","in school","","","","","","","","","","","","","",""
"2007","inadequately","","","","","","","","","","","","","",""
"2007","middle vocational","","","","","","","","","","","","","",""
"2007","vocational + Abi","","","","","","","","","","","","","",""
"2008","general elemantary","","","","","","","","","","","","","",""
"2008","higher education","","","","","","","","","","","","","",""
"2008","higher vocational","","","","","","","","","","","","","",""
"2008","in school","","","","","","","","","","","","","",""
"2008","inadequately","","","","","","","","","","","","","",""
"2008","middle vocational","","","","","","","","","","","","","",""
"2008","vocational + Abi","","","","","","","","","","","","","",""
"2009","general elemantary","","","","","","","","","","","","","",""
"2009","higher education","","","","","","","","","","","","","",""
"2009","higher vocational","","","","","","","","","","","","","",""
"2009","in school","","","","","","","","","","","","","",""
"2009","inadequately","","","","","","","","","","","","","",""
"2009","middle vocational","","","","","","","","","","","","","",""
"2009","vocational + Abi","","","","","","","","","","","","","",""
"2010","general elemantary","3.38","3","1621","1","2","5","6","7","3.29","3.47","1","7","3","3"
"2010","higher education","2.83","3","3830","1","2","4","5","7","2.78","2.88","1","7","2","3"
"2010","higher vocational","3.09","3","1256","1","2","4","5","7","3","3.18","1","7","3","3"
"2010","in school","3.37","3","269","1","2","5","6","7","3.17","3.57","1","7","3","4"
"2010","inadequately","3.07","2.28","136","1","1","5","6","7","2.72","3.42","1","7","2","4"
"2010","middle vocational","3.27","3","8309","1","2","4","6","7","3.23","3.31","1","7","3","3"
"2010","vocational + Abi","3.04","3","941","1","2","4","5","7","2.94","3.14","1","7","3","3"
"2011","general elemantary","","","","","","","","","","","","","",""
"2011","higher education","","","","","","","","","","","","","",""
"2011","higher vocational","","","","","","","","","","","","","",""
"2011","in school","","","","","","","","","","","","","",""
"2011","inadequately","","","","","","","","","","","","","",""
"2011","middle vocational","","","","","","","","","","","","","",""
"2011","vocational + Abi","","","","","","","","","","","","","",""
"2012","general elemantary","","","","","","","","","","","","","",""
"2012","higher education","","","","","","","","","","","","","",""
"2012","higher vocational","","","","","","","","","","","","","",""
"2012","in school","","","","","","","","","","","","","",""
"2012","inadequately","","","","","","","","","","","","","",""
"2012","middle vocational","","","","","","","","","","","","","",""
"2012","vocational + Abi","","","","","","","","","","","","","",""
"2013","general elemantary","","","","","","","","","","","","","",""
"2013","higher education","","","","","","","","","","","","","",""
"2013","higher vocational","","","","","","","","","","","","","",""
"2013","in school","","","","","","","","","","","","","",""
"2013","inadequately","","","","","","","","","","","","","",""
"2013","middle vocational","","","","","","","","","","","","","",""
"2013","vocational + Abi","","","","","","","","","","","","","",""
"2014","general elemantary","","","","","","","","","","","","","",""
"2014","higher education","","","","","","","","","","","","","",""
"2014","higher vocational","","","","","","","","","","","","","",""
"2014","in school","","","","","","","","","","","","","",""
"2014","inadequately","","","","","","","","","","","","","",""
"2014","middle vocational","","","","","","","","","","","","","",""
"2014","vocational + Abi","","","","","","","","","","","","","",""
"2015","general elemantary","3.07","3","2928","1","1","4","6","7","3","3.14","1","7","2","3"
"2015","higher education","2.6","2","6419","1","1","4","5","7","2.56","2.64","1","7","2","2"
"2015","higher vocational","2.82","2","1537","1","2","4","5","7","2.74","2.9","1","7","2","3"
"2015","in school","2.98","3","378","1","2","4","5","7","2.81","3.15","1","7","2","3"
"2015","inadequately","3.23","3","512","1","1","5","6","7","3.06","3.4","1","7","2","3"
"2015","middle vocational","3.01","3","12158","1","2","4","6","7","2.98","3.04","1","7","3","3"
"2015","vocational + Abi","2.87","2","2153","1","2","4","5","7","2.8","2.94","1","7","2","2"
"2016","general elemantary","2.19","1","828","1","1","3","5","7","2.07","2.31","1","7","1","1"
"2016","higher education","2.11","1","771","1","1","3","5","7","2","2.22","1","7","1","1"
"2016","higher vocational","","","","","","","","","","","","","",""
"2016","in school","","","","","","","","","","","","","",""
"2016","inadequately","2.1","1","1522","1","1","3","5","7","2.02","2.18","1","7","1","1"
"2016","middle vocational","2.3","1","787","1","1","3","6","7","2.18","2.42","1","7","1","1"
"2016","vocational + Abi","2.54","2","110","1","2","3","6","6","2.25","2.83","1","7","1","1"
"2017","general elemantary","1.92","1","552","1","1","2","5","7","1.79","2.05","1","7","1","1"
"2017","higher education","1.87","1","447","1","1","2","5","7","1.71","2.03","1","7","1","1"
"2017","higher vocational","","","","","","","","","","","","","",""
"2017","in school","","","","","","","","","","","","","",""
"2017","inadequately","1.93","1","1206","1","1","2","4","7","1.84","2.02","1","7","1","1"
"2017","middle vocational","1.78","1","437","1","1","2","4","7","1.63","1.93","1","7","1","1"
"2017","vocational + Abi","2.52","1","69","1","1","4","7","7","2.06","2.98","1","7","1","1"
"2018","general elemantary","2.63","1","97","1","1","4","7","7","2.21","3.05","1","7","1","2"
"2018","higher education","1.84","1","49","1","1","2","4","7","1.42","2.26","1","7","1","2"
"2018","higher vocational","","","","","","","","","","","","","",""
"2018","in school","","","","","","","","","","","","","",""
"2018","inadequately","2","1","162","1","1","2","5","7","1.7","2.3","1","7","1","1"
"2018","middle vocational","1.99","1","56","1","1","2","6","7","1.43","2.55","1","7","1","2"
"2018","vocational + Abi","","","","","","","","","","","","","",""
"2019","general elemantary","2.56","1.64","52","1","1","3","6","7","1.95","3.17","1","7","1","3"
"2019","higher education","","","","","","","","","","","","","",""
"2019","higher vocational","","","","","","","","","","","","","",""
"2019","in school","","","","","","","","","","","","","",""
"2019","inadequately","2.27","1","131","1","1","4","4","7","1.93","2.61","1","7","1","2"
"2019","middle vocational","2.44","1","33","1","1","3","6","7","1.81","3.07","1","7","1","3"
"2019","vocational + Abi","","","","","","","","","","","","","",""
