"year","age_gr","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","16-34 y.","2.82","2","5313","2.77","2.87","1","1","4","5"
"2005","35-65 y.","2.11","2","11586","2.08","2.14","1","1","3","4"
"2005","66 and older","1.94","1","3756","1.9","1.98","1","1","2","4"
"2006","16-34 y.","","","","","","","","",""
"2006","35-65 y.","","","","","","","","",""
"2006","66 and older","","","","","","","","",""
"2007","16-34 y.","","","","","","","","",""
"2007","35-65 y.","","","","","","","","",""
"2007","66 and older","","","","","","","","",""
"2008","16-34 y.","","","","","","","","",""
"2008","35-65 y.","","","","","","","","",""
"2008","66 and older","","","","","","","","",""
"2009","16-34 y.","3.1","3","3985","3.05","3.15","1","2","4","6"
"2009","35-65 y.","2.36","2","9839","2.33","2.39","1","1","3","5"
"2009","66 and older","2.14","2","4132","2.1","2.18","1","1","3","4"
"2010","16-34 y.","","","","","","","","",""
"2010","35-65 y.","","","","","","","","",""
"2010","66 and older","","","","","","","","",""
"2011","16-34 y.","","","","","","","","",""
"2011","35-65 y.","","","","","","","","",""
"2011","66 and older","","","","","","","","",""
"2012","16-34 y.","2.76","2","2200","2.69","2.83","1","1","4","5"
"2012","35-65 y.","2.28","2","4900","2.24","2.32","1","1","3","5"
"2012","66 and older","","","","","","","","",""
"2013","16-34 y.","3.23","3","3693","3.17","3.29","1","2","5","6"
"2013","35-65 y.","2.37","2","10208","2.34","2.4","1","1","3","5"
"2013","66 and older","2.16","2","4919","2.12","2.2","1","1","3","4"
"2014","16-34 y.","","","","","","","","",""
"2014","35-65 y.","","","","","","","","",""
"2014","66 and older","","","","","","","","",""
"2015","16-34 y.","","","","","","","","",""
"2015","35-65 y.","","","","","","","","",""
"2015","66 and older","","","","","","","","",""
"2016","16-34 y.","","","","","","","","",""
"2016","35-65 y.","","","","","","","","",""
"2016","66 and older","","","","","","","","",""
"2017","16-34 y.","3.28","3","7571","3.24","3.32","1","2","5","6"
"2017","35-65 y.","2.51","2","16680","2.49","2.53","1","1","4","5"
"2017","66 and older","2.42","2","5009","2.38","2.46","1","1","3","5"
"2018","16-34 y.","","","","","","","","",""
"2018","35-65 y.","","","","","","","","",""
"2018","66 and older","","","","","","","","",""
"2019","16-34 y.","3.16","3","5425","3.11","3.21","1","2","4","6"
"2019","35-65 y.","2.39","2","15113","2.37","2.41","1","1","3","5"
"2019","66 and older","2.33","2","5180","2.29","2.37","1","1","3","5"
