"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","10549.82","9611.76","12231","5446.96","7289.29","12619.33","16254","28942.86","10451.54","10648.1","0","113745.33","9360.5","9541.90476190476"
"1985","10928.29","9972.44","11087","5598.1","7498","13110","16566","29618.89","10823.27","11033.31","0","169250","9707","9865.6"
"1986","11109.11","10257","10643","5814.5","7650.67","13464.44","17135.5","28054.67","11008.42","11209.8","0","123372","10021","10233.2"
"1987","11711.29","10772.25","10513","6136","8148.93","14135","17994.5","29858.67","11607.25","11815.33","0","87875","10524","10770.5"
"1988","12114.83","11085.58","10022","6381.2","8360","14551","18714.67","31868.8","12005.04","12224.62","0","101558.67","10851.3333333333","11030"
"1989","12821.5","11702.54","9709","6623.5","8790.67","15293.33","19413","37168.89","12696.41","12946.59","0","135049","11349","11567.5"
"1990","13329.01","12147.67","9517","6908","9147","15925","20249.5","37057.6","13189.49","13468.53","0","148122","11740","12004.2857142857"
"1991","14326.55","12918.39","9466","7280.48","9814.62","17158","22236","40394.67","14185.82","14467.28","6.67","130243","12591.9047619048","12819.4444444444"
"1992","13964.36","12541.12","13391","6832.61","9188.67","17154","22265.24","37799","13847.6","14081.12","0","170548.67","11815.2173913043","12040.4"
"1993","14884.34","13451.5","13178","7345","9821.67","17939.5","23731.33","42518.33","14762.72","15005.96","0","122986.11","12774","13053.4782608696"
"1994","15602.8","13946.81","12944","7856.67","10489","18802","24871.33","43498.67","15474.76","15730.84","0","128759","13472.6666666667","13685"
"1995","15638.17","14045.28","13370","7708","10473.89","18860.67","25240","43603.33","15510.08","15766.26","0","125661","13557.1428571429","13776.5217391304"
"1996","16001.31","14331.56","13125","7967","10862.8","19166.52","25089.67","44288","15867.27","16135.35","0","193088","13914.6666666667","14120"
"1997","16245.08","14622.22","12915","8338.67","11215.33","19416","25602","44934.67","16116.77","16373.39","0","110923","14276.4","14535.6"
"1998","16395.5","14731.17","14327","8482","11361","19652.38","25848","43756","16270.97","16520.03","0","131763.81","14424","14663.8888888889"
"1999","16987.06","15087.19","13768","8746","11635","20454.5","26709.2","46157.22","16854.05","17120.07","102","122128.67","14726.6666666667","14962"
"2000","17493.78","15571.33","24266","8894","11816","20849","27742.67","51012.67","17377.64","17609.92","0","222456","15421","15608.3333333333"
"2001","17969.82","16108.33","22063","9107","12217","21413.33","28401","50943.48","17848.42","18091.22","0","212321","16014","16207.0833333333"
"2002","18352.93","16125","23157","8927.74","12137","21624","29175.33","57978.89","18164.86","18541","0","387826.67","17382","17624.2857142857"
"2003","18905.02","16652.9","22297","9050","12369.52","22607","30048","56930.67","18722.22","19087.82","0","403917.33","17852","18116"
"2004","18831.28","16630","21733","9084","12324","22338.67","29686","56262.22","18563.93","19098.63","0","1364491.33","17871.3333333333","18117.6"
"2005","19267.46","16997.57","20812","9180","12442","22819.6","30838.5","57810","18968.29","19566.63","0","1659708","18123.9130434783","18401.9047619048"
"2006","19642.52","16982.25","22381","8877.33","12354","23405","31658.1","64054.67","19413.08","19871.96","0","593626","18046.1111111111","18343.5"
"2007","19985.41","17295.67","20965","9176","12720.67","23755.24","32143.33","64301.33","19764.86","20205.96","0","613426","18290.5555555556","18596.6666666667"
"2008","20632.97","17945.06","19686","9410","13012.67","24464.67","33201.33","66887","20367.92","20898.02","0","886350.67","18789.5238095238","19106"
"2009","20922.67","18071.9","18363","9503.33","13262","25018.67","33552.67","67305.5","20680.43","21164.91","0","624596","19174.6666666667","19532"
"2010","21181.27","18677.33","24432","9600","13300.48","25539.2","34040.56","64616","20999.88","21362.66","0","664511","17836.9565217391","18189.5652173913"
"2011","21738.61","19102.32","29015","9977.2","13683","25932.57","35544","70967.62","21569.29","21907.93","0","483833.33","18356","18645.2380952381"
"2012","22147.85","19114.5","28276","10250.32","13959","26375","35716.8","73405.33","21940.07","22355.63","0","999041.33","18393.75","18683.3333333333"
"2013","22515.77","19421.89","31316","10192.5","14168.67","27016.5","37194.8","74428","22340.67","22690.87","0","737262","18264.4444444444","18503.3333333333"
"2014","23059","19829","27786","10411","14277.33","27601","37455.33","74155.33","22858.9","23259.1","0","863947.33","18924","19215.3571428571"
"2015","23284.2","20392.33","27512","10473","14646.67","28464","38245.33","67460","23104.47","23463.93","0","702467","19297.3076923077","19529.5238095238"
"2016","24032.58","21005.62","24957","10696.67","15078.67","28888","38819.33","75880","23811.34","24253.82","0","1061920","20078.0769230769","20419.0476190476"
"2017","24673.58","21522.52","29452","10809","15524","29701","40078","75175.33","24467.69","24879.47","0","694486","20112","20452.6666666667"
"2018","25263.73","22162.38","29890","11057","16052.67","30344.67","40490.67","79106.5","25055.7","25471.76","0","755578","19871.9047619048","20170"
"2019","26471.67","23242.39","29667","11777.5","16496","31368.67","42687.33","80784","26039.77","26903.57","0","3103391.92","21944","22314"
