"year","education","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","college entrance qualification","5.75","6","5197","5.72","5.78","4","5","6","7"
"2005","lower secondary degree","5.8","6","7088","5.77","5.83","4","5","7","7"
"2005","no degree/no degree yet","5.79","6","901","5.72","5.86","4","5","7","7"
"2005","Other degree","5.82","6","1117","5.75","5.89","4","5","7","7"
"2005","secondary school degree","5.85","6","6022","5.82","5.88","4","5","7","7"
"2006","college entrance qualification","","","","","","","","",""
"2006","lower secondary degree","","","","","","","","",""
"2006","no degree/no degree yet","","","","","","","","",""
"2006","Other degree","","","","","","","","",""
"2006","secondary school degree","","","","","","","","",""
"2007","college entrance qualification","","","","","","","","",""
"2007","lower secondary degree","","","","","","","","",""
"2007","no degree/no degree yet","","","","","","","","",""
"2007","Other degree","","","","","","","","",""
"2007","secondary school degree","","","","","","","","",""
"2008","college entrance qualification","","","","","","","","",""
"2008","lower secondary degree","","","","","","","","",""
"2008","no degree/no degree yet","","","","","","","","",""
"2008","Other degree","","","","","","","","",""
"2008","secondary school degree","","","","","","","","",""
"2009","college entrance qualification","5.65","6","4887","5.62","5.68","4","5","6","7"
"2009","lower secondary degree","5.65","6","5922","5.62","5.68","4","5","7","7"
"2009","no degree/no degree yet","5.59","6","485","5.49","5.69","4","5","7","7"
"2009","Other degree","5.78","6","804","5.7","5.86","4","5","7","7"
"2009","secondary school degree","5.71","6","5396","5.68","5.74","4","5","7","7"
"2010","college entrance qualification","","","","","","","","",""
"2010","lower secondary degree","","","","","","","","",""
"2010","no degree/no degree yet","","","","","","","","",""
"2010","Other degree","","","","","","","","",""
"2010","secondary school degree","","","","","","","","",""
"2011","college entrance qualification","","","","","","","","",""
"2011","lower secondary degree","","","","","","","","",""
"2011","no degree/no degree yet","","","","","","","","",""
"2011","Other degree","","","","","","","","",""
"2011","secondary school degree","","","","","","","","",""
"2012","college entrance qualification","5.72","6","2145","5.68","5.76","4","5","6","7"
"2012","lower secondary degree","5.82","6","1407","5.76","5.88","4","5","7","7"
"2012","no degree/no degree yet","5.75","6","352","5.63","5.87","4","5","7","7"
"2012","Other degree","5.83","6","678","5.75","5.91","4","5","7","7"
"2012","secondary school degree","5.89","6","2385","5.85","5.93","5","5","7","7"
"2013","college entrance qualification","5.75","6","5385","5.72","5.78","4","5","6","7"
"2013","lower secondary degree","5.74","6","5820","5.71","5.77","4","5","7","7"
"2013","no degree/no degree yet","5.75","6","487","5.64","5.86","4","5","7","7"
"2013","Other degree","5.88","6","1017","5.81","5.95","4","5","7","7"
"2013","secondary school degree","5.8","6","5628","5.77","5.83","4","5","7","7"
"2014","college entrance qualification","","","","","","","","",""
"2014","lower secondary degree","","","","","","","","",""
"2014","no degree/no degree yet","","","","","","","","",""
"2014","Other degree","","","","","","","","",""
"2014","secondary school degree","","","","","","","","",""
"2015","college entrance qualification","","","","","","","","",""
"2015","lower secondary degree","","","","","","","","",""
"2015","no degree/no degree yet","","","","","","","","",""
"2015","Other degree","","","","","","","","",""
"2015","secondary school degree","","","","","","","","",""
"2016","college entrance qualification","","","","","","","","",""
"2016","lower secondary degree","","","","","","","","",""
"2016","no degree/no degree yet","","","","","","","","",""
"2016","Other degree","","","","","","","","",""
"2016","secondary school degree","","","","","","","","",""
"2017","college entrance qualification","5.78","6","7948","5.76","5.8","5","5","6","7"
"2017","lower secondary degree","5.84","6","6097","5.81","5.87","4","5","7","7"
"2017","no degree/no degree yet","5.9","6","1858","5.85","5.95","4","5","7","7"
"2017","Other degree","5.97","6","4558","5.94","6","5","5","7","7"
"2017","secondary school degree","5.85","6","7612","5.83","5.87","4","5","7","7"
"2018","college entrance qualification","","","","","","","","",""
"2018","lower secondary degree","","","","","","","","",""
"2018","no degree/no degree yet","","","","","","","","",""
"2018","Other degree","","","","","","","","",""
"2018","secondary school degree","","","","","","","","",""
"2019","college entrance qualification","5.78","6","8545","5.76","5.8","5","5","6","7"
"2019","lower secondary degree","5.78","6","5305","5.75","5.81","4","5","7","7"
"2019","no degree/no degree yet","6.02","6","777","5.94","6.1","5","6","7","7"
"2019","Other degree","5.92","6","2551","5.88","5.96","5","5","7","7"
"2019","secondary school degree","5.83","6","7424","5.81","5.85","4","5","7","7"
