"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","5.89","6","20735","4.66666650772095","5.33333349227905","6.66666650772095","7","5.88","5.9","6","6"
"2006","","","","","","","","","","",""
"2007","","","","","","","","","","",""
"2008","","","","","","","","","","",""
"2009","5.77","6","18043","4.33333349227905","5.33333349227905","6.66666650772095","7","5.76","5.78","6","6"
"2010","","","","","","","","","","",""
"2011","","","","","","","","","","",""
"2012","5.83","6","7131","4.66666650772095","5.33333349227905","6.66666650772095","7","5.81","5.85","6","6"
"2013","5.81","6","18894","4.66666650772095","5.33333349227905","6.66666650772095","7","5.8","5.82","6","6"
"2014","","","","","","","","","","",""
"2015","","","","","","","","","","",""
"2016","","","","","","","","","","",""
"2017","5.71","6","29324","4.33333349227905","5","6.33333349227905","7","5.7","5.72","6","6"
"2018","","","","","","","","","","",""
"2019","5.75","6","25817","4.33333349227905","5","6.66666650772095","7","5.74","5.76","6","6"
