"plh0190","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"True entirely","1990","in school","1","","",""
"True entirely","1990","inadequately","","","",""
"True entirely","1990","general elemantary","15","","",""
"True entirely","1990","middle vocational","124","0.0593724381978306","0.0490642764717156","0.0696805999239455"
"True entirely","1990","vocational + Abi","3","","",""
"True entirely","1990","higher vocational","12","","",""
"True entirely","1990","higher education","41","0.0457656295704096","0.0317662607026076","0.0597649984382117"
"Tends to agree","1990","in school","","","",""
"Tends to agree","1990","inadequately","1","","",""
"Tends to agree","1990","general elemantary","33","0.107315166622341","0.0693261867914601","0.145304146453222"
"Tends to agree","1990","middle vocational","213","0.103910543906499","0.0906003180725944","0.117220769740404"
"Tends to agree","1990","vocational + Abi","8","","",""
"Tends to agree","1990","higher vocational","16","","",""
"Tends to agree","1990","higher education","88","0.107171320199115","0.0864491820263506","0.127893458371879"
"Rather not true","1990","in school","","","",""
"Rather not true","1990","inadequately","4","","",""
"Rather not true","1990","general elemantary","83","0.324919634736749","0.267436066682874","0.382403202790623"
"Rather not true","1990","middle vocational","600","0.295851914662794","0.275942929404062","0.315760899921526"
"Rather not true","1990","vocational + Abi","27","","",""
"Rather not true","1990","higher vocational","54","0.226907634642764","0.171936347499161","0.281878921786367"
"Rather not true","1990","higher education","274","0.307466432385929","0.276554192326009","0.338378672445849"
"Totally disagree","1990","in school","1","","",""
"Totally disagree","1990","inadequately","","","",""
"Totally disagree","1990","general elemantary","124","0.512678706966967","0.451329587339395","0.574027826594538"
"Totally disagree","1990","middle vocational","1082","0.540865103232876","0.519128355573146","0.562601850892606"
"Totally disagree","1990","vocational + Abi","28","","",""
"Totally disagree","1990","higher vocational","141","0.645418338890819","0.582630657584448","0.70820602019719"
"Totally disagree","1990","higher education","453","0.539596617844546","0.506206721503809","0.572986514185284"
"True entirely","1991","in school","","","",""
"True entirely","1991","inadequately","","","",""
"True entirely","1991","general elemantary","24","","",""
"True entirely","1991","middle vocational","135","0.0612229434525318","0.0510703570526463","0.0713755298524173"
"True entirely","1991","vocational + Abi","4","","",""
"True entirely","1991","higher vocational","7","","",""
"True entirely","1991","higher education","60","0.073585107100936","0.0564220385249006","0.0907481756769715"
"Tends to agree","1991","in school","2","","",""
"Tends to agree","1991","inadequately","3","","",""
"Tends to agree","1991","general elemantary","46","0.0908558221257197","0.0619209712636501","0.119790672987789"
"Tends to agree","1991","middle vocational","241","0.102453682033412","0.0896117437611142","0.115295620305709"
"Tends to agree","1991","vocational + Abi","6","","",""
"Tends to agree","1991","higher vocational","19","","",""
"Tends to agree","1991","higher education","88","0.103152742745336","0.0831588737265814","0.123146611764091"
"Rather not true","1991","in school","5","","",""
"Rather not true","1991","inadequately","14","","",""
"Rather not true","1991","general elemantary","137","0.350184545430604","0.30215903473004","0.398210056131168"
"Rather not true","1991","middle vocational","615","0.278601970627221","0.259616650454463","0.297587290799979"
"Rather not true","1991","vocational + Abi","25","","",""
"Rather not true","1991","higher vocational","52","0.236037248733106","0.180796249421639","0.291278248044573"
"Rather not true","1991","higher education","287","0.31461175441209","0.284086941640909","0.345136567183271"
"Totally disagree","1991","in school","5","","",""
"Totally disagree","1991","inadequately","14","","",""
"Totally disagree","1991","general elemantary","172","0.501735243335779","0.451397252775967","0.55207323389559"
"Totally disagree","1991","middle vocational","1151","0.557721403886836","0.536688706424776","0.578754101348896"
"Totally disagree","1991","vocational + Abi","37","0.505160154183822","0.38967431943948","0.620645988928164"
"Totally disagree","1991","higher vocational","149","0.640873026560007","0.578464321443858","0.703281731676157"
"Totally disagree","1991","higher education","454","0.508650395741638","0.475787773908524","0.541513017574752"
"True entirely","1992","in school","7","","",""
"True entirely","1992","inadequately","7","","",""
"True entirely","1992","general elemantary","89","0.0472015184895758","0.037540489285179","0.0568625476939726"
"True entirely","1992","middle vocational","280","0.0502863255228237","0.0446480817270103","0.0559245693186372"
"True entirely","1992","vocational + Abi","10","","",""
"True entirely","1992","higher vocational","39","0.0547976234168721","0.0382200075467139","0.0713752392870303"
"True entirely","1992","higher education","75","0.0523860170709101","0.0412617811179893","0.063510253023831"
"Tends to agree","1992","in school","17","","",""
"Tends to agree","1992","inadequately","10","","",""
"Tends to agree","1992","general elemantary","229","0.116135199549224","0.101539674042811","0.130730725055637"
"Tends to agree","1992","middle vocational","642","0.114752205910626","0.106529107231955","0.122975304589297"
"Tends to agree","1992","vocational + Abi","32","0.0993550606584375","0.064503143246524","0.134206978070351"
"Tends to agree","1992","higher vocational","63","0.0867424157380998","0.066240652767941","0.107244178708259"
"Tends to agree","1992","higher education","117","0.0756210583711936","0.0624204736443655","0.0888216430980216"
"Rather not true","1992","in school","64","0.507438814197844","0.421165760459414","0.593711867936274"
"Rather not true","1992","inadequately","21","","",""
"Rather not true","1992","general elemantary","647","0.347456699920181","0.325764685005708","0.369148714834653"
"Rather not true","1992","middle vocational","1927","0.337467753583569","0.325268248717775","0.349667258449362"
"Rather not true","1992","vocational + Abi","98","0.359650557418076","0.303738720589475","0.415562394246677"
"Rather not true","1992","higher vocational","230","0.332419643974985","0.298105440489112","0.366733847460858"
"Rather not true","1992","higher education","495","0.32485133719438","0.30146895219878","0.348233722189979"
"Totally disagree","1992","in school","41","0.319557728575003","0.239089666650739","0.400025790499266"
"Totally disagree","1992","inadequately","52","0.572682103725768","0.470480153538734","0.674884053912802"
"Totally disagree","1992","general elemantary","886","0.489206582041019","0.466433926679863","0.511979237402175"
"Totally disagree","1992","middle vocational","2922","0.497493714982982","0.484593792454331","0.510393637511632"
"Totally disagree","1992","vocational + Abi","143","0.504733867897625","0.446482596054738","0.562985139740512"
