"plh0190","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"True entirely","1990","no migration background","Urban Area","60","0.0464671498898118","0.0343903043878264","0.0585439953917973"
"True entirely","1990","no migration background","Rural Area","121","0.057020530912405","0.047091135074352","0.066949926750458"
"True entirely","1990","direct migration background","Urban Area","4","","",""
"True entirely","1990","direct migration background","Rural Area","3","","",""
"True entirely","1990","indirect migration background","Urban Area","","","",""
"True entirely","1990","indirect migration background","Rural Area","","","",""
"Tends to agree","1990","no migration background","Urban Area","136","0.120904440723095","0.102199693980666","0.139609187465524"
"Tends to agree","1990","no migration background","Rural Area","203","0.092579807736153","0.0801684745598834","0.104991140912423"
"Tends to agree","1990","direct migration background","Urban Area","5","","",""
"Tends to agree","1990","direct migration background","Rural Area","6","","",""
"Tends to agree","1990","indirect migration background","Urban Area","","","",""
"Tends to agree","1990","indirect migration background","Rural Area","","","",""
"Rather not true","1990","no migration background","Urban Area","386","0.325096498884611","0.298222044875052","0.351970952894171"
"Rather not true","1990","no migration background","Rural Area","610","0.283603891167436","0.264302492587646","0.302905289747226"
"Rather not true","1990","direct migration background","Urban Area","12","","",""
"Rather not true","1990","direct migration background","Rural Area","16","","",""
"Rather not true","1990","indirect migration background","Urban Area","1","","",""
"Rather not true","1990","indirect migration background","Rural Area","","","",""
"Totally disagree","1990","no migration background","Urban Area","585","0.507531910502482","0.478848328371653","0.536215492633311"
"Totally disagree","1990","no migration background","Rural Area","1161","0.566795770184006","0.545577219234421","0.58801432113359"
"Totally disagree","1990","direct migration background","Urban Area","18","","",""
"Totally disagree","1990","direct migration background","Rural Area","33","0.52985798023134","0.401409677968782","0.658306282493898"
"Totally disagree","1990","indirect migration background","Urban Area","","","",""
"Totally disagree","1990","indirect migration background","Rural Area","1","","",""
"True entirely","1991","no migration background","Urban Area","82","0.0683563522166652","0.054107859636002","0.0826048447973284"
"True entirely","1991","no migration background","Rural Area","134","0.0551330071754519","0.0459207220687616","0.0643452922821423"
"True entirely","1991","direct migration background","Urban Area","4","","",""
"True entirely","1991","direct migration background","Rural Area","7","","",""
"True entirely","1991","indirect migration background","Urban Area","","","",""
"True entirely","1991","indirect migration background","Rural Area","","","",""
"Tends to agree","1991","no migration background","Urban Area","151","0.116942818506524","0.0987987047796719","0.135086932233377"
"Tends to agree","1991","no migration background","Rural Area","232","0.0911050607652215","0.0794904600488643","0.102719661481579"
"Tends to agree","1991","direct migration background","Urban Area","2","","",""
"Tends to agree","1991","direct migration background","Rural Area","10","","",""
"Tends to agree","1991","indirect migration background","Urban Area","1","","",""
"Tends to agree","1991","indirect migration background","Rural Area","1","","",""
"Rather not true","1991","no migration background","Urban Area","366","0.288243932895934","0.262669839676379","0.31381802611549"
"Rather not true","1991","no migration background","Rural Area","727","0.30212758850106","0.283594005053654","0.320661171948466"
"Rather not true","1991","direct migration background","Urban Area","14","","",""
"Rather not true","1991","direct migration background","Rural Area","21","","",""
"Rather not true","1991","indirect migration background","Urban Area","","","",""
"Rather not true","1991","indirect migration background","Rural Area","","","",""
"Totally disagree","1991","no migration background","Urban Area","606","0.526456896380876","0.498265555351881","0.554648237409871"
"Totally disagree","1991","no migration background","Rural Area","1265","0.551634343558266","0.531561078991836","0.571707608124697"
"Totally disagree","1991","direct migration background","Urban Area","20","","",""
"Totally disagree","1991","direct migration background","Rural Area","42","0.502942771721418","0.393379351816351","0.612506191626486"
"Totally disagree","1991","indirect migration background","Urban Area","","","",""
"Totally disagree","1991","indirect migration background","Rural Area","","","",""
"True entirely","1992","no migration background","Urban Area","268","0.046792087744838","0.041452262801404","0.0521319126882719"
"True entirely","1992","no migration background","Rural Area","208","0.0569303476330557","0.0495152245944874","0.064345470671624"
"True entirely","1992","direct migration background","Urban Area","15","","",""
"True entirely","1992","direct migration background","Rural Area","10","","",""
"True entirely","1992","indirect migration background","Urban Area","3","","",""
"True entirely","1992","indirect migration background","Rural Area","2","","",""
"Tends to agree","1992","no migration background","Urban Area","632","0.106139000142974","0.0983511160452752","0.113926884240673"
"Tends to agree","1992","no migration background","Rural Area","404","0.109888613238207","0.0998800189772448","0.11989720749917"
"Tends to agree","1992","direct migration background","Urban Area","45","0.107055954280855","0.0764877904566345","0.137624118105076"
"Tends to agree","1992","direct migration background","Rural Area","18","","",""
"Tends to agree","1992","indirect migration background","Urban Area","6","","",""
"Tends to agree","1992","indirect migration background","Rural Area","2","","",""
"Rather not true","1992","no migration background","Urban Area","1999","0.336091821440133","0.324148366634215","0.348035276246051"
"Rather not true","1992","no migration background","Rural Area","1287","0.352517750412888","0.337228753695148","0.367806747130628"
"Rather not true","1992","direct migration background","Urban Area","123","0.313404703969521","0.267542493507187","0.359266914431854"
"Rather not true","1992","direct migration background","Rural Area","47","0.297506452312234","0.225067570131422","0.369945334493047"
