"hlf0071_h","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"Much too small","1984","in school","6","","",""
"Much too small","1984","inadequately","93","0.0871433775946219","0.069817602135492","0.104469153053752"
"Much too small","1984","general elemantary","148","0.0260872669105977","0.0207815327896424","0.0313930010315529"
"Much too small","1984","middle vocational","173","0.0219819483250948","0.0181811876705756","0.0257827089796141"
"Much too small","1984","vocational + Abi","22","","",""
"Much too small","1984","higher vocational","15","","",""
"Much too small","1984","higher education","23","","",""
"A little too small","1984","in school","33","0.172132180760008","0.118027003558173","0.226237357961842"
"A little too small","1984","inadequately","211","0.186984888803438","0.163033716994224","0.210936060612653"
"A little too small","1984","general elemantary","521","0.108206034755679","0.0978658291116958","0.118546240399661"
"A little too small","1984","middle vocational","909","0.135292382322803","0.126426227526485","0.144158537119121"
"A little too small","1984","vocational + Abi","57","0.14173523406879","0.103034397887457","0.180436070250123"
"A little too small","1984","higher vocational","106","0.152976193671102","0.125513960076605","0.180438427265599"
"A little too small","1984","higher education","142","0.15766783870523","0.132287421961756","0.183048255448705"
"Just right","1984","in school","140","0.744707199692644","0.682213052266823","0.807201347118465"
"Just right","1984","inadequately","682","0.654956308028857","0.62575398419255","0.684158631865165"
"Just right","1984","general elemantary","2580","0.784834889408607","0.771156144635072","0.798513634182142"
"Just right","1984","middle vocational","4280","0.770652145812604","0.759754303200174","0.781549988425034"
"Just right","1984","vocational + Abi","210","0.702720590605228","0.652004642554606","0.753436538655851"
"Just right","1984","higher vocational","473","0.719545331530511","0.685273561103314","0.753817101957709"
"Just right","1984","higher education","569","0.73267012765345","0.701847938015531","0.763492317291369"
"A little too big","1984","in school","7","","",""
"A little too big","1984","inadequately","30","0.069090542790968","0.0535116271545579","0.0846694584273782"
"A little too big","1984","general elemantary","196","0.07214344977997","0.0635313303854745","0.0807555691744656"
"A little too big","1984","middle vocational","310","0.0628427203452469","0.0565520384467948","0.0691334022436991"
"A little too big","1984","vocational + Abi","22","","",""
"A little too big","1984","higher vocational","56","0.0888664848390179","0.0671576689645248","0.110575300713511"
"A little too big","1984","higher education","47","0.0701915405875898","0.0523995461532701","0.0879835350219096"
"Much too big","1984","in school","1","","",""
"Much too big","1984","inadequately","2","","",""
"Much too big","1984","general elemantary","22","","",""
"Much too big","1984","middle vocational","45","0.00923080319425102","0.0067518405141802","0.0117097658743218"
"Much too big","1984","vocational + Abi","1","","",""
"Much too big","1984","higher vocational","10","","",""
"Much too big","1984","higher education","11","","",""
"Much too small","1985","in school","5","","",""
"Much too small","1985","inadequately","55","0.0638967801794682","0.0473577589519878","0.0804358014069486"
"Much too small","1985","general elemantary","129","0.0237705952418006","0.0183687958122634","0.0291723946713378"
"Much too small","1985","middle vocational","148","0.0207026975782886","0.0168248040253876","0.0245805911311895"
"Much too small","1985","vocational + Abi","21","","",""
"Much too small","1985","higher vocational","14","","",""
"Much too small","1985","higher education","27","","",""
"A little too small","1985","in school","24","","",""
"A little too small","1985","inadequately","180","0.195858640783608","0.169020896163912","0.222696385403304"
"A little too small","1985","general elemantary","413","0.0989233165118465","0.0883363218585458","0.109510311165147"
"A little too small","1985","middle vocational","752","0.123780781539293","0.114811490157645","0.13275007292094"
"A little too small","1985","vocational + Abi","53","0.14621549380571","0.104456254736426","0.187974732874994"
"A little too small","1985","higher vocational","90","0.129265767287112","0.102836365078071","0.155695169496153"
"A little too small","1985","higher education","118","0.135578214563745","0.111126551096051","0.160029878031438"
"Just right","1985","in school","149","0.823282872765011","0.768467107608024","0.878098637921998"
"Just right","1985","inadequately","586","0.708380912790567","0.677644735934563","0.739117089646571"
"Just right","1985","general elemantary","2327","0.79575223354971","0.781456380514171","0.810048086585249"
"Just right","1985","middle vocational","3913","0.775280664294547","0.76391290594367","0.786648422645423"
"Just right","1985","vocational + Abi","189","0.719892115210325","0.66681856744428","0.772965662976371"
"Just right","1985","higher vocational","459","0.754880940482087","0.720994142197625","0.788767738766549"
"Just right","1985","higher education","544","0.733572286100615","0.701995948269533","0.765148623931697"
"A little too big","1985","in school","6","","",""
"A little too big","1985","inadequately","15","","",""
