"plj0589","year","e11102","n","percent","lower_confidence","upper_confidence"
"Very often","2013","Not Employed","172","0.0161746969311465","0.013536971651808","0.0188124222104851"
"Very often","2013","Employed","116","0.00755706423242429","0.00624587212267925","0.00886825634216933"
"Often","2013","Not Employed","434","0.0526494676243076","0.0479795971455416","0.0573193381030737"
"Often","2013","Employed","488","0.0314815340217274","0.0288377930970123","0.0341252749464426"
"Sometimes","2013","Not Employed","1057","0.124501529272252","0.117598057864704","0.1314050006798"
"Sometimes","2013","Employed","1521","0.0884618650285561","0.0841625183607701","0.092761211696342"
"Rarely ","2013","Not Employed","2299","0.26416298424331","0.254944080337305","0.273381888149314"
"Rarely ","2013","Employed","4672","0.2912184927052","0.284339851423029","0.29809713398737"
"Never","2013","Not Employed","4824","0.542511321928984","0.532094216251769","0.552928427606199"
"Never","2013","Employed","9961","0.581281044012093","0.5738115464566","0.588750541567585"
"Very often","2014","Not Employed","","","",""
"Very often","2014","Employed","","","",""
"Often","2014","Not Employed","","","",""
"Often","2014","Employed","","","",""
"Sometimes","2014","Not Employed","","","",""
"Sometimes","2014","Employed","","","",""
"Rarely ","2014","Not Employed","","","",""
"Rarely ","2014","Employed","","","",""
"Never","2014","Not Employed","","","",""
"Never","2014","Employed","","","",""
"Very often","2015","Not Employed","","","",""
"Very often","2015","Employed","","","",""
"Often","2015","Not Employed","","","",""
"Often","2015","Employed","","","",""
"Sometimes","2015","Not Employed","","","",""
"Sometimes","2015","Employed","","","",""
"Rarely ","2015","Not Employed","","","",""
"Rarely ","2015","Employed","","","",""
"Never","2015","Not Employed","","","",""
"Never","2015","Employed","","","",""
"Very often","2016","Not Employed","312","0.0900810650600543","0.0814614926515741","0.0987006374685345"
"Very often","2016","Employed","","","",""
"Often","2016","Not Employed","572","0.173238463500026","0.161844366607071","0.18463256039298"
"Often","2016","Employed","","","",""
"Sometimes","2016","Not Employed","963","0.23376710166539","0.221025039831435","0.246509163499344"
"Sometimes","2016","Employed","","","",""
"Rarely ","2016","Not Employed","744","0.175385558252021","0.163935966602807","0.186835149901236"
"Rarely ","2016","Employed","","","",""
"Never","2016","Not Employed","1647","0.327527811522509","0.313398243958869","0.341657379086149"
"Never","2016","Employed","","","",""
"Very often","2017","Not Employed","372","0.0218079538726667","0.0191305955004711","0.0244853122448624"
"Very often","2017","Employed","129","0.00645778173205436","0.00528881868514293","0.00762674477896579"
"Often","2017","Not Employed","855","0.0575591648897708","0.0532897213670539","0.0618286084124877"
"Often","2017","Employed","517","0.0272668760753842","0.0248901426004961","0.0296436095502723"
"Sometimes","2017","Not Employed","1772","0.13169555531362","0.125496742042878","0.137894368584362"
"Sometimes","2017","Employed","1666","0.0908928491518563","0.0866977876338001","0.0950879106699126"
"Rarely ","2017","Not Employed","2800","0.265215312739547","0.257123117929418","0.273307507549676"
"Rarely ","2017","Employed","4793","0.268612657412865","0.262144167650165","0.275081147175564"
"Never","2017","Not Employed","5633","0.523722013184395","0.514566817064535","0.532877209304255"
"Never","2017","Employed","10932","0.60676983562784","0.599641283297783","0.613898387957898"
"Very often","2018","Not Employed","27","","",""
"Very often","2018","Employed","","","",""
"Often","2018","Not Employed","40","0.0950325995533101","0.0670527975035254","0.123012401603095"
"Often","2018","Employed","","","",""
"Sometimes","2018","Not Employed","93","0.231703331988338","0.191448086449822","0.271958577526855"
"Sometimes","2018","Employed","","","",""
"Rarely ","2018","Not Employed","71","0.164328849858776","0.128972576908287","0.199685122809264"
"Rarely ","2018","Employed","","","",""
"Never","2018","Not Employed","191","0.464386994845449","0.416803378340014","0.511970611350883"
"Never","2018","Employed","","","",""
"Very often","2019","Not Employed","8","","",""
"Very often","2019","Employed","","","",""
"Often","2019","Not Employed","21","","",""
"Often","2019","Employed","","","",""
"Sometimes","2019","Not Employed","61","0.196818161866457","0.14991165680467","0.243724666928243"
"Sometimes","2019","Employed","","","",""
"Rarely ","2019","Not Employed","52","0.195840947366719","0.149022578573504","0.242659316159934"
"Rarely ","2019","Employed","","","",""
"Never","2019","Not Employed","134","0.509951185479008","0.450974885261197","0.568927485696819"
"Never","2019","Employed","","","",""
