"plj0588","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"Very often","2013","16-34 y.","Male","14","","",""
"Very often","2013","16-34 y.","Female","35","0.00744532467490036","0.00445515889864176","0.010435490451159"
"Very often","2013","35-65 y.","Male","53","0.00795699116104349","0.00582512586228738","0.0100888564597996"
"Very often","2013","35-65 y.","Female","110","0.0131088428965466","0.0106503092122975","0.0155673765807958"
"Very often","2013","66 and older","Male","17","","",""
"Very often","2013","66 and older","Female","38","0.0146145843627768","0.00997049352750823","0.0192586751980453"
"Often","2013","16-34 y.","Male","100","0.0358904510469956","0.0285426613623403","0.0432382407316509"
"Often","2013","16-34 y.","Female","206","0.0679795028393641","0.0592240633672343","0.076734942311494"
"Often","2013","35-65 y.","Male","291","0.0531395675410431","0.0477572159424976","0.0585219191395886"
"Often","2013","35-65 y.","Female","488","0.0622815908613289","0.0570579245726781","0.0675052571499797"
"Often","2013","66 and older","Male","103","0.0491102421799099","0.0404646729487095","0.0577558114111103"
"Often","2013","66 and older","Female","136","0.0536159816333916","0.0448986165220095","0.0623333467447737"
"Sometimes","2013","16-34 y.","Male","486","0.211418508026371","0.195289826795519","0.227547189257224"
"Sometimes","2013","16-34 y.","Female","768","0.236335914949332","0.2215587108542","0.251113119044463"
"Sometimes","2013","35-65 y.","Male","1185","0.190760142360682","0.181332512492487","0.200187772228878"
"Sometimes","2013","35-65 y.","Female","1741","0.219200295400973","0.210257984964803","0.228142605837143"
"Sometimes","2013","66 and older","Male","399","0.183135451929016","0.167661412239003","0.198609491619029"
"Sometimes","2013","66 and older","Female","521","0.214562425638456","0.1986756018617","0.230449249415212"
"Rarely ","2013","16-34 y.","Male","1143","0.466424037891638","0.446718302037723","0.486129773745553"
"Rarely ","2013","16-34 y.","Female","1432","0.471663636194252","0.454299720241262","0.489027552147242"
"Rarely ","2013","35-65 y.","Male","3207","0.476815346046123","0.464830769797165","0.48879992229508"
"Rarely ","2013","35-65 y.","Female","3596","0.435916740126839","0.425198271672117","0.446635208581561"
"Rarely ","2013","66 and older","Male","990","0.399693182608278","0.380096052396727","0.419290312819829"
"Rarely ","2013","66 and older","Female","929","0.359160726968228","0.340594511478601","0.377726942457856"
"Never","2013","16-34 y.","Male","719","0.279651972803626","0.261922974601177","0.297380971006075"
"Never","2013","16-34 y.","Female","734","0.216575621342152","0.202247819988872","0.230903422695431"
"Never","2013","35-65 y.","Male","1936","0.271327952891108","0.260658715061962","0.281997190720254"
"Never","2013","35-65 y.","Female","2287","0.269492530714312","0.259901946756246","0.279083114672379"
"Never","2013","66 and older","Male","891","0.360748581265755","0.341536224781967","0.379960937749543"
"Never","2013","66 and older","Female","941","0.358046281397147","0.339492781355871","0.376599781438423"
"Very often","2014","16-34 y.","Male","","","",""
"Very often","2014","16-34 y.","Female","","","",""
"Very often","2014","35-65 y.","Male","","","",""
"Very often","2014","35-65 y.","Female","","","",""
"Very often","2014","66 and older","Male","","","",""
"Very often","2014","66 and older","Female","","","",""
"Often","2014","16-34 y.","Male","","","",""
