"plj0588","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Very often","2013","no migration background","Urban Area","136","0.00994915310562755","0.00826929846855172","0.0116290077427034"
"Very often","2013","no migration background","Rural Area","74","0.00785733262768499","0.00595430002836178","0.0097603652270082"
"Very often","2013","direct migration background","Urban Area","36","0.0179924540947137","0.0121508339453314","0.0238340742440959"
"Very often","2013","direct migration background","Rural Area","10","","",""
"Very often","2013","indirect migration background","Urban Area","6","","",""
"Very often","2013","indirect migration background","Rural Area","5","","",""
"Often","2013","no migration background","Urban Area","668","0.0530376453731707","0.0492444224148101","0.0568308683315313"
"Often","2013","no migration background","Rural Area","419","0.0564752700843681","0.0514998770121497","0.0614506631565865"
"Often","2013","direct migration background","Urban Area","139","0.0612723200389886","0.05073251266154","0.0718121274164371"
"Often","2013","direct migration background","Rural Area","45","0.0790775309545409","0.0582676346066755","0.0998874273024063"
"Often","2013","indirect migration background","Urban Area","45","0.0460169048739495","0.0327630712011966","0.0592707385467023"
"Often","2013","indirect migration background","Rural Area","8","","",""
"Sometimes","2013","no migration background","Urban Area","2519","0.199165863663137","0.192406144766866","0.205925582559407"
"Sometimes","2013","no migration background","Rural Area","1684","0.211225183217722","0.202427446501237","0.220022919934207"
"Sometimes","2013","direct migration background","Urban Area","486","0.251276558288324","0.232214604944012","0.270338511632637"
"Sometimes","2013","direct migration background","Rural Area","167","0.223566917129299","0.191438626699126","0.255695207559473"
"Sometimes","2013","indirect migration background","Urban Area","197","0.208825155149178","0.183112903132208","0.234537407166148"
"Sometimes","2013","indirect migration background","Rural Area","47","0.284679807486901","0.225452193993938","0.343907420979863"
"Rarely ","2013","no migration background","Urban Area","6042","0.446489897713062","0.438075588066909","0.454904207359215"
"Rarely ","2013","no migration background","Rural Area","3786","0.450010179175768","0.439287332659179","0.460733025692358"
"Rarely ","2013","direct migration background","Urban Area","714","0.337270184681872","0.316492941191167","0.358047428172578"
"Rarely ","2013","direct migration background","Rural Area","231","0.35331198377549","0.316451721361361","0.390172246189618"
"Rarely ","2013","indirect migration background","Urban Area","427","0.469312941056287","0.437743783831699","0.500882098280875"
"Rarely ","2013","indirect migration background","Rural Area","97","0.368677697999524","0.305357150872696","0.431998245126352"
"Never","2013","no migration background","Urban Area","4044","0.291357440145003","0.283666550710705","0.299048329579301"
"Never","2013","no migration background","Rural Area","2306","0.274432034894457","0.264814183824057","0.284049885964857"
"Never","2013","direct migration background","Urban Area","614","0.332188482896101","0.311489455593463","0.352887510198739"
"Never","2013","direct migration background","Rural Area","193","0.319770290804149","0.283805404978296","0.355735176630001"
"Never","2013","indirect migration background","Urban Area","285","0.272768054144237","0.244594236360146","0.300941871928328"
"Never","2013","indirect migration background","Rural Area","66","0.306149384315883","0.245657746435934","0.366641022195831"
"Very often","2014","no migration background","Urban Area","","","",""
"Very often","2014","no migration background","Rural Area","","","",""
"Very often","2014","direct migration background","Urban Area","","","",""
"Very often","2014","direct migration background","Rural Area","","","",""
"Very often","2014","indirect migration background","Urban Area","","","",""
"Very often","2014","indirect migration background","Rural Area","","","",""
"Often","2014","no migration background","Urban Area","","","",""
"Often","2014","no migration background","Rural Area","","","",""
"Often","2014","direct migration background","Urban Area","","","",""
"Often","2014","direct migration background","Rural Area","","","",""
"Often","2014","indirect migration background","Urban Area","","","",""
"Often","2014","indirect migration background","Rural Area","","","",""
"Sometimes","2014","no migration background","Urban Area","","","",""
"Sometimes","2014","no migration background","Rural Area","","","",""
"Sometimes","2014","direct migration background","Urban Area","","","",""
"Sometimes","2014","direct migration background","Rural Area","","","",""
"Sometimes","2014","indirect migration background","Urban Area","","","",""
"Sometimes","2014","indirect migration background","Rural Area","","","",""
"Rarely ","2014","no migration background","Urban Area","","","",""
"Rarely ","2014","no migration background","Rural Area","","","",""
"Rarely ","2014","direct migration background","Urban Area","","","",""
"Rarely ","2014","direct migration background","Rural Area","","","",""
"Rarely ","2014","indirect migration background","Urban Area","","","",""
"Rarely ","2014","indirect migration background","Rural Area","","","",""
"Never","2014","no migration background","Urban Area","","","",""
"Never","2014","no migration background","Rural Area","","","",""
"Never","2014","direct migration background","Urban Area","","","",""
"Never","2014","direct migration background","Rural Area","","","",""
"Never","2014","indirect migration background","Urban Area","","","",""
"Never","2014","indirect migration background","Rural Area","","","",""
"Very often","2015","no migration background","Urban Area","","","",""
"Very often","2015","no migration background","Rural Area","","","",""
"Very often","2015","direct migration background","Urban Area","","","",""
"Very often","2015","direct migration background","Rural Area","","","",""
"Very often","2015","indirect migration background","Urban Area","","","",""
"Very often","2015","indirect migration background","Rural Area","","","",""
"Often","2015","no migration background","Urban Area","","","",""
"Often","2015","no migration background","Rural Area","","","",""
"Often","2015","direct migration background","Urban Area","","","",""
"Often","2015","direct migration background","Rural Area","","","",""
"Often","2015","indirect migration background","Urban Area","","","",""
"Often","2015","indirect migration background","Rural Area","","","",""
"Sometimes","2015","no migration background","Urban Area","","","",""
"Sometimes","2015","no migration background","Rural Area","","","",""
"Sometimes","2015","direct migration background","Urban Area","","","",""
"Sometimes","2015","direct migration background","Rural Area","","","",""
"Sometimes","2015","indirect migration background","Urban Area","","","",""
"Sometimes","2015","indirect migration background","Rural Area","","","",""
"Rarely ","2015","no migration background","Urban Area","","","",""
"Rarely ","2015","no migration background","Rural Area","","","",""
"Rarely ","2015","direct migration background","Urban Area","","","",""
"Rarely ","2015","direct migration background","Rural Area","","","",""
