"plj0588","year","e11102","n","percent","lower_confidence","upper_confidence"
"Very often","2013","Not Employed","155","0.0159137403364743","0.0132937503932778","0.0185337302796709"
"Very often","2013","Employed","112","0.00637677914205114","0.00517067247805817","0.00758288580604411"
"Often","2013","Not Employed","549","0.0639891772144285","0.0588653956737033","0.0691129587551537"
"Often","2013","Employed","775","0.0491933735675494","0.0459163952623506","0.0524703518727483"
"Sometimes","2013","Not Employed","1867","0.223866127167851","0.215139238841924","0.232593015493779"
"Sometimes","2013","Employed","3233","0.197818145656487","0.191782223318503","0.203854067994471"
"Rarely ","2013","Not Employed","3430","0.375808542295568","0.365668514608906","0.385948569982231"
"Rarely ","2013","Employed","7867","0.476653515759043","0.469085705777837","0.48422132574025"
"Never","2013","Not Employed","2763","0.320422412985677","0.310652788447766","0.330192037523588"
"Never","2013","Employed","4745","0.269958185874869","0.263231575366885","0.276684796382854"
"Very often","2014","Not Employed","","","",""
"Very often","2014","Employed","","","",""
"Often","2014","Not Employed","","","",""
"Often","2014","Employed","","","",""
"Sometimes","2014","Not Employed","","","",""
"Sometimes","2014","Employed","","","",""
"Rarely ","2014","Not Employed","","","",""
"Rarely ","2014","Employed","","","",""
"Never","2014","Not Employed","","","",""
"Never","2014","Employed","","","",""
"Very often","2015","Not Employed","","","",""
"Very often","2015","Employed","","","",""
"Often","2015","Not Employed","","","",""
"Often","2015","Employed","","","",""
"Sometimes","2015","Not Employed","","","",""
"Sometimes","2015","Employed","","","",""
"Rarely ","2015","Not Employed","","","",""
"Rarely ","2015","Employed","","","",""
"Never","2015","Not Employed","","","",""
"Never","2015","Employed","","","",""
"Very often","2016","Not Employed","322","0.0937089717822827","0.0848912827669861","0.102526660797579"
"Very often","2016","Employed","","","",""
"Often","2016","Not Employed","566","0.172446316700374","0.161016075351801","0.183876558048947"
"Often","2016","Employed","","","",""
"Sometimes","2016","Not Employed","1110","0.285725073774128","0.272056058445927","0.299394089102328"
"Sometimes","2016","Employed","","","",""
"Rarely ","2016","Not Employed","848","0.182662139473344","0.170971038009444","0.194353240937244"
"Rarely ","2016","Employed","","","",""
"Never","2016","Not Employed","1350","0.265457498269872","0.252096579773351","0.278818416766394"
"Never","2016","Employed","","","",""
"Very often","2017","Not Employed","403","0.0217916914544484","0.0191106147010096","0.0244727682078872"
"Very often","2017","Employed","144","0.00720514903358572","0.0059710985572229","0.00843919950994855"
"Often","2017","Not Employed","951","0.0685977209182658","0.0639560794171692","0.0732393624193625"
"Often","2017","Employed","850","0.0452164112492762","0.0421847393402693","0.048248083158283"
"Sometimes","2017","Not Employed","2575","0.220428739784197","0.212816540985077","0.228040938583317"
"Sometimes","2017","Employed","3489","0.192915371519042","0.1871579949421","0.198672748095985"
"Rarely ","2017","Not Employed","3837","0.370045240320056","0.361179189936852","0.37891129070326"
"Rarely ","2017","Employed","8148","0.463017767168613","0.455742306987083","0.470293227350143"
"Never","2017","Not Employed","3626","0.319136607523033","0.310576752540214","0.327696462505853"
"Never","2017","Employed","5413","0.291645301029483","0.285013453038603","0.298277149020362"
"Very often","2018","Not Employed","35","0.0809327011809247","0.0548496063425027","0.107015796019347"
"Very often","2018","Employed","","","",""
"Often","2018","Not Employed","42","0.101638994744147","0.0727402437746506","0.130537745713644"
"Often","2018","Employed","","","",""
"Sometimes","2018","Not Employed","115","0.307698354329106","0.263558213488117","0.351838495170096"
"Sometimes","2018","Employed","","","",""
"Rarely ","2018","Not Employed","68","0.128992723355792","0.096936161351764","0.161049285359819"
"Rarely ","2018","Employed","","","",""
"Never","2018","Not Employed","160","0.38073722639003","0.334299216089851","0.427175236690209"
"Never","2018","Employed","","","",""
"Very often","2019","Not Employed","8","","",""
"Very often","2019","Employed","","","",""
"Often","2019","Not Employed","22","","",""
"Often","2019","Employed","","","",""
"Sometimes","2019","Not Employed","56","0.237682775101793","0.187373453009953","0.287992097193633"
"Sometimes","2019","Employed","","","",""
"Rarely ","2019","Not Employed","62","0.197462245240553","0.15041258237604","0.244511908105066"
"Rarely ","2019","Employed","","","",""
"Never","2019","Not Employed","127","0.479906279205317","0.420858881081728","0.538953677328905"
"Never","2019","Employed","","","",""
