"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","39.9","40","6556","20","40","45","53","39.61","40.19","40","40"
"1985","39.6","40","6004","20","40","45","50","39.28","39.92","40","40"
"1986","40.04","40","5817","20","39","45","52","39.73","40.35","40","40"
"1987","39.49","40","5907","20","39","45","50","39.2","39.78","40","40"
"1988","39","40","5612","20","38","45","50","38.68","39.32","40","40"
"1989","39.83","40","5520","22","38","45","50","39.54","40.12","40","40"
"1990","40.56","40","8606","24","38","46.2999992370605","51","40.33","40.79","40","40"
"1991","39.38","40","8038","22","37.5","45","50","39.13","39.63","40","40"
"1992","39.64","40","7649","23.1000003814697","37.5","45","50","39.4","39.88","40","40"
"1993","39.36","40","7406","22","37.5","45","50","39.1","39.62","40","40"
"1994","39.27","40","7092","20.7999992370605","37.5","45","50","39.01","39.53","40","40"
"1995","39.03","40","7507","20","37.5","45","50","38.76","39.3","40","40"
"1996","39.05","40","7231","20","37","45","50","38.78","39.32","40","40"
"1997","39.51","40","7119","20","37","45","52","39.23","39.79","40","40"
"1998","39.34","40","7755","20","37","45","50","39.07","39.61","40","40"
"1999","38.69","40","7853","20","36","45","50","38.41","38.97","40","40"
"2000","38.8","40","13306","20","35","45","50","38.58","39.02","40","40"
"2001","38.64","40","12280","20","35","45","51","38.41","38.87","40","40"
"2002","38.21","40","12980","19","35","45","50","37.98","38.44","40","40"
"2003","37.88","40","12362","18","35","45","50","37.64","38.12","40","40"
"2004","37.8","40","11855","18","35","45","50","37.56","38.04","40","40"
"2005","38.06","40","11205","19.2999992370605","34","45","50","37.81","38.31","40","40"
"2006","38.32","40","11840","18","34","45","50","38.08","38.56","40","40"
"2007","38.35","40","11290","17","34","45","51","38.1","38.6","40","40"
"2008","38.06","40","10710","18","33","45","50","37.8","38.32","40","40"
"2009","37.95","40","10019","16","33","45","50","37.68","38.22","40","40"
"2010","37.38","40","13621","15","30","45","50","37.14","37.62","40","40"
"2011","38.24","40","16635","16","33","45","50","38.03","38.45","40","40"
"2012","37.64","40","16336","15","32","45","50","37.43","37.85","40","40"
"2013","37.36","40","18615","15","30","45","50","37.16","37.56","40","40"
"2014","36.82","40","16452","15","30","45","50","36.61","37.03","40","40"
"2015","36.94","40","16115","15","30","45","50","36.73","37.15","40","40"
"2016","36.7","40","14823","15","30","44","50","36.48","36.92","40","40"
"2017","36.52","40","17050","15","30","44","50","36.32","36.72","40","40"
"2018","36.45","40","16825","15","30","43","50","36.25","36.65","40","40"
"2019","36.73","40","17535","16","30","44","50","36.53","36.93","40","40"
