"pld0044","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Full Time","West Germany","34","0.00587684847376561","0.00404485142385695","0.00770884552367427"
"Very often","2003","Full Time","East Germany","4","","",""
"Very often","2003","Part Time","West Germany","46","0.0133329700588948","0.00981789019289742","0.0168480499248922"
"Very often","2003","Part Time","East Germany","3","","",""
"Very often","2003","Not Working","West Germany","38","0.00422370697383676","0.00258246489913965","0.00586494904853387"
"Very often","2003","Not Working","East Germany","2","","",""
"Often","2003","Full Time","West Germany","215","0.0384412483768966","0.033833178211057","0.0430493185427362"
"Often","2003","Full Time","East Germany","31","0.0181857255279224","0.0125957382978909","0.0237757127579539"
"Often","2003","Part Time","West Germany","158","0.0349660436306534","0.0293363989862145","0.0405956882750924"
"Often","2003","Part Time","East Germany","28","","",""
"Often","2003","Not Working","West Germany","163","0.021098048722383","0.0174611131902641","0.024734984254502"
"Often","2003","Not Working","East Germany","47","0.0168747130039793","0.0113906145401059","0.0223588114678526"
"Sometimes","2003","Full Time","West Germany","1088","0.168062181403432","0.159100017935129","0.177024344871735"
"Sometimes","2003","Full Time","East Germany","246","0.116448942114559","0.103030119000469","0.129867765228649"
"Sometimes","2003","Part Time","West Germany","681","0.172505198485804","0.160926222114923","0.184084174856684"
"Sometimes","2003","Part Time","East Germany","141","0.140060443811684","0.118824766227698","0.16129612139567"
"Sometimes","2003","Not Working","West Germany","649","0.102720663030445","0.0950375433080645","0.110403782752826"
"Sometimes","2003","Not Working","East Germany","176","0.0767677669053556","0.0654326097475146","0.0881029240631966"
"Rarely","2003","Full Time","West Germany","2560","0.382387296065787","0.370739539983442","0.394035052148132"
"Rarely","2003","Full Time","East Germany","798","0.344758271088577","0.324874948912941","0.364641593264213"
"Rarely","2003","Part Time","West Germany","1420","0.337559755284224","0.323067528446078","0.352051982122369"
"Rarely","2003","Part Time","East Germany","339","0.329738861996205","0.300972728087877","0.358504995904534"
"Rarely","2003","Not Working","West Germany","1455","0.231480471924453","0.220806415516111","0.242154528332794"
"Rarely","2003","Not Working","East Germany","495","0.222445036123739","0.204737443538117","0.24015262870936"
"Never","2003","Full Time","West Germany","2790","0.40523242568012","0.393465631262187","0.416999220098052"
"Never","2003","Full Time","East Germany","1116","0.517677822282929","0.496773830570893","0.538581813994965"
"Never","2003","Part Time","West Germany","1785","0.441636032540424","0.426417338740776","0.456854726340072"
"Never","2003","Part Time","East Germany","515","0.506689798768843","0.47609796299546","0.537281634542226"
"Never","2003","Not Working","West Germany","3693","0.640477109348882","0.628333160197218","0.652621058500546"
"Never","2003","Not Working","East Germany","1399","0.6830054562993","0.663193808774922","0.702817103823678"
"Very often","2004","Full Time","West Germany","","","",""
"Very often","2004","Full Time","East Germany","","","",""
"Very often","2004","Part Time","West Germany","","","",""
"Very often","2004","Part Time","East Germany","","","",""
"Very often","2004","Not Working","West Germany","","","",""
"Very often","2004","Not Working","East Germany","","","",""
"Often","2004","Full Time","West Germany","","","",""
"Often","2004","Full Time","East Germany","","","",""
"Often","2004","Part Time","West Germany","","","",""
"Often","2004","Part Time","East Germany","","","",""
"Often","2004","Not Working","West Germany","","","",""
"Often","2004","Not Working","East Germany","","","",""
"Sometimes","2004","Full Time","West Germany","","","",""
