"year","pgisced97","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","general elemantary","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1984","general elemantary","Westdeutschland, alte Bundeslaender","6.35","7","3462","2","5","9","10","10","6.26","6.44","0","10","7","7"
"1984","higher education","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1984","higher education","Westdeutschland, alte Bundeslaender","7.44","8","792","4","6","9","10","10","7.28","7.6","0","10","8","8"
"1984","higher vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1984","higher vocational","Westdeutschland, alte Bundeslaender","6.8","7","658","3","5","9","10","10","6.6","7","0","10","7","8"
"1984","in school","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1984","in school","Westdeutschland, alte Bundeslaender","8.49","9","187","5","8","10","10","10","8.2","8.78","0","10","9","9"
"1984","inadequately","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1984","inadequately","Westdeutschland, alte Bundeslaender","6.45","7","1019","2","5","9","10","10","6.27","6.63","0","10","7","7"
"1984","middle vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1984","middle vocational","Westdeutschland, alte Bundeslaender","6.92","8","5715","3","5","9","10","10","6.85","6.99","0","10","8","8"
"1984","vocational + Abi","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1984","vocational + Abi","Westdeutschland, alte Bundeslaender","7.34","8","312","4","6","9","10","10","7.07","7.61","0","10","8","8"
"1985","general elemantary","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1985","general elemantary","Westdeutschland, alte Bundeslaender","6.47","7","3064","3","5","8","10","10","6.38","6.56","0","10","7","7"
"1985","higher education","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1985","higher education","Westdeutschland, alte Bundeslaender","7.37","8","757","5","6","9","10","10","7.23","7.51","0","10","8","8"
"1985","higher vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1985","higher vocational","Westdeutschland, alte Bundeslaender","6.68","7","618","3","5","8","10","10","6.49","6.87","0","10","7","8"
"1985","in school","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1985","in school","Westdeutschland, alte Bundeslaender","8.14","8","186","5","7","10","10","10","7.88","8.4","1","10","8","9"
"1985","inadequately","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1985","inadequately","Westdeutschland, alte Bundeslaender","6.39","7","842","2","5","9","10","10","6.21","6.57","0","10","7","7"
"1985","middle vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1985","middle vocational","Westdeutschland, alte Bundeslaender","6.81","7","5176","3","5","9","10","10","6.74","6.88","0","10","7","8"
"1985","vocational + Abi","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1985","vocational + Abi","Westdeutschland, alte Bundeslaender","6.81","7","275","3","5","9","10","10","6.52","7.1","0","10","7","8"
"1986","general elemantary","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1986","general elemantary","Westdeutschland, alte Bundeslaender","6.45","7","2913","3","5","8","10","10","6.36","6.54","0","10","7","7"
"1986","higher education","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1986","higher education","Westdeutschland, alte Bundeslaender","7.21","8","750","4","6","9","10","10","7.06","7.36","0","10","8","8"
"1986","higher vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1986","higher vocational","Westdeutschland, alte Bundeslaender","6.71","7","582","3","5","8","10","10","6.52","6.9","0","10","7","8"
"1986","in school","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1986","in school","Westdeutschland, alte Bundeslaender","8.2","8.1","188","6","7","10","10","10","7.95","8.45","2","10","8","9"
"1986","inadequately","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1986","inadequately","Westdeutschland, alte Bundeslaender","6.15","7","787","2","4","8","10","10","5.96","6.34","0","10","6","7"
"1986","middle vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1986","middle vocational","Westdeutschland, alte Bundeslaender","6.75","7","5004","3","5","9","10","10","6.68","6.82","0","10","7","7"
"1986","vocational + Abi","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1986","vocational + Abi","Westdeutschland, alte Bundeslaender","6.95","7.9","278","4","5","9","10","10","6.68","7.22","0","10","7","8"
"1987","general elemantary","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1987","general elemantary","Westdeutschland, alte Bundeslaender","6.37","7","2850","3","5","8","10","10","6.28","6.46","0","10","7","7"
"1987","higher education","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1987","higher education","Westdeutschland, alte Bundeslaender","7.16","8","743","4","6","9","10","10","7.01","7.31","0","10","8","8"
"1987","higher vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1987","higher vocational","Westdeutschland, alte Bundeslaender","6.73","7","569","4","5","8","10","10","6.55","6.91","0","10","7","7"
"1987","in school","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
