"pgfamstd","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"1","1984","16-34 y.","Male","740","0.337239312305735","0.316452082133225","0.358026542478244"
"1","1984","16-34 y.","Female","1077","0.460595739562615","0.438976651699078","0.482214827426153"
"1","1984","35-65 y.","Male","2489","0.851135227431333","0.838096576187319","0.864173878675347"
"1","1984","35-65 y.","Female","2279","0.776692477460416","0.76114975163058","0.792235203290251"
"1","1984","66 and older","Male","331","0.754101663538336","0.712820427264266","0.795382899812406"
"1","1984","66 and older","Female","193","0.255569764053422","0.221263847329536","0.289875680777309"
"2","1984","16-34 y.","Male","19","","",""
"2","1984","16-34 y.","Female","27","","",""
"2","1984","35-65 y.","Male","37","0.0147267807708642","0.0103144336919467","0.0191391278497816"
"2","1984","35-65 y.","Female","28","","",""
"2","1984","66 and older","Male","5","","",""
"2","1984","66 and older","Female","1","","",""
"3","1984","16-34 y.","Male","1186","0.634041198371605","0.612861293999375","0.655221102743834"
"3","1984","16-34 y.","Female","864","0.485167169186839","0.463490175975861","0.506844162397817"
"3","1984","35-65 y.","Male","132","0.0570742758734034","0.0485766743086318","0.0655718774381751"
"3","1984","35-65 y.","Female","100","0.0488963203950583","0.0408480421910736","0.0569445985990431"
"3","1984","66 and older","Male","11","","",""
"3","1984","66 and older","Female","53","0.0928349421770758","0.0700104468606952","0.115659437493456"
"4","1984","16-34 y.","Male","29","","",""
"4","1984","16-34 y.","Female","57","0.0329472875486064","0.0252052525729945","0.0406893225242183"
"4","1984","35-65 y.","Male","99","0.0471641715251969","0.0393989730315726","0.0549293700188212"
"4","1984","35-65 y.","Female","139","0.0591208815149","0.0503187404251157","0.0679230226046844"
"4","1984","66 and older","Male","6","","",""
"4","1984","66 and older","Female","21","","",""
"5","1984","16-34 y.","Male","1","","",""
"5","1984","16-34 y.","Female","9","","",""
"5","1984","35-65 y.","Male","43","0.0212680082410888","0.0159831575852141","0.0265528588969636"
"5","1984","35-65 y.","Female","206","0.101092682817345","0.0898422746518675","0.112343090982823"
"5","1984","66 and older","Male","65","0.190830620233227","0.153159919306034","0.228501321160419"
"5","1984","66 and older","Female","353","0.616813456067747","0.578576409882697","0.655050502252796"
"6","1984","16-34 y.","Male","12","","",""
"6","1984","16-34 y.","Female","8","","",""
"6","1984","35-65 y.","Male","63","0.00863153615811357","0.00524310229064609","0.0120199700255811"
