"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","1356.24","1278","7162","343","818","1687","2301","1336.29","1376.19","1227","1278"
"1985","1369.72","1278","6529","324","818","1738","2326","1349.11","1390.33","1255","1278"
"1986","1422.39","1329","6309","350","869","1790","2454","1400.6","1444.18","1278","1329"
"1987","1440.71","1355","6297","353","869","1790","2505","1418.01","1463.41","1278","1329"
"1988","1509.12","1432","5988","358","920","1892","2556","1485.1","1533.14","1349","1400"
"1989","1576.74","1483","5880","385","1012","1943","2633","1551.3","1602.18","1421","1432"
"1990","1377.73","1278","9206","368","614","1841","2556","1357.94","1397.52","920","972"
"1991","1495.79","1380","8727","410","757","1943","2659","1475.37","1516.21","1125","1202"
"1992","1676.41","1534","8145","511","941","2147","2868","1654.8","1698.02","1380","1432"
"1993","1820.33","1649.34","7918","521","1069","2301","3144","1795.35","1845.31","1534","1563"
"1994","1889.56","1738","7582","562","1176","2352","3164","1863.17","1915.95","1634","1636"
"1995","1944.38","1790","7885","549","1176","2454","3323","1913.76","1975","1662","1687"
"1996","2055.91","1841","7657","590","1253","2556","3528","2025.39","2086.43","1738","1789"
"1997","2060.53","1892","7430","614","1248","2556","3579","2032.41","2088.65","1789","1790"
"1998","2086.44","1917","8158","562","1227","2610","3579","2059.55","2113.33","1790","1841"
"1999","2112.34","1943","8089","501","1227","2659","3681","2083.78","2140.9","1790","1841"
"2000","2135.96","1943","13845","460","1176","2677","3835","2111","2160.92","1844","1934"
"2001","2150.24","1994","12632","414","1176","2761","3835","2124.58","2175.9","1892","1943"
"2002","2249.51","2000","13504","400","1153","2870","4000","2205.08","2293.94","2038","2100"
"2003","2317.24","2050","12792","420","1184","3000","4000","2276.35","2358.13","2086","2130"
"2004","2334.53","2050.87","12404","401","1175","3000","4150","2294.45","2374.61","2100","2169"
"2005","2312.66","2100","11749","400","1135","3000","4100","2274.11","2351.21","2100","2200"
"2006","2342.83","2100","12387","400","1125","3000","4200","2298.82","2386.84","2086","2128"
"2007","2365.96","2100","11810","400","1150","3000","4300","2324.72","2407.2","2100","2150"
"2008","2376.4","2100","11188","400","1111","3075","4300","2335.55","2417.25","2100","2185"
"2009","2422.32","2160","10428","400","1158","3100","4446","2379.51","2465.13","2100","2200"
"2010","2433.4","2164","14113","400","1100","3114","4400","2395.41","2471.39","2100","2140"
"2011","2468.63","2200","17030","400","1200","3200","4550","2434.42","2502.84","2100","2150"
"2012","2491.75","2200","16767","400","1200","3274","4600","2456.18","2527.32","2100","2188"
"2013","2527.57","2200","19122","420","1200","3300","4800","2495.33","2559.81","2000","2100"
"2014","2569.4","2290","16857","450","1200","3400","4800","2534.29","2604.51","2100","2200"
"2015","2653.14","2300","16633","450","1200","3500","5000","2616.76","2689.52","2100","2200"
"2016","2685.63","2374.07","15801","450","1250","3500","5000","2648.01","2723.25","2100","2200"
"2017","2726.87","2400","18060","450","1280","3526","5006","2692.64","2761.1","2200","2251"
"2018","2820.6","2500","17635","450","1380","3700","5200","2784.63","2856.57","2200","2300"
"2019","3031.43","2600","18433","451","1469","3800","5400","2734.27","3328.59","2500","2500"
