"pli0092_h","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","1985","Full Time","West Germany","","","",""
"Daily","1985","Full Time","East Germany","","","",""
"Daily","1985","Part Time","West Germany","","","",""
"Daily","1985","Part Time","East Germany","","","",""
"Daily","1985","Not Working","West Germany","","","",""
"Daily","1985","Not Working","East Germany","","","",""
"Min 1x per week","1985","Full Time","West Germany","1223","0.287925687634779","0.275295221075514","0.300556154194044"
"Min 1x per week","1985","Full Time","East Germany","","","",""
"Min 1x per week","1985","Part Time","West Germany","484","0.28745071111383","0.266822157193194","0.308079265034467"
"Min 1x per week","1985","Part Time","East Germany","","","",""
"Min 1x per week","1985","Not Working","West Germany","763","0.175055959792326","0.16351224519935","0.186599674385301"
"Min 1x per week","1985","Not Working","East Germany","","","",""
"Min 1x per month","1985","Full Time","West Germany","284","0.0614130388852279","0.0547159805832871","0.0681100971871687"
"Min 1x per month","1985","Full Time","East Germany","","","",""
"Min 1x per month","1985","Part Time","West Germany","99","0.0500343452967809","0.0400970613810027","0.0599716292125592"
"Min 1x per month","1985","Part Time","East Germany","","","",""
"Min 1x per month","1985","Not Working","West Germany","159","0.0354169220575716","0.0298023053618734","0.0410315387532697"
"Min 1x per month","1985","Not Working","East Germany","","","",""
"Rarely","1985","Full Time","West Germany","770","0.168541218503582","0.158099067857523","0.178983369149641"
"Rarely","1985","Full Time","East Germany","","","",""
"Rarely","1985","Part Time","West Germany","287","0.156202843076585","0.139654933791157","0.172750752362013"
"Rarely","1985","Part Time","East Germany","","","",""
"Rarely","1985","Not Working","West Germany","376","0.0778550669475236","0.0697157507762744","0.0859943831187727"
"Rarely","1985","Not Working","East Germany","","","",""
"Never","1985","Full Time","West Germany","2660","0.482120054976411","0.468181791405149","0.496058318547674"
"Never","1985","Full Time","East Germany","","","",""
"Never","1985","Part Time","West Germany","979","0.506312100512804","0.483523637743684","0.529100563281924"
"Never","1985","Part Time","East Germany","","","",""
"Never","1985","Not Working","West Germany","2865","0.711672051202579","0.697911741393177","0.725432361011981"
"Never","1985","Not Working","East Germany","","","",""
"Daily","1986","Full Time","West Germany","","","",""
"Daily","1986","Full Time","East Germany","","","",""
"Daily","1986","Part Time","West Germany","","","",""
"Daily","1986","Part Time","East Germany","","","",""
"Daily","1986","Not Working","West Germany","","","",""
"Daily","1986","Not Working","East Germany","","","",""
"Min 1x per week","1986","Full Time","West Germany","1247","0.29348248920463","0.280627339637238","0.306337638772023"
"Min 1x per week","1986","Full Time","East Germany","","","",""
"Min 1x per week","1986","Part Time","West Germany","511","0.30209639267985","0.281007022530612","0.323185762829089"
"Min 1x per week","1986","Part Time","East Germany","","","",""
"Min 1x per week","1986","Not Working","West Germany","785","0.17892988781066","0.166878744265018","0.190981031356301"
"Min 1x per week","1986","Not Working","East Germany","","","",""
"Min 1x per month","1986","Full Time","West Germany","332","0.0729488677208729","0.0656073526624952","0.0802903827792507"
"Min 1x per month","1986","Full Time","East Germany","","","",""
"Min 1x per month","1986","Part Time","West Germany","101","0.0607765174981463","0.0498030092369509","0.0717500257593418"
"Min 1x per month","1986","Part Time","East Germany","","","",""
"Min 1x per month","1986","Not Working","West Germany","134","0.0303960563916166","0.0249984339816112","0.035793678801622"
"Min 1x per month","1986","Not Working","East Germany","","","",""
"Rarely","1986","Full Time","West Germany","719","0.162983888559911","0.152556781843787","0.173410995276035"
"Rarely","1986","Full Time","East Germany","","","",""
"Rarely","1986","Part Time","West Germany","264","0.151343649340436","0.134883220265612","0.16780407841526"
"Rarely","1986","Part Time","East Germany","","","",""
"Rarely","1986","Not Working","West Germany","296","0.0648726699902093","0.0571287126087857","0.0726166273716328"
"Rarely","1986","Not Working","East Germany","","","",""
"Never","1986","Full Time","West Germany","2522","0.470584754514586","0.456493757585187","0.484675751443984"
"Never","1986","Full Time","East Germany","","","",""
"Never","1986","Part Time","West Germany","945","0.485783440481567","0.462827901168529","0.508738979794606"
"Never","1986","Part Time","East Germany","","","",""
"Never","1986","Not Working","West Germany","2671","0.725801385807514","0.711775244265155","0.739827527349874"
"Never","1986","Not Working","East Germany","","","",""
"Daily","1987","Full Time","West Germany","","","",""
"Daily","1987","Full Time","East Germany","","","",""
"Daily","1987","Part Time","West Germany","","","",""
"Daily","1987","Part Time","East Germany","","","",""
"Daily","1987","Not Working","West Germany","","","",""
"Daily","1987","Not Working","East Germany","","","",""
"Min 1x per week","1987","Full Time","West Germany","","","",""
"Min 1x per week","1987","Full Time","East Germany","","","",""
"Min 1x per week","1987","Part Time","West Germany","","","",""
"Min 1x per week","1987","Part Time","East Germany","","","",""
"Min 1x per week","1987","Not Working","West Germany","","","",""
"Min 1x per week","1987","Not Working","East Germany","","","",""
"Min 1x per month","1987","Full Time","West Germany","","","",""
"Min 1x per month","1987","Full Time","East Germany","","","",""
"Min 1x per month","1987","Part Time","West Germany","","","",""
"Min 1x per month","1987","Part Time","East Germany","","","",""
"Min 1x per month","1987","Not Working","West Germany","","","",""
"Min 1x per month","1987","Not Working","East Germany","","","",""
"Rarely","1987","Full Time","West Germany","","","",""
"Rarely","1987","Full Time","East Germany","","","",""
"Rarely","1987","Part Time","West Germany","","","",""
"Rarely","1987","Part Time","East Germany","","","",""
"Rarely","1987","Not Working","West Germany","","","",""
"Rarely","1987","Not Working","East Germany","","","",""
"Never","1987","Full Time","West Germany","","","",""
"Never","1987","Full Time","East Germany","","","",""
"Never","1987","Part Time","West Germany","","","",""
"Never","1987","Part Time","East Germany","","","",""
"Never","1987","Not Working","West Germany","","","",""
"Never","1987","Not Working","East Germany","","","",""
"Daily","1988","Full Time","West Germany","","","",""
"Daily","1988","Full Time","East Germany","","","",""
"Daily","1988","Part Time","West Germany","","","",""
"Daily","1988","Part Time","East Germany","","","",""
"Daily","1988","Not Working","West Germany","","","",""
"Daily","1988","Not Working","East Germany","","","",""
"Min 1x per week","1988","Full Time","West Germany","1194","0.293680771303237","0.280461608826919","0.306899933779554"
"Min 1x per week","1988","Full Time","East Germany","","","",""
"Min 1x per week","1988","Part Time","West Germany","514","0.295465717100551","0.274550392494049","0.316381041707054"
"Min 1x per week","1988","Part Time","East Germany","","","",""
