"pli0092_h","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","1985","Schleswig-Holstein","in school","","","",""
"Daily","1985","Schleswig-Holstein","inadequately","","","",""
"Daily","1985","Schleswig-Holstein","general elemantary","","","",""
"Daily","1985","Schleswig-Holstein","middle vocational","","","",""
"Daily","1985","Schleswig-Holstein","vocational + Abi","","","",""
"Daily","1985","Schleswig-Holstein","higher vocational","","","",""
"Daily","1985","Schleswig-Holstein","higher education","","","",""
"Daily","1985","Hamburg","in school","","","",""
"Daily","1985","Hamburg","inadequately","","","",""
"Daily","1985","Hamburg","general elemantary","","","",""
"Daily","1985","Hamburg","middle vocational","","","",""
"Daily","1985","Hamburg","vocational + Abi","","","",""
"Daily","1985","Hamburg","higher vocational","","","",""
"Daily","1985","Hamburg","higher education","","","",""
"Daily","1985","Lower Saxony","in school","","","",""
"Daily","1985","Lower Saxony","inadequately","","","",""
"Daily","1985","Lower Saxony","general elemantary","","","",""
"Daily","1985","Lower Saxony","middle vocational","","","",""
"Daily","1985","Lower Saxony","vocational + Abi","","","",""
"Daily","1985","Lower Saxony","higher vocational","","","",""
"Daily","1985","Lower Saxony","higher education","","","",""
"Daily","1985","Bremen","in school","","","",""
"Daily","1985","Bremen","inadequately","","","",""
"Daily","1985","Bremen","general elemantary","","","",""
"Daily","1985","Bremen","middle vocational","","","",""
"Daily","1985","Bremen","vocational + Abi","","","",""
"Daily","1985","Bremen","higher vocational","","","",""
"Daily","1985","Bremen","higher education","","","",""
"Daily","1985","North Rhine-Westphalia","in school","","","",""
"Daily","1985","North Rhine-Westphalia","inadequately","","","",""
"Daily","1985","North Rhine-Westphalia","general elemantary","","","",""
"Daily","1985","North Rhine-Westphalia","middle vocational","","","",""
"Daily","1985","North Rhine-Westphalia","vocational + Abi","","","",""
"Daily","1985","North Rhine-Westphalia","higher vocational","","","",""
"Daily","1985","North Rhine-Westphalia","higher education","","","",""
"Daily","1985","Hesse","in school","","","",""
"Daily","1985","Hesse","inadequately","","","",""
"Daily","1985","Hesse","general elemantary","","","",""
"Daily","1985","Hesse","middle vocational","","","",""
"Daily","1985","Hesse","vocational + Abi","","","",""
"Daily","1985","Hesse","higher vocational","","","",""
"Daily","1985","Hesse","higher education","","","",""
"Daily","1985","Rhineland-Palatinate,Saarland","in school","","","",""
"Daily","1985","Rhineland-Palatinate,Saarland","inadequately","","","",""
"Daily","1985","Rhineland-Palatinate,Saarland","general elemantary","","","",""
"Daily","1985","Rhineland-Palatinate,Saarland","middle vocational","","","",""
"Daily","1985","Rhineland-Palatinate,Saarland","vocational + Abi","","","",""
"Daily","1985","Rhineland-Palatinate,Saarland","higher vocational","","","",""
"Daily","1985","Rhineland-Palatinate,Saarland","higher education","","","",""
"Daily","1985","Baden-Württemberg","in school","","","",""
"Daily","1985","Baden-Württemberg","inadequately","","","",""
"Daily","1985","Baden-Württemberg","general elemantary","","","",""
"Daily","1985","Baden-Württemberg","middle vocational","","","",""
"Daily","1985","Baden-Württemberg","vocational + Abi","","","",""
"Daily","1985","Baden-Württemberg","higher vocational","","","",""
"Daily","1985","Baden-Württemberg","higher education","","","",""
"Daily","1985","Bavaria","in school","","","",""
"Daily","1985","Bavaria","inadequately","","","",""
"Daily","1985","Bavaria","general elemantary","","","",""
"Daily","1985","Bavaria","middle vocational","","","",""
"Daily","1985","Bavaria","vocational + Abi","","","",""
"Daily","1985","Bavaria","higher vocational","","","",""
"Daily","1985","Bavaria","higher education","","","",""
"Daily","1985","Berlin","in school","","","",""
"Daily","1985","Berlin","inadequately","","","",""
"Daily","1985","Berlin","general elemantary","","","",""
"Daily","1985","Berlin","middle vocational","","","",""
"Daily","1985","Berlin","vocational + Abi","","","",""
"Daily","1985","Berlin","higher vocational","","","",""
"Daily","1985","Berlin","higher education","","","",""
"Daily","1985","Brandenburg","in school","","","",""
"Daily","1985","Brandenburg","inadequately","","","",""
"Daily","1985","Brandenburg","general elemantary","","","",""
"Daily","1985","Brandenburg","middle vocational","","","",""
"Daily","1985","Brandenburg","vocational + Abi","","","",""
"Daily","1985","Brandenburg","higher vocational","","","",""
"Daily","1985","Brandenburg","higher education","","","",""
"Daily","1985","Mecklenburg-Western Pomerania","in school","","","",""
"Daily","1985","Mecklenburg-Western Pomerania","inadequately","","","",""
"Daily","1985","Mecklenburg-Western Pomerania","general elemantary","","","",""
"Daily","1985","Mecklenburg-Western Pomerania","middle vocational","","","",""
"Daily","1985","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"Daily","1985","Mecklenburg-Western Pomerania","higher vocational","","","",""
"Daily","1985","Mecklenburg-Western Pomerania","higher education","","","",""
"Daily","1985","Saxony","in school","","","",""
"Daily","1985","Saxony","inadequately","","","",""
"Daily","1985","Saxony","general elemantary","","","",""
"Daily","1985","Saxony","middle vocational","","","",""
"Daily","1985","Saxony","vocational + Abi","","","",""
"Daily","1985","Saxony","higher vocational","","","",""
"Daily","1985","Saxony","higher education","","","",""
"Daily","1985","Saxony-Anhalt","in school","","","",""
"Daily","1985","Saxony-Anhalt","inadequately","","","",""
