"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","4.04","4","20602","1","3","6","7","4.02","4.06","4","4"
"2006","","","","","","","","","","",""
"2007","","","","","","","","","","",""
"2008","","","","","","","","","","",""
"2009","3.88","4","17923","1","2","5","6","3.85","3.91","4","4"
"2010","","","","","","","","","","",""
"2011","","","","","","","","","","",""
"2012","4.02","4","7061","1","2","6","7","3.98","4.06","4","4"
"2013","4.19","4","18765","1","3","6","7","4.16","4.22","4","4"
"2014","","","","","","","","","","",""
"2015","","","","","","","","","","",""
"2016","","","","","","","","","","",""
"2017","4.27","4","28988","2","3","6","7","4.25","4.29","5","5"
"2018","","","","","","","","","","",""
"2019","4.18","4","25617","1","3","6","7","4.16","4.2","4","4"
