"year","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","direct migration background","4.94","5","2362","2","4","6","7","7","4.87","5.01","1","7","5","5"
"2005","indirect migration background","4.6","5","830","2","3","6","7","7","4.48","4.72","1","7","4","5"
"2005","no migration background","4.74","5","17493","2","4","6","7","7","4.72","4.76","1","7","5","5"
"2006","direct migration background","","","","","","","","","","","","","",""
"2006","indirect migration background","","","","","","","","","","","","","",""
"2006","no migration background","","","","","","","","","","","","","",""
"2007","direct migration background","","","","","","","","","","","","","",""
"2007","indirect migration background","","","","","","","","","","","","","",""
"2007","no migration background","","","","","","","","","","","","","",""
"2008","direct migration background","","","","","","","","","","","","","",""
"2008","indirect migration background","","","","","","","","","","","","","",""
"2008","no migration background","","","","","","","","","","","","","",""
"2009","direct migration background","4.63","5","1654","2","4","6","7","7","4.55","4.71","1","7","5","5"
"2009","indirect migration background","4.2","4","713","2","3","6","6","7","4.07","4.33","1","7","4","4"
"2009","no migration background","4.36","4","15641","2","3","6","7","7","4.33","4.39","1","7","4","4"
"2010","direct migration background","","","","","","","","","","","","","",""
"2010","indirect migration background","","","","","","","","","","","","","",""
"2010","no migration background","","","","","","","","","","","","","",""
"2011","direct migration background","","","","","","","","","","","","","",""
"2011","indirect migration background","","","","","","","","","","","","","",""
"2011","no migration background","","","","","","","","","","","","","",""
"2012","direct migration background","5.03","5","1091","2","4","6","7","7","4.93","5.13","1","7","5","5"
"2012","indirect migration background","4.96","5","484","2","4","6","7","7","4.8","5.12","1","7","5","5"
"2012","no migration background","4.62","5","5555","2","3","6","7","7","4.58","4.66","1","7","5","5"
"2013","direct migration background","4.57","5","1683","2","3","6","7","7","4.49","4.65","1","7","5","5"
"2013","indirect migration background","4.08","4","714","2","3","5","6","7","3.96","4.2","1","7","4","4"
"2013","no migration background","4.2","4","16466","2","3","6","7","7","4.17","4.23","1","7","4","4"
"2014","direct migration background","","","","","","","","","","","","","",""
"2014","indirect migration background","","","","","","","","","","","","","",""
"2014","no migration background","","","","","","","","","","","","","",""
"2015","direct migration background","","","","","","","","","","","","","",""
"2015","indirect migration background","","","","","","","","","","","","","",""
"2015","no migration background","","","","","","","","","","","","","",""
"2016","direct migration background","","","","","","","","","","","","","",""
"2016","indirect migration background","","","","","","","","","","","","","",""
"2016","no migration background","","","","","","","","","","","","","",""
"2017","direct migration background","4.72","5","7270","2","4","6","7","7","4.68","4.76","1","7","5","5"
"2017","indirect migration background","4.5","5","1715","2","3","6","7","7","4.42","4.58","1","7","5","5"
"2017","no migration background","4.3","4","20303","2","3","6","7","7","4.28","4.32","1","7","4","4"
"2018","direct migration background","","","","","","","","","","","","","",""
"2018","indirect migration background","","","","","","","","","","","","","",""
"2018","no migration background","","","","","","","","","","","","","",""
"2019","direct migration background","4.34","4","3836","2","3","6","7","7","4.28","4.4","1","7","4","5"
"2019","indirect migration background","4.08","4","1699","2","3","5","6","7","3.99","4.17","1","7","4","4"
"2019","no migration background","3.89","4","20238","2","2","5","6","7","3.87","3.91","1","7","4","4"
