"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","4.76","5","20685","2","4","6","7","4.74","4.78","5","5"
"2006","","","","","","","","","","",""
"2007","","","","","","","","","","",""
"2008","","","","","","","","","","",""
"2009","4.38","4","18008","2","3","6","7","4.36","4.4","4","4"
"2010","","","","","","","","","","",""
"2011","","","","","","","","","","",""
"2012","4.73","5","7130","2","4","6","7","4.69","4.77","5","5"
"2013","4.23","4","18863","2","3","6","7","4.21","4.25","4","4"
"2014","","","","","","","","","","",""
"2015","","","","","","","","","","",""
"2016","","","","","","","","","","",""
"2017","4.37","4","29288","2","3","6","7","4.35","4.39","5","5"
"2018","","","","","","","","","","",""
"2019","3.97","4","25773","2","2","5","6","3.95","3.99","4","4"
