"year","sex","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","Female","5.03","5","10807","5","5.06","3","4","6","7"
"2005","Male","4.49","5","9878","4.46","4.52","2","3","6","7"
"2006","Female","","","","","","","","",""
"2006","Male","","","","","","","","",""
"2007","Female","","","","","","","","",""
"2007","Male","","","","","","","","",""
"2008","Female","","","","","","","","",""
"2008","Male","","","","","","","","",""
"2009","Female","4.65","5","9415","4.62","4.68","2","3","6","7"
"2009","Male","4.1","4","8593","4.07","4.13","2","3","5","6"
"2010","Female","","","","","","","","",""
"2010","Male","","","","","","","","",""
"2011","Female","","","","","","","","",""
"2011","Male","","","","","","","","",""
"2012","Female","5.04","5","4236","4.99","5.09","3","4","6","7"
"2012","Male","4.34","4","2894","4.28","4.4","2","3","6","7"
"2013","Female","4.52","5","10028","4.49","4.55","2","3","6","7"
"2013","Male","3.92","4","8835","3.89","3.95","2","3","5","6"
"2014","Female","","","","","","","","",""
"2014","Male","","","","","","","","",""
"2015","Female","","","","","","","","",""
"2015","Male","","","","","","","","",""
"2016","Female","","","","","","","","",""
"2016","Male","","","","","","","","",""
"2017","Female","4.68","5","15311","4.65","4.71","2","3","6","7"
"2017","Male","4.05","4","13977","4.02","4.08","2","3","5","6"
"2018","Female","","","","","","","","",""
"2018","Male","","","","","","","","",""
"2019","Female","4.28","4","13467","4.25","4.31","2","3","6","7"
"2019","Male","3.65","4","12297","3.62","3.68","1","2","5","6"
