"pli0083","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","1-pers.-HH","in school","1","","","","1"
"Daily","1990","1-pers.-HH","inadequately","25","","","","1"
"Daily","1990","1-pers.-HH","general elemantary","234","0.776660961016445","0.729843338177028","0.823478583855862","1"
"Daily","1990","1-pers.-HH","middle vocational","363","0.771284591878458","0.733711017488023","0.808858166268893","1"
"Daily","1990","1-pers.-HH","vocational + Abi","17","","","","1"
"Daily","1990","1-pers.-HH","higher vocational","38","0.696028453770676","0.575557030599912","0.81649987694144","1"
"Daily","1990","1-pers.-HH","higher education","56","0.540695729553415","0.446709781907572","0.634681677199257","1"
"Daily","1990","(Married) couple without C. ","in school","","","","","1"
"Daily","1990","(Married) couple without C. ","inadequately","64","0.939329786439067","0.883406088674454","0.995253484203679","1"
"Daily","1990","(Married) couple without C. ","general elemantary","476","0.903100351083016","0.878056863821195","0.928143838344837","1"
"Daily","1990","(Married) couple without C. ","middle vocational","1058","0.852737615770239","0.83303761918229","0.872437612358187","1"
"Daily","1990","(Married) couple without C. ","vocational + Abi","64","0.810614573892553","0.724756018101983","0.896473129683124","1"
"Daily","1990","(Married) couple without C. ","higher vocational","131","0.863492567229883","0.80944331457179","0.917541819887976","1"
"Daily","1990","(Married) couple without C. ","higher education","138","0.73021998981198","0.66839739374923","0.79204258587473","1"
"Daily","1990","Single parent ","in school","9","","","","1"
"Daily","1990","Single parent ","inadequately","24","","","","1"
"Daily","1990","Single parent ","general elemantary","105","0.758818041834987","0.688205837830723","0.829430245839251","1"
"Daily","1990","Single parent ","middle vocational","155","0.755029688009248","0.696157537199956","0.81390183881854","1"
"Daily","1990","Single parent ","vocational + Abi","7","","","","1"
"Daily","1990","Single parent ","higher vocational","16","","","","1"
"Daily","1990","Single parent ","higher education","16","","","","1"
"Daily","1990","Couple + C. LE 16 ","in school","1","","","","1"
"Daily","1990","Couple + C. LE 16 ","inadequately","115","0.767671503826706","0.699401744128034","0.835941263525379","1"
"Daily","1990","Couple + C. LE 16 ","general elemantary","331","0.855507416741068","0.821052376410869","0.889962457071267","1"
"Daily","1990","Couple + C. LE 16 ","middle vocational","885","0.826443205837828","0.803908051410079","0.848978360265576","1"
"Daily","1990","Couple + C. LE 16 ","vocational + Abi","58","0.707408840570809","0.603044411321329","0.811773269820288","1"
"Daily","1990","Couple + C. LE 16 ","higher vocational","107","0.734391623450217","0.663476363729843","0.805306883170591","1"
"Daily","1990","Couple + C. LE 16 ","higher education","135","0.719094326275603","0.655850168606691","0.782338483944515","1"
"Daily","1990","Couple + C. GT 16 ","in school","49","0.674613911200103","0.565634099357062","0.783593723043145","1"
"Daily","1990","Couple + C. GT 16 ","inadequately","128","0.850042037994323","0.792906354351901","0.907177721636744","1"
"Daily","1990","Couple + C. GT 16 ","general elemantary","442","0.812071707049122","0.779831203715345","0.844312210382899","1"
"Daily","1990","Couple + C. GT 16 ","middle vocational","772","0.798262509138702","0.773124960784324","0.823400057493079","1"
"Daily","1990","Couple + C. GT 16 ","vocational + Abi","34","0.517966741177244","0.389371903792753","0.646561578561735","1"
"Daily","1990","Couple + C. GT 16 ","higher vocational","64","0.803539584544226","0.71647445217031","0.890604716918142","1"
"Daily","1990","Couple + C. GT 16 ","higher education","78","0.692966849582075","0.607157330964218","0.778776368199932","1"
"Daily","1990","Couple + C. LE and GT 16","in school","55","0.834431365268744","0.741911159443498","0.92695157109399","1"
"Daily","1990","Couple + C. LE and GT 16","inadequately","89","0.783621525006184","0.708032999859729","0.859210050152638","1"
"Daily","1990","Couple + C. LE and GT 16","general elemantary","219","0.772755150313785","0.724772717980466","0.820737582647105","1"
"Daily","1990","Couple + C. LE and GT 16","middle vocational","231","0.728677461518443","0.679418355423787","0.777936567613098","1"
"Daily","1990","Couple + C. LE and GT 16","vocational + Abi","9","","","","1"
"Daily","1990","Couple + C. LE and GT 16","higher vocational","22","","","","1"
"Daily","1990","Couple + C. LE and GT 16","higher education","22","","","","1"
"Min 1x per month","1990","Couple + C. LE and GT 16","vocational + Abi","","","","","3"
"Min 1x per month","1990","Couple + C. LE and GT 16","middle vocational","2","","","","3"
"Min 1x per month","1990","1-pers.-HH","in school","","","","","3"
"Min 1x per month","1990","1-pers.-HH","inadequately","","","","","3"
"Min 1x per month","1990","1-pers.-HH","general elemantary","7","","","","3"
"Min 1x per month","1990","1-pers.-HH","middle vocational","9","","","","3"
"Min 1x per month","1990","1-pers.-HH","vocational + Abi","3","","","","3"
"Min 1x per month","1990","1-pers.-HH","higher vocational","2","","","","3"
