"pli0083","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Not Employed","in school","111","0.700714008099205","0.626431722518636","0.774996293679775"
"Daily","1990","Not Employed","inadequately","223","0.822319551866057","0.776555884249817","0.868083219482297"
"Daily","1990","Not Employed","general elemantary","939","0.874640849464046","0.854901713305078","0.894379985623015"
"Daily","1990","Not Employed","middle vocational","1208","0.86725333001257","0.849618019999897","0.884888640025244"
"Daily","1990","Not Employed","vocational + Abi","69","0.751543886014725","0.659680881545118","0.843406890484332"
"Daily","1990","Not Employed","higher vocational","115","0.835992479182964","0.774213373818703","0.897771584547225"
"Daily","1990","Not Employed","higher education","99","0.770335090446637","0.698580731573532","0.842089449319742"
"Daily","1990","Employed","in school","12","","",""
"Daily","1990","Employed","inadequately","286","0.797351931575166","0.756113900801475","0.838589962348857"
"Daily","1990","Employed","general elemantary","1056","0.769158355265188","0.747006727143634","0.791309983386741"
"Daily","1990","Employed","middle vocational","2443","0.77344370484292","0.758769451057696","0.788117958628145"
"Daily","1990","Employed","vocational + Abi","135","0.576810759776992","0.509828632979049","0.643792886574935"
"Daily","1990","Employed","higher vocational","277","0.739725040431143","0.695373825358376","0.78407625550391"
"Daily","1990","Employed","higher education","362","0.639233598915832","0.599565925174996","0.678901272656667"
"Min 1x per week","1990","Not Employed","in school","28","","",""
"Min 1x per week","1990","Not Employed","inadequately","32","0.110879822913103","0.0732885364287156","0.148471109397491"
"Min 1x per week","1990","Not Employed","general elemantary","83","0.0612799660447262","0.0469823857132448","0.0755775463762075"
"Min 1x per week","1990","Not Employed","middle vocational","147","0.0859644271722902","0.0713951089690278","0.100533745375553"
"Min 1x per week","1990","Not Employed","vocational + Abi","13","","",""
"Min 1x per week","1990","Not Employed","higher vocational","15","","",""
"Min 1x per week","1990","Not Employed","higher education","17","","",""
"Min 1x per week","1990","Employed","in school","2","","",""
"Min 1x per week","1990","Employed","inadequately","49","0.11418086574381","0.0815543382716715","0.146807393215949"
"Min 1x per week","1990","Employed","general elemantary","241","0.157231232136686","0.138094652540129","0.176367811733243"
"Min 1x per week","1990","Employed","middle vocational","517","0.167541870664536","0.154450157434721","0.18063358389435"
"Min 1x per week","1990","Employed","vocational + Abi","53","0.327315459339326","0.263699814992886","0.390931103685767"
"Min 1x per week","1990","Employed","higher vocational","71","0.177309997436565","0.138705412254794","0.215914582618337"
"Min 1x per week","1990","Employed","higher education","133","0.239297414221675","0.204054619299182","0.274540209144169"
"Min 1x per month","1990","Not Employed","in school","4","","",""
"Min 1x per month","1990","Not Employed","inadequately","3","","",""
"Min 1x per month","1990","Not Employed","general elemantary","15","","",""
"Min 1x per month","1990","Not Employed","middle vocational","16","","",""
"Min 1x per month","1990","Not Employed","vocational + Abi","2","","",""
