"pli0083","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","in school","123","0.709184054978409","0.639034690388496","0.779333419568323","1"
"Daily","1990","inadequately","509","0.80853887313507","0.777888413345824","0.839189332924315","1"
"Daily","1990","general elemantary","1995","0.826269594944777","0.811330973558524","0.841208216331031","1"
"Daily","1990","middle vocational","3651","0.807436937843216","0.795977095013569","0.818896780672864","1"
"Daily","1990","vocational + Abi","204","0.629000678239076","0.573781932138935","0.684219424339216","1"
"Daily","1990","higher vocational","392","0.770607252140918","0.734259888217831","0.806954616064006","1"
"Daily","1990","higher education","461","0.667319800736899","0.63229012066367","0.702349480810128","1"
"Min 1x per month","1990","middle vocational","70","0.0173083648029299","0.0135180567104841","0.0210986728953757","3"
"Min 1x per month","1990","vocational + Abi","7","","","","3"
"Min 1x per month","1990","higher education","16","","","","3"
"Min 1x per month","1990","in school","4","","","","3"
"Min 1x per month","1990","inadequately","8","","","","3"
"Min 1x per month","1990","general elemantary","37","0.0172075477271922","0.0120800896764524","0.022335005777932","3"
"Min 1x per month","1990","higher vocational","12","","","","3"
"Min 1x per week","1990","inadequately","81","0.112701807154981","0.0880671527236994","0.137336461586263","2"
"Min 1x per week","1990","middle vocational","664","0.137981140204464","0.127957946774273","0.148004333634656","2"
"Min 1x per week","1990","vocational + Abi","66","0.289424356531762","0.237586489598457","0.341262223465067","2"
"Min 1x per week","1990","higher education","150","0.216951030822005","0.18630805004049","0.24759401160352","2"
"Min 1x per week","1990","in school","30","0.239507591299926","0.173583790837962","0.305431391761891","2"
"Min 1x per week","1990","general elemantary","324","0.105280471994371","0.0931792538991944","0.117381690089548","2"
"Min 1x per week","1990","higher vocational","86","0.155520376501064","0.124190782388013","0.186849970614115","2"
"Never","1990","higher education","16","","","","5"
"Never","1990","middle vocational","26","","","","5"
"Never","1990","vocational + Abi","4","","","","5"
"Never","1990","higher vocational","5","","","","5"
"Never","1990","in school","","","","","5"
"Never","1990","inadequately","17","","","","5"
"Never","1990","general elemantary","31","0.0162686445064952","0.011280653518718","0.0212566354942724","5"
"Rarely","1990","higher education","52","0.0720737501374908","0.0528472170838747","0.091300283191107","4"
"Rarely","1990","middle vocational","137","0.0316408356598431","0.0265536209351348","0.0367280503845515","4"
"Rarely","1990","in school","4","","","","4"
"Rarely","1990","general elemantary","84","0.0349737408271639","0.0277301763957352","0.0422173052585926","4"
"Rarely","1990","higher vocational","19","","","","4"
"Rarely","1990","inadequately","18","","","","4"
"Rarely","1990","vocational + Abi","13","","","","4"
"Daily","1991","in school","","","","","1"
"Daily","1991","inadequately","","","","","1"
"Daily","1991","general elemantary","","","","","1"
"Daily","1991","middle vocational","","","","","1"
"Daily","1991","vocational + Abi","","","","","1"
"Daily","1991","higher vocational","","","","","1"
"Daily","1991","higher education","","","","","1"
"Min 1x per month","1991","middle vocational","","","","","3"
"Min 1x per month","1991","higher education","","","","","3"
"Min 1x per month","1991","vocational + Abi","","","","","3"
