"plb0037_h","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence"
"Permanent","1985","Schleswig-Holstein","Urban Area","79","0.840067438986323","0.76674481539929","0.913390062573357"
"Permanent","1985","Schleswig-Holstein","Rural Area","82","0.91793026669749","0.860907347868465","0.974953185526515"
"Permanent","1985","Hamburg","Urban Area","131","0.857098591338576","0.801462073245812","0.91273510943134"
"Permanent","1985","Hamburg","Rural Area","3","","",""
"Permanent","1985","Lower Saxony","Urban Area","251","0.865729602561018","0.826284924677799","0.905174280444238"
"Permanent","1985","Lower Saxony","Rural Area","196","0.870932091679099","0.82672893986753","0.915135243490668"
"Permanent","1985","Bremen","Urban Area","29","","",""
"Permanent","1985","Bremen","Rural Area","","","",""
"Permanent","1985","North Rhine-Westphalia","Urban Area","1293","0.876088598504509","0.859239881265292","0.892937315743726"
"Permanent","1985","North Rhine-Westphalia","Rural Area","32","0.798840290768506","0.673029970578192","0.92465061095882"
"Permanent","1985","Hesse","Urban Area","467","0.884027609320393","0.85669047398739","0.911364744653397"
"Permanent","1985","Hesse","Rural Area","56","0.852588656761819","0.767700731999143","0.937476581524495"
"Permanent","1985","Rhineland-Palatinate,Saarland","Urban Area","269","0.863365737271666","0.825254942329428","0.901476532213905"
"Permanent","1985","Rhineland-Palatinate,Saarland","Rural Area","47","0.881887206825556","0.795806425087936","0.967967988563175"
"Permanent","1985","Baden-Württemberg","Urban Area","920","0.899916050382735","0.881444117999142","0.918387982766329"
"Permanent","1985","Baden-Württemberg","Rural Area","154","0.941724869727677","0.905980325378852","0.977469414076502"
"Permanent","1985","Bavaria","Urban Area","506","0.878083718753574","0.851340542626238","0.90482689488091"
"Permanent","1985","Bavaria","Rural Area","380","0.846927665398385","0.813436665128649","0.880418665668122"
"Permanent","1985","Berlin","Urban Area","180","0.858191679435583","0.811232211544429","0.905151147326736"
"Permanent","1985","Berlin","Rural Area","","","",""
"Permanent","1985","Brandenburg","Urban Area","","","",""
"Permanent","1985","Brandenburg","Rural Area","","","",""
"Permanent","1985","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Permanent","1985","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Permanent","1985","Saxony","Urban Area","","","",""
"Permanent","1985","Saxony","Rural Area","","","",""
"Permanent","1985","Saxony-Anhalt","Urban Area","","","",""
"Permanent","1985","Saxony-Anhalt","Rural Area","","","",""
"Permanent","1985","Thuringia","Urban Area","","","",""
"Permanent","1985","Thuringia","Rural Area","","","",""
"Limited","1985","Schleswig-Holstein","Urban Area","17","","",""
"Limited","1985","Schleswig-Holstein","Rural Area","7","","",""
"Limited","1985","Hamburg","Urban Area","21","","",""
"Limited","1985","Hamburg","Rural Area","","","",""
"Limited","1985","Lower Saxony","Urban Area","36","0.134270397438981","0.0948257195557618","0.173715075322201"
"Limited","1985","Lower Saxony","Rural Area","25","","",""
"Limited","1985","Bremen","Urban Area","8","","",""
"Limited","1985","Bremen","Rural Area","","","",""
"Limited","1985","North Rhine-Westphalia","Urban Area","176","0.123911401495491","0.107062684256274","0.140760118734708"
"Limited","1985","North Rhine-Westphalia","Rural Area","7","","",""
"Limited","1985","Hesse","Urban Area","60","0.115972390679607","0.088635255346603","0.14330952601261"
"Limited","1985","Hesse","Rural Area","11","","",""
"Limited","1985","Rhineland-Palatinate,Saarland","Urban Area","43","0.136634262728334","0.0985234677860954","0.174745057670572"
"Limited","1985","Rhineland-Palatinate,Saarland","Rural Area","7","","",""
"Limited","1985","Baden-Württemberg","Urban Area","94","0.100083949617265","0.0816120172336711","0.118555882000858"
"Limited","1985","Baden-Württemberg","Rural Area","11","","",""
"Limited","1985","Bavaria","Urban Area","69","0.121916281246426","0.0951731051190898","0.148659457373762"
"Limited","1985","Bavaria","Rural Area","64","0.153072334601614","0.119581334331878","0.186563334871351"
"Limited","1985","Berlin","Urban Area","32","0.141808320564417","0.094848852673264","0.188767788455571"
"Limited","1985","Berlin","Rural Area","","","",""
"Limited","1985","Brandenburg","Urban Area","","","",""
"Limited","1985","Brandenburg","Rural Area","","","",""
"Limited","1985","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Limited","1985","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Limited","1985","Saxony","Urban Area","","","",""
"Limited","1985","Saxony","Rural Area","","","",""
"Limited","1985","Saxony-Anhalt","Urban Area","","","",""
"Limited","1985","Saxony-Anhalt","Rural Area","","","",""
"Limited","1985","Thuringia","Urban Area","","","",""
"Limited","1985","Thuringia","Rural Area","","","",""
"Permanent","1986","Schleswig-Holstein","Urban Area","9","","",""
"Permanent","1986","Schleswig-Holstein","Rural Area","6","","",""
"Permanent","1986","Hamburg","Urban Area","14","","",""
"Permanent","1986","Hamburg","Rural Area","","","",""
"Permanent","1986","Lower Saxony","Urban Area","35","0.643518308926475","0.510759863777546","0.776276754075405"
"Permanent","1986","Lower Saxony","Rural Area","22","","",""
"Permanent","1986","Bremen","Urban Area","6","","",""
"Permanent","1986","Bremen","Rural Area","","","",""
"Permanent","1986","North Rhine-Westphalia","Urban Area","142","0.720676316528528","0.656711494738556","0.7846411383185"
"Permanent","1986","North Rhine-Westphalia","Rural Area","4","","",""
"Permanent","1986","Hesse","Urban Area","59","0.784407708064796","0.693725499997527","0.875089916132064"
"Permanent","1986","Hesse","Rural Area","5","","",""
"Permanent","1986","Rhineland-Palatinate,Saarland","Urban Area","44","0.819647309126586","0.71894744155053","0.920347176702642"
"Permanent","1986","Rhineland-Palatinate,Saarland","Rural Area","6","","",""
"Permanent","1986","Baden-Württemberg","Urban Area","116","0.809977608021373","0.74719471004991","0.872760505992837"
"Permanent","1986","Baden-Württemberg","Rural Area","21","","",""
"Permanent","1986","Bavaria","Urban Area","57","0.771135862480183","0.676059669755378","0.866212055204988"
"Permanent","1986","Bavaria","Rural Area","43","0.794205297544682","0.687361274688237","0.901049320401127"
