"plh0111","year","n","percent","lower_confidence","upper_confidence"
"Very important","1990","184","0.0259864542190262","0.0222920692669648","0.0296808391710876"
"Important","1990","1561","0.220738632453056","0.211107732251376","0.230369532654736"
"Less important","1990","3518","0.483250433639679","0.47164631067392","0.494854556605439"
"Quite unimportant","1990","1861","0.270024479688239","0.259714878804472","0.280334080572005"
"Very important","1991","","","",""
"Important","1991","","","",""
"Less important","1991","","","",""
"Quite unimportant","1991","","","",""
"Very important","1992","213","0.0207535982922224","0.0180835820894196","0.0234236144950252"
"Important","1992","1560","0.146068916255916","0.139454195478776","0.152683637033055"
"Less important","1992","5462","0.477866102771549","0.468510640353854","0.487221565189244"
"Quite unimportant","1992","3716","0.355311382680313","0.3463474050713","0.364275360289326"
"Very important","1993","","","",""
"Important","1993","","","",""
"Less important","1993","","","",""
"Quite unimportant","1993","","","",""
"Very important","1994","","","",""
"Important","1994","","","",""
"Less important","1994","","","",""
"Quite unimportant","1994","","","",""
"Very important","1995","177","0.0171692062841466","0.0147639760881001","0.0195744364801931"
"Important","1995","1551","0.14507881545958","0.138557920560539","0.151599710358621"
"Less important","1995","5744","0.495415810239967","0.486158306185367","0.504673314294566"
"Quite unimportant","1995","3733","0.342336168016307","0.333550586100598","0.351121749932016"
"Very important","1996","","","",""
"Important","1996","","","",""
"Less important","1996","","","",""
"Quite unimportant","1996","","","",""
"Very important","1997","","","",""
"Important","1997","","","",""
"Less important","1997","","","",""
"Quite unimportant","1997","","","",""
"Very important","1998","","","",""
"Important","1998","","","",""
"Less important","1998","","","",""
"Quite unimportant","1998","","","",""
"Very important","1999","","","",""
"Important","1999","","","",""
"Less important","1999","","","",""
"Quite unimportant","1999","","","",""
"Very important","2000","","","",""
"Important","2000","","","",""
"Less important","2000","","","",""
"Quite unimportant","2000","","","",""
"Very important","2001","","","",""
"Important","2001","","","",""
"Less important","2001","","","",""
"Quite unimportant","2001","","","",""
"Very important","2002","","","",""
"Important","2002","","","",""
"Less important","2002","","","",""
"Quite unimportant","2002","","","",""
"Very important","2003","","","",""
"Important","2003","","","",""
"Less important","2003","","","",""
"Quite unimportant","2003","","","",""
"Very important","2004","642","0.0287119370543699","0.0264820123798927","0.0309418617288472"
"Important","2004","4971","0.231440280347773","0.225808532473273","0.237072028222273"
"Less important","2004","11210","0.501938547313102","0.495262004150153","0.508615090476051"
"Quite unimportant","2004","4721","0.237909235284755","0.232223404629209","0.243595065940301"
"Very important","2005","","","",""
"Important","2005","","","",""
"Less important","2005","","","",""
"Quite unimportant","2005","","","",""
"Very important","2006","","","",""
"Important","2006","","","",""
"Less important","2006","","","",""
"Quite unimportant","2006","","","",""
"Very important","2007","","","",""
"Important","2007","","","",""
"Less important","2007","","","",""
"Quite unimportant","2007","","","",""
"Very important","2008","378","0.0190822007304122","0.0171504590958534","0.0210139423649709"
"Important","2008","3487","0.171694993999669","0.166370326882108","0.177019661117231"
"Less important","2008","9348","0.482189084109137","0.475133827883347","0.489244340334927"
"Quite unimportant","2008","6056","0.327033721160782","0.320409856929415","0.333657585392149"
"Very important","2009","","","",""
"Important","2009","","","",""
"Less important","2009","","","",""
"Quite unimportant","2009","","","",""
"Very important","2010","432","0.0595244556307281","0.0540949921980501","0.0649539190634061"
"Important","2010","2493","0.328138390023676","0.317363722509586","0.338913057537766"
"Less important","2010","3287","0.450909685526203","0.439491367984456","0.462328003067949"
"Quite unimportant","2010","1083","0.161427468819393","0.152984513760165","0.169870423878622"
"Very important","2011","","","",""
"Important","2011","","","",""
"Less important","2011","","","",""
"Quite unimportant","2011","","","",""
"Very important","2012","1095","0.0357463089214963","0.033556637445028","0.0379359803979645"
"Important","2012","7991","0.274209429920938","0.268947869553179","0.279470990288696"
"Less important","2012","13622","0.492754280064471","0.486857809942963","0.49865075018598"
"Quite unimportant","2012","4908","0.197289981093094","0.192596451490048","0.201983510696141"
"Very important","2013","","","",""
"Important","2013","","","",""
"Less important","2013","","","",""
"Quite unimportant","2013","","","",""
"Very important","2014","","","",""
"Important","2014","","","",""
"Less important","2014","","","",""
"Quite unimportant","2014","","","",""
"Very important","2015","","","",""
"Important","2015","","","",""
"Less important","2015","","","",""
"Quite unimportant","2015","","","",""
"Very important","2016","1103","0.0414881364508048","0.0389809432988419","0.0439953296027676"
"Important","2016","7143","0.287383035537793","0.281693383263558","0.293072687812029"
"Less important","2016","11786","0.489295710455156","0.483010822497963","0.495580598412349"
"Quite unimportant","2016","4270","0.181833117556246","0.176983756468189","0.186682478644303"
