"pld0045","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence"
"Very often","2003","16-34 y.","Full Time","117","0.0510845861923706","0.042445426407871","0.0597237459768702"
"Very often","2003","16-34 y.","Part Time","122","0.0737640542874745","0.0614040188394121","0.0861240897355368"
"Very often","2003","16-34 y.","Not Working","91","0.0488718967144329","0.0384245611200398","0.0593192323088261"
"Very often","2003","35-65 y.","Full Time","272","0.0415017611501754","0.0365919290826776","0.0464115932176732"
"Very often","2003","35-65 y.","Part Time","204","0.0647606383589562","0.056287866269217","0.0732334104486953"
"Very often","2003","35-65 y.","Not Working","117","0.037044075832535","0.0303477896967301","0.0437403619683398"
"Very often","2003","66 and older","Full Time","2","","",""
"Very often","2003","66 and older","Part Time","4","","",""
"Very often","2003","66 and older","Not Working","125","0.0401195056957277","0.0335731580110785","0.0466658533803768"
"Often","2003","16-34 y.","Full Time","238","0.100225579858651","0.0884422258346823","0.11200893388262"
"Often","2003","16-34 y.","Part Time","161","0.0877155465822863","0.0743391253903289","0.101091967774244"
"Often","2003","16-34 y.","Not Working","136","0.093050396680135","0.0789734931817623","0.107127300178508"
"Often","2003","35-65 y.","Full Time","571","0.0860107137694198","0.0791085613826638","0.0929128661561759"
"Often","2003","35-65 y.","Part Time","298","0.0888919259424269","0.0790942136796784","0.0986896382051755"
"Often","2003","35-65 y.","Not Working","200","0.0622682868441028","0.0537009828635548","0.0708355908246507"
"Often","2003","66 and older","Full Time","3","","",""
"Often","2003","66 and older","Part Time","12","","",""
"Often","2003","66 and older","Not Working","173","0.0431555441627749","0.0363767621487868","0.0499343261767629"
"Sometimes","2003","16-34 y.","Full Time","267","0.104219756252311","0.0922306010419661","0.116208911462655"
"Sometimes","2003","16-34 y.","Part Time","215","0.138479304746418","0.122146461058451","0.154812148434386"
"Sometimes","2003","16-34 y.","Not Working","170","0.112218402028365","0.0969236813246785","0.127513122732052"
"Sometimes","2003","35-65 y.","Full Time","732","0.107712065754564","0.100080346199202","0.115343785309925"
"Sometimes","2003","35-65 y.","Part Time","372","0.123289269564268","0.111970495881674","0.134608043246862"
"Sometimes","2003","35-65 y.","Not Working","279","0.0889024074009662","0.0788119552725457","0.0989928595293867"
"Sometimes","2003","66 and older","Full Time","7","","",""
"Sometimes","2003","66 and older","Part Time","19","","",""
"Sometimes","2003","66 and older","Not Working","246","0.0703642907172102","0.0618324006019941","0.0788961808324262"
"Rarely","2003","16-34 y.","Full Time","531","0.214693997067016","0.198582265209708","0.230805728924324"
"Rarely","2003","16-34 y.","Part Time","322","0.191772926758789","0.173156477266331","0.210389376251246"
"Rarely","2003","16-34 y.","Not Working","304","0.177504028049758","0.158988869403461","0.196019186696055"
"Rarely","2003","35-65 y.","Full Time","1282","0.19536390182949","0.185603681278002","0.205124122380978"
"Rarely","2003","35-65 y.","Part Time","596","0.167352329307363","0.154500791683775","0.180203866930951"
"Rarely","2003","35-65 y.","Not Working","464","0.153803062980761","0.141012500815783","0.166593625145738"
"Rarely","2003","66 and older","Full Time","6","","",""
"Rarely","2003","66 and older","Part Time","34","0.226698596499524","0.162023964253367","0.291373228745681"
"Rarely","2003","66 and older","Not Working","409","0.116732727672022","0.106021109489525","0.127444345854519"
"Never","2003","16-34 y.","Full Time","1342","0.529776080629652","0.510191632070923","0.549360529188381"
"Never","2003","16-34 y.","Part Time","898","0.508268167625032","0.484628186334615","0.53190814891545"
"Never","2003","16-34 y.","Not Working","935","0.568355276527309","0.544354261565428","0.59235629148919"
"Never","2003","35-65 y.","Full Time","3482","0.569411557496351","0.557222165647327","0.581600949345376"
"Never","2003","35-65 y.","Part Time","1771","0.555705836826986","0.538599132124534","0.572812541529439"
"Never","2003","35-65 y.","Not Working","1996","0.657982166941636","0.641163063049551","0.67480127083372"
"Never","2003","66 and older","Full Time","29","","",""
"Never","2003","66 and older","Part Time","92","0.542186431172086","0.465228425352605","0.619144436991568"
"Never","2003","66 and older","Not Working","2499","0.729627931752266","0.714811475780785","0.744444387723747"
"Very often","2004","16-34 y.","Full Time","","","",""
"Very often","2004","16-34 y.","Part Time","","","",""
