"pld0045","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Not Employed","no migration background","273","0.0385897605390021","0.0340270800543006","0.0431524410237036"
"Very often","2003","Not Employed","direct migration background","44","0.0429384788187372","0.030700180346053","0.0551767772914214"
"Very often","2003","Not Employed","indirect migration background","16","","",""
"Very often","2003","Employed","no migration background","616","0.0534480379177837","0.0494071553320451","0.0574889205035222"
"Very often","2003","Employed","direct migration background","77","0.0455876598630676","0.0352467137594823","0.055928605966653"
"Very often","2003","Employed","indirect migration background","28","","",""
"Often","2003","Not Employed","no migration background","433","0.0579418769639507","0.0524075505173762","0.0634762034105252"
"Often","2003","Not Employed","direct migration background","67","0.0561409755019298","0.042243966808484","0.0700379841953755"
"Often","2003","Not Employed","indirect migration background","9","","",""
"Often","2003","Employed","no migration background","1117","0.0892015603339027","0.0840807878253844","0.0943223328424209"
"Often","2003","Employed","direct migration background","113","0.0816437098678833","0.0680688432873991","0.0952185764483676"
"Often","2003","Employed","indirect migration background","53","0.116568727016124","0.089401637887864","0.143735816144384"
"Sometimes","2003","Not Employed","no migration background","583","0.0848953023202717","0.0782928257970611","0.0914977788434822"
"Sometimes","2003","Not Employed","direct migration background","90","0.0736931457432537","0.0579199834370669","0.0894663080494405"
"Sometimes","2003","Not Employed","indirect migration background","22","","",""
"Sometimes","2003","Employed","no migration background","1409","0.118883389286646","0.113068848766346","0.124697929806946"
"Sometimes","2003","Employed","direct migration background","167","0.106165388904266","0.0908936439252384","0.121437133883295"
"Sometimes","2003","Employed","indirect migration background","36","0.0576945993040174","0.0379554188647611","0.0774337797432738"
"Rarely","2003","Not Employed","no migration background","992","0.137726130124433","0.129562930278238","0.145889329970628"
"Rarely","2003","Not Employed","direct migration background","144","0.144937029448008","0.123684211933542","0.166189846962474"
"Rarely","2003","Not Employed","indirect migration background","41","0.157975389979607","0.112212832395878","0.203737947563337"
"Rarely","2003","Employed","no migration background","2434","0.195172805809127","0.188052492696077","0.202293118922176"
"Rarely","2003","Employed","direct migration background","226","0.172815207422297","0.154071268896615","0.19155914594798"
"Rarely","2003","Employed","indirect migration background","111","0.195615024827973","0.162033626537271","0.229196423118675"
"Never","2003","Not Employed","no migration background","4565","0.680846930052342","0.669804773540684","0.691889086564001"
