"pld0043","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Urban Area","Male","325","0.0482866718658099","0.0433058978984219","0.0532674458331978"
"Very often","2003","Urban Area","Female","330","0.03981170889761","0.0354525956983614","0.0441708220968587"
"Very often","2003","Rural Area","Male","116","0.0319493743112397","0.0261593358562006","0.0377394127662787"
"Very often","2003","Rural Area","Female","147","0.0356352928149057","0.0297170082633682","0.0415535773664433"
"Often","2003","Urban Area","Male","1240","0.173580863817408","0.164780893111579","0.182380834523236"
"Often","2003","Urban Area","Female","1394","0.1627159715561","0.154486612156619","0.170945330955581"
"Often","2003","Rural Area","Male","561","0.153947870245109","0.142065949847736","0.165829790642483"
"Often","2003","Rural Area","Female","546","0.135891355895109","0.124951411538085","0.146831300252132"
"Sometimes","2003","Urban Area","Male","2527","0.351703897468257","0.340609456666164","0.362798338270351"
"Sometimes","2003","Urban Area","Female","2691","0.330140235607298","0.319655542838165","0.34062492837643"
"Sometimes","2003","Rural Area","Male","1232","0.322539890875951","0.307150025684257","0.337929756067645"
"Sometimes","2003","Rural Area","Female","1266","0.317839736383966","0.302974140341298","0.332705332426633"
"Rarely","2003","Urban Area","Male","1937","0.259851474880929","0.249661991778833","0.270040957983025"
"Rarely","2003","Urban Area","Female","1976","0.261151782620288","0.251358266408556","0.270945298832021"
"Rarely","2003","Rural Area","Male","1030","0.296325376061005","0.281291477991899","0.311359274130111"
"Rarely","2003","Rural Area","Female","1105","0.281381980922363","0.267026021733478","0.295737940111249"
"Never","2003","Urban Area","Male","1087","0.166577091967597","0.157920030998044","0.175234152937149"
"Never","2003","Urban Area","Female","1337","0.206180301318704","0.197160456720902","0.215200145916505"
"Never","2003","Rural Area","Male","605","0.195237488506695","0.182187302276352","0.208287674737038"
"Never","2003","Rural Area","Female","705","0.229251633983656","0.215831787475869","0.242671480491444"
"Very often","2004","Urban Area","Male","","","",""
"Very often","2004","Urban Area","Female","","","",""
"Very often","2004","Rural Area","Male","","","",""
"Very often","2004","Rural Area","Female","","","",""
"Often","2004","Urban Area","Male","","","",""
"Often","2004","Urban Area","Female","","","",""
"Often","2004","Rural Area","Male","","","",""
"Often","2004","Rural Area","Female","","","",""
"Sometimes","2004","Urban Area","Male","","","",""
"Sometimes","2004","Urban Area","Female","","","",""
"Sometimes","2004","Rural Area","Male","","","",""
"Sometimes","2004","Rural Area","Female","","","",""
"Rarely","2004","Urban Area","Male","","","",""
"Rarely","2004","Urban Area","Female","","","",""
"Rarely","2004","Rural Area","Male","","","",""
"Rarely","2004","Rural Area","Female","","","",""
"Never","2004","Urban Area","Male","","","",""
"Never","2004","Urban Area","Female","","","",""
"Never","2004","Rural Area","Male","","","",""
"Never","2004","Rural Area","Female","","","",""
"Very often","2005","Urban Area","Male","","","",""
"Very often","2005","Urban Area","Female","","","",""
"Very often","2005","Rural Area","Male","","","",""
"Very often","2005","Rural Area","Female","","","",""
"Often","2005","Urban Area","Male","","","",""
"Often","2005","Urban Area","Female","","","",""
"Often","2005","Rural Area","Male","","","",""
"Often","2005","Rural Area","Female","","","",""
"Sometimes","2005","Urban Area","Male","","","",""
"Sometimes","2005","Urban Area","Female","","","",""
"Sometimes","2005","Rural Area","Male","","","",""
"Sometimes","2005","Rural Area","Female","","","",""
"Rarely","2005","Urban Area","Male","","","",""
"Rarely","2005","Urban Area","Female","","","",""
"Rarely","2005","Rural Area","Male","","","",""
"Rarely","2005","Rural Area","Female","","","",""
"Never","2005","Urban Area","Male","","","",""
"Never","2005","Urban Area","Female","","","",""
"Never","2005","Rural Area","Male","","","",""
"Never","2005","Rural Area","Female","","","",""
"Very often","2006","Urban Area","Male","","","",""
"Very often","2006","Urban Area","Female","","","",""
"Very often","2006","Rural Area","Male","","","",""
"Very often","2006","Rural Area","Female","","","",""
"Often","2006","Urban Area","Male","","","",""
"Often","2006","Urban Area","Female","","","",""
"Often","2006","Rural Area","Male","","","",""
"Often","2006","Rural Area","Female","","","",""
"Sometimes","2006","Urban Area","Male","","","",""
"Sometimes","2006","Urban Area","Female","","","",""
"Sometimes","2006","Rural Area","Male","","","",""
"Sometimes","2006","Rural Area","Female","","","",""
"Rarely","2006","Urban Area","Male","","","",""
"Rarely","2006","Urban Area","Female","","","",""
"Rarely","2006","Rural Area","Male","","","",""
"Rarely","2006","Rural Area","Female","","","",""
"Never","2006","Urban Area","Male","","","",""
"Never","2006","Urban Area","Female","","","",""
"Never","2006","Rural Area","Male","","","",""
"Never","2006","Rural Area","Female","","","",""
"Very often","2007","Urban Area","Male","","","",""
"Very often","2007","Urban Area","Female","","","",""
"Very often","2007","Rural Area","Male","","","",""
"Very often","2007","Rural Area","Female","","","",""
"Often","2007","Urban Area","Male","","","",""
"Often","2007","Urban Area","Female","","","",""
"Often","2007","Rural Area","Male","","","",""
"Often","2007","Rural Area","Female","","","",""
"Sometimes","2007","Urban Area","Male","","","",""
"Sometimes","2007","Urban Area","Female","","","",""
"Sometimes","2007","Rural Area","Male","","","",""
"Sometimes","2007","Rural Area","Female","","","",""
"Rarely","2007","Urban Area","Male","","","",""
"Rarely","2007","Urban Area","Female","","","",""
"Rarely","2007","Rural Area","Male","","","",""
"Rarely","2007","Rural Area","Female","","","",""
"Never","2007","Urban Area","Male","","","",""
"Never","2007","Urban Area","Female","","","",""
"Never","2007","Rural Area","Male","","","",""
"Never","2007","Rural Area","Female","","","",""
"Very often","2008","Urban Area","Male","185","0.0299051551651329","0.0256121813933461","0.0341981289369198"
"Very often","2008","Urban Area","Female","257","0.0348377391140979","0.0304519249089911","0.0392235533192047"
"Very often","2008","Rural Area","Male","58","0.0198669137012641","0.0149899952493121","0.0247438321532161"
"Very often","2008","Rural Area","Female","113","0.0326489095338666","0.0266594492089484","0.0386383698587848"
"Often","2008","Urban Area","Male","968","0.161848144263233","0.152565037947881","0.171131250578585"
"Often","2008","Urban Area","Female","1155","0.155391035983909","0.146726089061531","0.164055982906288"
"Often","2008","Rural Area","Male","418","0.132504348175671","0.12065521762454","0.144353478726801"
"Often","2008","Rural Area","Female","487","0.142717078358303","0.130928502333431","0.154505654383174"
"Sometimes","2008","Urban Area","Male","2070","0.340151999874929","0.328211113289274","0.352092886460585"
"Sometimes","2008","Urban Area","Female","2389","0.346184608860326","0.334805545118262","0.357563672602389"
"Sometimes","2008","Rural Area","Male","1045","0.332435899754017","0.315971791559077","0.348900007948956"
"Sometimes","2008","Rural Area","Female","1087","0.309415644378926","0.29383660082771","0.324994687930143"
"Rarely","2008","Urban Area","Male","1874","0.298913227121535","0.2873750670393","0.31045138720377"
"Rarely","2008","Urban Area","Female","1752","0.26881715027729","0.258213227238266","0.279421073316314"
"Rarely","2008","Rural Area","Male","1033","0.326103228633444","0.30971952802132","0.342486929245567"
"Rarely","2008","Rural Area","Female","1025","0.304652702179363","0.2891408130384","0.320164591320327"
"Never","2008","Urban Area","Male","950","0.16918147357517","0.159732000442456","0.178630946707884"
"Never","2008","Urban Area","Female","1162","0.194769465764377","0.185297379677132","0.204241551851622"
"Never","2008","Rural Area","Male","591","0.189089609735605","0.175404192850221","0.202775026620988"
"Never","2008","Rural Area","Female","670","0.210565665549541","0.196824832165051","0.224306498934032"
"Very often","2009","Urban Area","Male","","","",""
"Very often","2009","Urban Area","Female","","","",""
"Very often","2009","Rural Area","Male","","","",""
"Very often","2009","Rural Area","Female","","","",""
"Often","2009","Urban Area","Male","","","",""
"Often","2009","Urban Area","Female","","","",""
"Often","2009","Rural Area","Male","","","",""
"Often","2009","Rural Area","Female","","","",""
"Sometimes","2009","Urban Area","Male","","","",""
"Sometimes","2009","Urban Area","Female","","","",""
"Sometimes","2009","Rural Area","Male","","","",""
"Sometimes","2009","Rural Area","Female","","","",""
"Rarely","2009","Urban Area","Male","","","",""
"Rarely","2009","Urban Area","Female","","","",""
"Rarely","2009","Rural Area","Male","","","",""
"Rarely","2009","Rural Area","Female","","","",""
"Never","2009","Urban Area","Male","","","",""
"Never","2009","Urban Area","Female","","","",""
"Never","2009","Rural Area","Male","","","",""
"Never","2009","Rural Area","Female","","","",""
"Very often","2010","Urban Area","Male","","","",""
"Very often","2010","Urban Area","Female","","","",""
"Very often","2010","Rural Area","Male","","","",""
"Very often","2010","Rural Area","Female","","","",""
"Often","2010","Urban Area","Male","","","",""
"Often","2010","Urban Area","Female","","","",""
"Often","2010","Rural Area","Male","","","",""
"Often","2010","Rural Area","Female","","","",""
"Sometimes","2010","Urban Area","Male","","","",""
"Sometimes","2010","Urban Area","Female","","","",""
"Sometimes","2010","Rural Area","Male","","","",""
"Sometimes","2010","Rural Area","Female","","","",""
"Rarely","2010","Urban Area","Male","","","",""
"Rarely","2010","Urban Area","Female","","","",""
"Rarely","2010","Rural Area","Male","","","",""
"Rarely","2010","Rural Area","Female","","","",""
"Never","2010","Urban Area","Male","","","",""
"Never","2010","Urban Area","Female","","","",""
"Never","2010","Rural Area","Male","","","",""
"Never","2010","Rural Area","Female","","","",""
"Very often","2011","Urban Area","Male","","","",""
"Very often","2011","Urban Area","Female","","","",""
"Very often","2011","Rural Area","Male","","","",""
"Very often","2011","Rural Area","Female","","","",""
"Often","2011","Urban Area","Male","","","",""
"Often","2011","Urban Area","Female","","","",""
"Often","2011","Rural Area","Male","","","",""
"Often","2011","Rural Area","Female","","","",""
"Sometimes","2011","Urban Area","Male","","","",""
"Sometimes","2011","Urban Area","Female","","","",""
"Sometimes","2011","Rural Area","Male","","","",""
"Sometimes","2011","Rural Area","Female","","","",""
"Rarely","2011","Urban Area","Male","","","",""
"Rarely","2011","Urban Area","Female","","","",""
"Rarely","2011","Rural Area","Male","","","",""
"Rarely","2011","Rural Area","Female","","","",""
"Never","2011","Urban Area","Male","","","",""
"Never","2011","Urban Area","Female","","","",""
"Never","2011","Rural Area","Male","","","",""
"Never","2011","Rural Area","Female","","","",""
"Very often","2012","Urban Area","Male","","","",""
"Very often","2012","Urban Area","Female","","","",""
"Very often","2012","Rural Area","Male","","","",""
"Very often","2012","Rural Area","Female","","","",""
"Often","2012","Urban Area","Male","","","",""
"Often","2012","Urban Area","Female","","","",""
"Often","2012","Rural Area","Male","","","",""
"Often","2012","Rural Area","Female","","","",""
"Sometimes","2012","Urban Area","Male","","","",""
"Sometimes","2012","Urban Area","Female","","","",""
"Sometimes","2012","Rural Area","Male","","","",""
"Sometimes","2012","Rural Area","Female","","","",""
"Rarely","2012","Urban Area","Male","","","",""
"Rarely","2012","Urban Area","Female","","","",""
"Rarely","2012","Rural Area","Male","","","",""
"Rarely","2012","Rural Area","Female","","","",""
"Never","2012","Urban Area","Male","","","",""
"Never","2012","Urban Area","Female","","","",""
"Never","2012","Rural Area","Male","","","",""
"Never","2012","Rural Area","Female","","","",""
"Very often","2013","Urban Area","Male","182","0.0224446515446117","0.0190562287806009","0.0258330743086226"
"Very often","2013","Urban Area","Female","295","0.0291800568859281","0.0257104818246293","0.0326496319472269"
"Very often","2013","Rural Area","Male","88","0.0196634666500672","0.0154605082574295","0.0238664250427048"
"Very often","2013","Rural Area","Female","110","0.0202559845825387","0.0163319338242363","0.0241800353408411"
"Often","2013","Urban Area","Male","1159","0.153660588757988","0.145411157500232","0.161910020015744"
"Often","2013","Urban Area","Female","1624","0.158288218239683","0.150763852901335","0.165812583578032"
"Often","2013","Rural Area","Male","534","0.131603216518801","0.121369584203578","0.141836848834024"
"Often","2013","Rural Area","Female","727","0.130749492411166","0.121358875798883","0.140140109023449"
"Sometimes","2013","Urban Area","Male","2530","0.339789806965355","0.328955110103652","0.350624503827058"
"Sometimes","2013","Urban Area","Female","3200","0.332942871588523","0.323228152410409","0.342657590766638"
"Sometimes","2013","Rural Area","Male","1416","0.338603657823666","0.32427801327721","0.352929302370122"
"Sometimes","2013","Rural Area","Female","1655","0.328247438603967","0.315167462025437","0.341327415182496"
"Rarely","2013","Urban Area","Male","2415","0.331575937963872","0.320806624454375","0.342345251473369"
"Rarely","2013","Urban Area","Female","2616","0.302008913305446","0.292544391100466","0.311473435510426"
"Rarely","2013","Rural Area","Male","1441","0.335896129711331","0.321598700348894","0.350193559073768"
"Rarely","2013","Rural Area","Female","1610","0.322760963328405","0.309737900942837","0.335784025713972"
"Never","2013","Urban Area","Male","1055","0.152529014768173","0.144304521856925","0.160753507679422"
"Never","2013","Urban Area","Female","1305","0.17757993998042","0.169702090554099","0.185457789406741"
"Never","2013","Rural Area","Male","713","0.174233529296134","0.162751148556006","0.185715910036263"
"Never","2013","Rural Area","Female","849","0.197986121073924","0.18688645423852","0.209085787909329"
"Very often","2014","Urban Area","Male","","","",""
"Very often","2014","Urban Area","Female","","","",""
"Very often","2014","Rural Area","Male","","","",""
"Very often","2014","Rural Area","Female","","","",""
"Often","2014","Urban Area","Male","","","",""
"Often","2014","Urban Area","Female","","","",""
"Often","2014","Rural Area","Male","","","",""
"Often","2014","Rural Area","Female","","","",""
"Sometimes","2014","Urban Area","Male","","","",""
"Sometimes","2014","Urban Area","Female","","","",""
"Sometimes","2014","Rural Area","Male","","","",""
"Sometimes","2014","Rural Area","Female","","","",""
"Rarely","2014","Urban Area","Male","","","",""
"Rarely","2014","Urban Area","Female","","","",""
"Rarely","2014","Rural Area","Male","","","",""
"Rarely","2014","Rural Area","Female","","","",""
"Never","2014","Urban Area","Male","","","",""
"Never","2014","Urban Area","Female","","","",""
"Never","2014","Rural Area","Male","","","",""
"Never","2014","Rural Area","Female","","","",""
"Very often","2015","Urban Area","Male","","","",""
"Very often","2015","Urban Area","Female","","","",""
"Very often","2015","Rural Area","Male","","","",""
"Very often","2015","Rural Area","Female","","","",""
"Often","2015","Urban Area","Male","","","",""
"Often","2015","Urban Area","Female","","","",""
"Often","2015","Rural Area","Male","","","",""
"Often","2015","Rural Area","Female","","","",""
"Sometimes","2015","Urban Area","Male","","","",""
"Sometimes","2015","Urban Area","Female","","","",""
"Sometimes","2015","Rural Area","Male","","","",""
"Sometimes","2015","Rural Area","Female","","","",""
"Rarely","2015","Urban Area","Male","","","",""
"Rarely","2015","Urban Area","Female","","","",""
"Rarely","2015","Rural Area","Male","","","",""
"Rarely","2015","Rural Area","Female","","","",""
"Never","2015","Urban Area","Male","","","",""
"Never","2015","Urban Area","Female","","","",""
"Never","2015","Rural Area","Male","","","",""
"Never","2015","Rural Area","Female","","","",""
"Very often","2016","Urban Area","Male","","","",""
"Very often","2016","Urban Area","Female","","","",""
"Very often","2016","Rural Area","Male","","","",""
"Very often","2016","Rural Area","Female","","","",""
"Often","2016","Urban Area","Male","","","",""
"Often","2016","Urban Area","Female","","","",""
"Often","2016","Rural Area","Male","","","",""
"Often","2016","Rural Area","Female","","","",""
"Sometimes","2016","Urban Area","Male","","","",""
"Sometimes","2016","Urban Area","Female","","","",""
"Sometimes","2016","Rural Area","Male","","","",""
"Sometimes","2016","Rural Area","Female","","","",""
"Rarely","2016","Urban Area","Male","","","",""
"Rarely","2016","Urban Area","Female","","","",""
"Rarely","2016","Rural Area","Male","","","",""
"Rarely","2016","Rural Area","Female","","","",""
"Never","2016","Urban Area","Male","","","",""
"Never","2016","Urban Area","Female","","","",""
"Never","2016","Rural Area","Male","","","",""
"Never","2016","Rural Area","Female","","","",""
"Very often","2017","Urban Area","Male","","","",""
"Very often","2017","Urban Area","Female","","","",""
"Very often","2017","Rural Area","Male","","","",""
"Very often","2017","Rural Area","Female","","","",""
"Often","2017","Urban Area","Male","","","",""
"Often","2017","Urban Area","Female","","","",""
"Often","2017","Rural Area","Male","","","",""
"Often","2017","Rural Area","Female","","","",""
"Sometimes","2017","Urban Area","Male","","","",""
"Sometimes","2017","Urban Area","Female","","","",""
"Sometimes","2017","Rural Area","Male","","","",""
"Sometimes","2017","Rural Area","Female","","","",""
"Rarely","2017","Urban Area","Male","","","",""
"Rarely","2017","Urban Area","Female","","","",""
"Rarely","2017","Rural Area","Male","","","",""
"Rarely","2017","Rural Area","Female","","","",""
"Never","2017","Urban Area","Male","","","",""
"Never","2017","Urban Area","Female","","","",""
"Never","2017","Rural Area","Male","","","",""
"Never","2017","Rural Area","Female","","","",""
"Very often","2018","Urban Area","Male","299","0.0383350293445799","0.0340304971568134","0.0426395615323465"
"Very often","2018","Urban Area","Female","433","0.0443814339540023","0.0401349746439484","0.0486278932640562"
"Very often","2018","Rural Area","Male","112","0.0262858001535527","0.0214462697066844","0.031125330600421"
"Very often","2018","Rural Area","Female","144","0.0268862956572802","0.0223251194345209","0.0314474718800394"
"Often","2018","Urban Area","Male","1265","0.162621186245887","0.154348135124405","0.170894237367369"
"Often","2018","Urban Area","Female","1780","0.186686201512162","0.1786515102676","0.194720892756724"
"Often","2018","Rural Area","Male","561","0.141450866221436","0.130909127286331","0.151992605156541"
"Often","2018","Rural Area","Female","710","0.161999965039288","0.151610120459393","0.172389809619183"
"Sometimes","2018","Urban Area","Male","2736","0.356057821773936","0.345322875809173","0.366792767738699"
"Sometimes","2018","Urban Area","Female","3138","0.332205523385958","0.322493519480743","0.341917527291173"
"Sometimes","2018","Rural Area","Male","1392","0.335208509087466","0.320928544938392","0.34948847323654"
"Sometimes","2018","Rural Area","Female","1702","0.343297406538044","0.329908373930132","0.356686439145956"
"Rarely","2018","Urban Area","Male","2322","0.305082145124831","0.294759492992475","0.315404797257187"
"Rarely","2018","Urban Area","Female","2373","0.271627962795833","0.262456304140948","0.280799621450718"
"Rarely","2018","Rural Area","Male","1421","0.338627769820176","0.324312117675323","0.352943421965029"
"Rarely","2018","Rural Area","Female","1452","0.294008028088504","0.281160811430936","0.306855244746072"
"Never","2018","Urban Area","Male","1021","0.137903817510766","0.130173769940635","0.145633865080896"
"Never","2018","Urban Area","Female","1311","0.165098878352044","0.157443377728387","0.172754378975701"
"Never","2018","Rural Area","Male","712","0.158427054717369","0.147381502558307","0.16947260687643"
"Never","2018","Rural Area","Female","823","0.173808304676884","0.163122548838771","0.184494060514996"
