"pld0043","year","e11102","sex","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Not Employed","Male","88","0.02403481327807","0.0187007078061944","0.0293689187499455"
"Very often","2003","Not Employed","Female","144","0.0246565025186483","0.0203434051129686","0.0289695999243279"
"Very often","2003","Employed","Male","353","0.0524313338688108","0.0473844765884179","0.0574781911492037"
"Very often","2003","Employed","Female","333","0.0517711939041811","0.0463976733846295","0.0571447144237328"
"Often","2003","Not Employed","Male","420","0.125744833599921","0.114197326490204","0.137292340709638"
"Often","2003","Not Employed","Female","621","0.110846595318968","0.102114986709693","0.119578203928243"
"Often","2003","Employed","Male","1381","0.187574820154951","0.178735900592065","0.196413739717837"
"Often","2003","Employed","Female","1319","0.196098850991582","0.186469498198919","0.205728203784246"
"Sometimes","2003","Not Employed","Male","870","0.257845756275342","0.242610451696345","0.273081060854339"
"Sometimes","2003","Not Employed","Female","1409","0.272017845370318","0.259641175747386","0.28439451499325"
"Sometimes","2003","Employed","Male","2889","0.383485317276836","0.372475849947635","0.394494784606037"
"Sometimes","2003","Employed","Female","2548","0.378245648500936","0.36648436723445","0.390006929767422"
"Rarely","2003","Not Employed","Male","892","0.288072333105127","0.272300115157164","0.303844551053089"
"Rarely","2003","Not Employed","Female","1367","0.275716555525273","0.263287720177164","0.288145390873382"
"Rarely","2003","Employed","Male","2075","0.263098193518426","0.253128450399748","0.273067936637103"
"Rarely","2003","Employed","Female","1714","0.2594277379371","0.248797324035016","0.270058151839183"
"Never","2003","Not Employed","Male","897","0.304302263741541","0.288277673026052","0.32032685445703"
"Never","2003","Not Employed","Female","1425","0.316762501266793","0.303823598111379","0.329701404422206"
"Never","2003","Employed","Male","795","0.113410335180976","0.10623060912634","0.120590061235613"
"Never","2003","Employed","Female","617","0.114456568666201","0.106735391048486","0.122177746283916"
"Very often","2004","Not Employed","Male","","","",""
"Very often","2004","Not Employed","Female","","","",""
"Very often","2004","Employed","Male","","","",""
"Very often","2004","Employed","Female","","","",""
"Often","2004","Not Employed","Male","","","",""
"Often","2004","Not Employed","Female","","","",""
"Often","2004","Employed","Male","","","",""
"Often","2004","Employed","Female","","","",""
"Sometimes","2004","Not Employed","Male","","","",""
"Sometimes","2004","Not Employed","Female","","","",""
"Sometimes","2004","Employed","Male","","","",""
"Sometimes","2004","Employed","Female","","","",""
"Rarely","2004","Not Employed","Male","","","",""
"Rarely","2004","Not Employed","Female","","","",""
"Rarely","2004","Employed","Male","","","",""
"Rarely","2004","Employed","Female","","","",""
"Never","2004","Not Employed","Male","","","",""
"Never","2004","Not Employed","Female","","","",""
"Never","2004","Employed","Male","","","",""
"Never","2004","Employed","Female","","","",""
"Very often","2005","Not Employed","Male","","","",""
"Very often","2005","Not Employed","Female","","","",""
"Very often","2005","Employed","Male","","","",""
"Very often","2005","Employed","Female","","","",""
"Often","2005","Not Employed","Male","","","",""
"Often","2005","Not Employed","Female","","","",""
"Often","2005","Employed","Male","","","",""
"Often","2005","Employed","Female","","","",""
"Sometimes","2005","Not Employed","Male","","","",""
"Sometimes","2005","Not Employed","Female","","","",""
"Sometimes","2005","Employed","Male","","","",""
"Sometimes","2005","Employed","Female","","","",""
"Rarely","2005","Not Employed","Male","","","",""
"Rarely","2005","Not Employed","Female","","","",""
"Rarely","2005","Employed","Male","","","",""
"Rarely","2005","Employed","Female","","","",""
"Never","2005","Not Employed","Male","","","",""
"Never","2005","Not Employed","Female","","","",""
"Never","2005","Employed","Male","","","",""
"Never","2005","Employed","Female","","","",""
"Very often","2006","Not Employed","Male","","","",""
"Very often","2006","Not Employed","Female","","","",""
"Very often","2006","Employed","Male","","","",""
"Very often","2006","Employed","Female","","","",""
"Often","2006","Not Employed","Male","","","",""
"Often","2006","Not Employed","Female","","","",""
"Often","2006","Employed","Male","","","",""
"Often","2006","Employed","Female","","","",""
"Sometimes","2006","Not Employed","Male","","","",""
"Sometimes","2006","Not Employed","Female","","","",""
"Sometimes","2006","Employed","Male","","","",""
"Sometimes","2006","Employed","Female","","","",""
"Rarely","2006","Not Employed","Male","","","",""
"Rarely","2006","Not Employed","Female","","","",""
"Rarely","2006","Employed","Male","","","",""
"Rarely","2006","Employed","Female","","","",""
"Never","2006","Not Employed","Male","","","",""
"Never","2006","Not Employed","Female","","","",""
