"pli0165","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence"
"Daily","2013","1-pers.-HH","no migration background","690","0.204732575035818","0.190823594161398","0.218641555910238"
"Daily","2013","1-pers.-HH","direct migration background","40","0.169422223160081","0.120836833362797","0.218007612957365"
"Daily","2013","1-pers.-HH","indirect migration background","47","0.489840306892581","0.389841963560622","0.589838650224539"
"Daily","2013","(Married) couple without C. ","no migration background","1049","0.157131372359116","0.148548853637563","0.16571389108067"
"Daily","2013","(Married) couple without C. ","direct migration background","94","0.155703551488849","0.125593102328624","0.185814000649075"
"Daily","2013","(Married) couple without C. ","indirect migration background","47","0.381056753665051","0.296593758811421","0.46551974851868"
"Daily","2013","Single parent ","no migration background","931","0.420270567944634","0.399723852438581","0.440817283450687"
"Daily","2013","Single parent ","direct migration background","73","0.326529204106869","0.262020180154026","0.391038228059712"
"Daily","2013","Single parent ","indirect migration background","107","0.509504067783119","0.438792737193782","0.580215398372456"
"Daily","2013","Couple + C. LE 16 ","no migration background","1451","0.281198939511859","0.268781946859331","0.293615932164388"
"Daily","2013","Couple + C. LE 16 ","direct migration background","330","0.323874623663704","0.295086248832703","0.352662998494705"
"Daily","2013","Couple + C. LE 16 ","indirect migration background","159","0.40219328050875","0.355575517747698","0.448811043269802"
"Daily","2013","Couple + C. GT 16 ","no migration background","814","0.376712536386643","0.357191710199581","0.396233362573705"
"Daily","2013","Couple + C. GT 16 ","direct migration background","63","0.28165590733462","0.226447693652295","0.336864121016944"
"Daily","2013","Couple + C. GT 16 ","indirect migration background","95","0.665932495029009","0.589161651882028","0.742703338175989"
"Daily","2013","Couple + C. LE and GT 16","no migration background","558","0.367704868509641","0.343448721604996","0.391961015414286"
"Daily","2013","Couple + C. LE and GT 16","direct migration background","92","0.239974835350462","0.193400821595191","0.286548849105733"
"Daily","2013","Couple + C. LE and GT 16","indirect migration background","114","0.654958549120952","0.584925344232976","0.724991754008928"
"Min 1x per week","2013","1-pers.-HH","no migration background","273","0.082228842871853","0.0727593977693694","0.0916982879743367"
"Min 1x per week","2013","1-pers.-HH","direct migration background","23","","",""
"Min 1x per week","2013","1-pers.-HH","indirect migration background","15","","",""
"Min 1x per week","2013","(Married) couple without C. ","no migration background","609","0.101426524134175","0.0943069186034677","0.108546129664883"
"Min 1x per week","2013","(Married) couple without C. ","direct migration background","52","0.0731296626705942","0.0515086132079893","0.0947507121331992"
"Min 1x per week","2013","(Married) couple without C. ","indirect migration background","22","","",""
"Min 1x per week","2013","Single parent ","no migration background","282","0.118612603833083","0.105153563881509","0.132071643784656"
"Min 1x per week","2013","Single parent ","direct migration background","33","0.151943711758288","0.102563405726846","0.20132401778973"
"Min 1x per week","2013","Single parent ","indirect migration background","26","","",""
"Min 1x per week","2013","Couple + C. LE 16 ","no migration background","674","0.133215543698812","0.123830458091298","0.142600629306325"
"Min 1x per week","2013","Couple + C. LE 16 ","direct migration background","194","0.184895415522324","0.161012639306224","0.208778191738424"
"Min 1x per week","2013","Couple + C. LE 16 ","indirect migration background","78","0.169177280240495","0.133533904604843","0.204820655876146"
"Min 1x per week","2013","Couple + C. GT 16 ","no migration background","265","0.117555335488897","0.104580141025564","0.13053052995223"
"Min 1x per week","2013","Couple + C. GT 16 ","direct migration background","29","","",""
"Min 1x per week","2013","Couple + C. GT 16 ","indirect migration background","21","","",""
"Min 1x per week","2013","Couple + C. LE and GT 16","no migration background","210","0.148959027508436","0.1310479854363","0.166870069580571"
"Min 1x per week","2013","Couple + C. LE and GT 16","direct migration background","47","0.171098695465035","0.130028989783973","0.212168401146098"
"Min 1x per week","2013","Couple + C. LE and GT 16","indirect migration background","24","","",""
"Min 1x per month","2013","1-pers.-HH","no migration background","65","0.0207031902146995","0.0157950038485675","0.0256113765808315"
"Min 1x per month","2013","1-pers.-HH","direct migration background","8","","",""
"Min 1x per month","2013","1-pers.-HH","indirect migration background","3","","",""
