"pli0165","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Daily","2013","16-34 y.","1-pers.-HH","425","0.63354878557027","0.59687215415264","0.670225416987899"
"Daily","2013","16-34 y.","(Married) couple without C. ","409","0.517410068265463","0.481813615880407","0.553006520650519"
"Daily","2013","16-34 y.","Single parent ","585","0.671891493291261","0.64000667790552","0.703776308677002"
"Daily","2013","16-34 y.","Couple + C. LE 16 ","745","0.414379158024698","0.391112246863089","0.437646069186308"
"Daily","2013","16-34 y.","Couple + C. GT 16 ","641","0.733515323035062","0.704517654727951","0.762512991342173"
"Daily","2013","16-34 y.","Couple + C. LE and GT 16","480","0.735480952953389","0.701038663988537","0.769923241918241"
"Daily","2013","35-65 y.","1-pers.-HH","302","0.187919588352237","0.168274465558394","0.207564711146081"
"Daily","2013","35-65 y.","(Married) couple without C. ","541","0.156546790467235","0.144656993037507","0.168436587896963"
"Daily","2013","35-65 y.","Single parent ","524","0.274504857456378","0.253328520001415","0.29568119491134"
"Daily","2013","35-65 y.","Couple + C. LE 16 ","1191","0.252101848962977","0.239740434574662","0.264463263351292"
"Daily","2013","35-65 y.","Couple + C. GT 16 ","327","0.185474537551648","0.167143105083333","0.203805970019964"
"Daily","2013","35-65 y.","Couple + C. LE and GT 16","284","0.200630656015645","0.179562537680625","0.221698774350665"
"Daily","2013","66 and older","1-pers.-HH","50","0.0360832936859121","0.0262293128271895","0.0459372745446348"
"Daily","2013","66 and older","(Married) couple without C. ","240","0.0682018219741331","0.0595295527827592","0.076874091165507"
"Daily","2013","66 and older","Single parent ","2","","",""
"Daily","2013","66 and older","Couple + C. LE 16 ","4","","",""
"Daily","2013","66 and older","Couple + C. GT 16 ","4","","",""
"Daily","2013","66 and older","Couple + C. LE and GT 16","","","",""
"Min 1x per week","2013","16-34 y.","1-pers.-HH","90","0.125343378884351","0.100139880945044","0.150546876823658"
"Min 1x per week","2013","16-34 y.","(Married) couple without C. ","118","0.203646024446921","0.174958624008031","0.232333424885811"
"Min 1x per week","2013","16-34 y.","Single parent ","90","0.129356023673235","0.106566291638261","0.152145755708209"
