"pli0165","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"Daily","2013","in school","Male","179","0.896629951094124","0.855745114045262","0.937514788142986","1"
"Daily","2013","in school","Female","189","0.827872330132621","0.77929751827633","0.876447141988913","1"
"Daily","2013","inadequately","Male","46","0.29482794644569","0.218753216762773","0.370902676128608","1"
"Daily","2013","inadequately","Female","53","0.139097268235647","0.08989244976466","0.188302086706634","1"
"Daily","2013","general elemantary","Male","350","0.33892445187999","0.307489267530693","0.370359636229287","1"
"Daily","2013","general elemantary","Female","492","0.196749499621698","0.177973034359739","0.215525964883657","1"
"Daily","2013","middle vocational","Male","1339","0.235605701784697","0.224333707325443","0.246877696243951","1"
"Daily","2013","middle vocational","Female","1894","0.230633070446839","0.220713983451038","0.240552157442641","1"
"Daily","2013","vocational + Abi","Male","193","0.341278365266878","0.303713855751213","0.378842874782543","1"
"Daily","2013","vocational + Abi","Female","364","0.309557276541357","0.282998630074416","0.336115923008298","1"
"Daily","2013","higher vocational","Male","177","0.169753204085947","0.146826476383456","0.192679931788438","1"
"Daily","2013","higher vocational","Female","118","0.180708261293658","0.150874641310564","0.210541881276753","1"
"Daily","2013","higher education","Male","546","0.199963491124594","0.185578813790172","0.214348168459017","1"
"Daily","2013","higher education","Female","647","0.231925004216942","0.216416048504194","0.24743395992969","1"
"Min 1x per month","2013","vocational + Abi","Female","36","0.0304957869582281","0.0206178471893471","0.0403737267271091","3"
"Min 1x per month","2013","in school","Male","5","","","","3"
"Min 1x per month","2013","in school","Female","1","","","","3"
"Min 1x per month","2013","inadequately","Male","2","","","","3"
"Min 1x per month","2013","inadequately","Female","4","","","","3"
"Min 1x per month","2013","general elemantary","Male","18","","","","3"
"Min 1x per month","2013","general elemantary","Female","25","","","","3"
"Min 1x per month","2013","middle vocational","Male","156","0.0293020575028094","0.0248224469231843","0.0337816680824345","3"
"Min 1x per month","2013","middle vocational","Female","192","0.0246053022236092","0.0209573537228219","0.0282532507243964","3"
"Min 1x per month","2013","vocational + Abi","Male","17","","","","3"
"Min 1x per month","2013","higher vocational","Male","36","0.0264447540898693","0.0166458039976385","0.0362437041821002","3"
"Min 1x per month","2013","higher vocational","Female","16","","","","3"
"Min 1x per month","2013","higher education","Male","114","0.0427461640660804","0.035471180808501","0.0500211473236598","3"
"Min 1x per month","2013","higher education","Female","90","0.0328442158317942","0.0262950706033091","0.0393933610602793","3"
"Min 1x per week","2013","in school","Male","16","","","","2"
"Min 1x per week","2013","in school","Female","31","0.123392607225219","0.0810720640240572","0.165713150426382","2"
"Min 1x per week","2013","inadequately","Female","18","","","","2"
"Min 1x per week","2013","general elemantary","Male","91","0.101470158307634","0.0814173854193041","0.121522931195965","2"
"Min 1x per week","2013","inadequately","Male","19","","","","2"
"Min 1x per week","2013","general elemantary","Female","149","0.0495758507063001","0.0393234555567359","0.0598282458558643","2"
"Min 1x per week","2013","middle vocational","Male","576","0.10786442505526","0.0996248712460579","0.116103978864461","2"
"Min 1x per week","2013","middle vocational","Female","805","0.109801578926725","0.102439646040537","0.117163511812914","2"
"Min 1x per week","2013","vocational + Abi","Male","78","0.148135028503748","0.119990975313483","0.176279081694012","2"
"Min 1x per week","2013","vocational + Abi","Female","152","0.101279602939805","0.0839477540032201","0.118611451876391","2"
"Min 1x per week","2013","higher vocational","Male","121","0.118545954830093","0.0988047940419312","0.138287115618255","2"
"Min 1x per week","2013","higher vocational","Female","81","0.115369107756393","0.0905992518858163","0.14013896362697","2"
"Min 1x per week","2013","higher education","Male","357","0.116814453703476","0.105262800720257","0.128366106686695","2"
"Min 1x per week","2013","higher education","Female","383","0.12049123701201","0.108529210169269","0.13245326385475","2"
"Never","2013","in school","Male","10","","","","5"
"Never","2013","general elemantary","Male","355","0.490341862691669","0.457142634985506","0.523541090397832","5"
"Never","2013","general elemantary","Female","973","0.699393174111447","0.677736506494094","0.721049841728801","5"
"Never","2013","middle vocational","Male","2916","0.540246404696617","0.527008853318383","0.553483956074851","5"
"Never","2013","middle vocational","Female","3567","0.572667308626273","0.561018583259614","0.584316033992931","5"
"Never","2013","vocational + Abi","Male","269","0.384411527072408","0.345871162330604","0.422951891814212","5"
"Never","2013","vocational + Abi","Female","527","0.483998496404354","0.455289428622267","0.51270756418644","5"
"Never","2013","higher vocational","Male","591","0.582983129562287","0.552871498221853","0.613094760902722","5"
"Never","2013","higher vocational","Female","367","0.572092723940816","0.533730329210596","0.610455118671037","5"
"Never","2013","in school","Female","6","","","","5"
"Never","2013","inadequately","Male","64","0.496780142015555","0.413360264683499","0.58020001934761","5"
"Never","2013","inadequately","Female","108","0.72817625502031","0.664915664325491","0.79143684571513","5"
"Never","2013","higher education","Male","1628","0.542402346889158","0.52448504791389","0.560319645864426","5"
"Never","2013","higher education","Female","1463","0.538661210938726","0.520343348517846","0.556979073359606","5"
"Rarely","2013","in school","Female","5","","","","4"
"Rarely","2013","middle vocational","Male","458","0.0869814109606167","0.079496232089232","0.0944665898320015","4"
"Rarely","2013","in school","Male","3","","","","4"
"Rarely","2013","general elemantary","Male","57","0.0468609450217435","0.0328256137575537","0.0608962762859332","4"
"Rarely","2013","general elemantary","Female","83","0.0410682740232294","0.0316952746773781","0.0504412733690806","4"
"Rarely","2013","inadequately","Male","7","","","","4"
"Rarely","2013","inadequately","Female","7","","","","4"
"Rarely","2013","middle vocational","Female","470","0.0622927397765533","0.056601635972659","0.0679838435804477","4"
"Rarely","2013","vocational + Abi","Male","55","0.0921475921461296","0.0692324792863982","0.115062705005861","4"
"Rarely","2013","vocational + Abi","Female","85","0.0746688371562555","0.0595683871779162","0.0897692871345948","4"
"Rarely","2013","higher vocational","Male","105","0.102272957431803","0.083768257805754","0.120777657057852","4"
"Rarely","2013","higher vocational","Female","57","0.0965464386571236","0.0736473231243128","0.119445554189934","4"
"Rarely","2013","higher education","Male","325","0.0980735442166912","0.0873772986613851","0.108769789771997","4"
"Rarely","2013","higher education","Female","262","0.0760783320005277","0.0663361772709222","0.0858204867301333","4"
"Daily","2014","inadequately","Female","","","","","1"
"Daily","2014","general elemantary","Male","","","","","1"
"Daily","2014","general elemantary","Female","","","","","1"
"Daily","2014","middle vocational","Male","","","","","1"
"Daily","2014","middle vocational","Female","","","","","1"
"Daily","2014","higher vocational","Male","","","","","1"
"Daily","2014","higher vocational","Female","","","","","1"
"Daily","2014","higher education","Male","","","","","1"
"Daily","2014","in school","Male","","","","","1"
"Daily","2014","in school","Female","","","","","1"
"Daily","2014","inadequately","Male","","","","","1"
"Daily","2014","vocational + Abi","Male","","","","","1"
"Daily","2014","vocational + Abi","Female","","","","","1"
"Daily","2014","higher education","Female","","","","","1"
"Min 1x per month","2014","in school","Male","","","","","3"
"Min 1x per month","2014","in school","Female","","","","","3"
"Min 1x per month","2014","inadequately","Male","","","","","3"
"Min 1x per month","2014","inadequately","Female","","","","","3"
"Min 1x per month","2014","general elemantary","Male","","","","","3"
