"pli0165","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Daily","2013","Schleswig-Holstein","289","0.261907494184811","0.233214611486961","0.290600376882661"
"Daily","2013","Hamburg","119","0.27474995738179","0.231221817672315","0.318278097091264"
"Daily","2013","Lower Saxony","735","0.261106698039176","0.243689181614615","0.278524214463736"
"Daily","2013","Bremen","68","0.373284264120444","0.303206911440656","0.443361616800232"
"Daily","2013","North Rhine-Westphalia","1494","0.267955373730432","0.255800148319362","0.280110599141502"
"Daily","2013","Hesse","515","0.247593654761027","0.227406188436297","0.267781121085757"
"Daily","2013","Rhineland-Palatinate,Saarland","389","0.25921621864472","0.236359832696263","0.282072604593178"
"Daily","2013","Baden-Württemberg","766","0.226722446604589","0.211761745074061","0.241683148135116"
"Daily","2013","Bavaria","1037","0.22625254085618","0.213308920765531","0.23919616094683"
"Daily","2013","Berlin","289","0.277577269848713","0.249640437236769","0.305514102460658"
"Daily","2013","Brandenburg","211","0.181697554957079","0.157975815265463","0.205419294648695"
"Daily","2013","Mecklenburg-Western Pomerania","143","0.183820424708684","0.152486212219485","0.215154637197882"
"Daily","2013","Saxony","371","0.224030645954256","0.204222477827919","0.243838814080592"
"Daily","2013","Saxony-Anhalt","246","0.232157733902747","0.205477591692038","0.258837876113456"
"Daily","2013","Thuringia","220","0.190848858242128","0.166407064466888","0.215290652017369"
"Min 1x per week","2013","Schleswig-Holstein","96","0.0807355572957058","0.062956960651384","0.0985141539400277"
"Min 1x per week","2013","Hamburg","42","0.0679372665915693","0.0433995573999411","0.0924749757831976"
"Min 1x per week","2013","Lower Saxony","293","0.116145832648422","0.103440721159215","0.128850944137629"
"Min 1x per week","2013","Bremen","27","","",""
"Min 1x per week","2013","North Rhine-Westphalia","573","0.107379455413927","0.0988826232330271","0.115876287594827"
"Min 1x per week","2013","Hesse","230","0.120948689938889","0.105697858103821","0.136199521773958"
"Min 1x per week","2013","Rhineland-Palatinate,Saarland","189","0.143794960885474","0.125493259462556","0.162096662308392"
"Min 1x per week","2013","Baden-Württemberg","339","0.102939393022787","0.0920816716791721","0.113797114366402"
"Min 1x per week","2013","Bavaria","473","0.107127809859671","0.0975601623158251","0.116695457403518"
"Min 1x per week","2013","Berlin","106","0.113141614843697","0.0933797538780084","0.132903475809386"
"Min 1x per week","2013","Brandenburg","103","0.100745112680067","0.0822282047666632","0.119262020593471"
"Min 1x per week","2013","Mecklenburg-Western Pomerania","83","0.129291988638615","0.10214940915405","0.15643456812318"
"Min 1x per week","2013","Saxony","200","0.115579162520666","0.100389869232937","0.130768455808396"
"Min 1x per week","2013","Saxony-Anhalt","86","0.0703253953366924","0.0541675989885163","0.0864831916848684"
"Min 1x per week","2013","Thuringia","86","0.0662193472324417","0.0507529788490109","0.0816857156158725"
"Min 1x per month","2013","Schleswig-Holstein","17","","",""
"Min 1x per month","2013","Hamburg","15","","",""
"Min 1x per month","2013","Lower Saxony","64","0.0242926372254714","0.0181876679728485","0.0303976064780943"
"Min 1x per month","2013","Bremen","6","","",""
"Min 1x per month","2013","North Rhine-Westphalia","144","0.0305692002863294","0.0258446176616481","0.0352937829110108"
"Min 1x per month","2013","Hesse","59","0.0339260060881141","0.0254584633223851","0.042393548853843"
"Min 1x per month","2013","Rhineland-Palatinate,Saarland","44","0.0261551795174259","0.0178307501127162","0.0344796089221357"
"Min 1x per month","2013","Baden-Württemberg","92","0.0294418290345539","0.0234019230929253","0.0354817349761825"
"Min 1x per month","2013","Bavaria","123","0.0340244720911124","0.0284160826008253","0.0396328615813996"
"Min 1x per month","2013","Berlin","23","","",""
"Min 1x per month","2013","Brandenburg","30","0.0225232501256013","0.0133950780613477","0.031651422189855"
"Min 1x per month","2013","Mecklenburg-Western Pomerania","14","","",""
"Min 1x per month","2013","Saxony","49","0.0279574757787729","0.0201257057920272","0.0357892457655185"
"Min 1x per month","2013","Saxony-Anhalt","19","","",""
"Min 1x per month","2013","Thuringia","25","","",""
"Rarely","2013","Schleswig-Holstein","76","0.0851609744326286","0.0669456263544477","0.10337632251081"
"Rarely","2013","Hamburg","29","","",""
"Rarely","2013","Lower Saxony","181","0.0725921852204251","0.0623033391913463","0.0828810312495039"
"Rarely","2013","Bremen","17","","",""
"Rarely","2013","North Rhine-Westphalia","400","0.0700098373895063","0.0630068762764164","0.0770127985025961"
"Rarely","2013","Hesse","143","0.0785458433429336","0.0659628401878206","0.0911288464980466"
"Rarely","2013","Rhineland-Palatinate,Saarland","130","0.0799143851836473","0.0657708705440567","0.094057899823238"
"Rarely","2013","Baden-Württemberg","214","0.0705075976790954","0.0613606145489154","0.0796545808092754"
"Rarely","2013","Bavaria","323","0.0803732816803624","0.0719627965411979","0.0887837668195268"
