"year","age_gr","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","16-34 y.","direct migration background","2.84","2","526","1","1","4","5","2.7","2.98","2","3"
"2005","16-34 y.","indirect migration background","2.98","3","664","1","2","4","5","2.85","3.11","2","3"
"2005","16-34 y.","no migration background","3.16","3","4128","1","2","4","6","3.11","3.21","3","3"
"2005","35-65 y.","direct migration background","2.69","2","1470","1","1","4","5","2.61","2.77","2","2"
"2005","35-65 y.","indirect migration background","2.99","3","155","1","1","4","5","2.73","3.25","2","3"
"2005","35-65 y.","no migration background","3.03","3","9968","1","2","4","5","3","3.06","3","3"
"2005","66 and older","direct migration background","2.65","2","366","1","1","4","5","2.48","2.82","2","2"
"2005","66 and older","indirect migration background","","","","","","","","","","",""
"2005","66 and older","no migration background","2.5","2","3393","1","1","4","5","2.44","2.56","2","2"
"2006","16-34 y.","direct migration background","","","","","","","","","","",""
"2006","16-34 y.","indirect migration background","","","","","","","","","","",""
"2006","16-34 y.","no migration background","","","","","","","","","","",""
"2006","35-65 y.","direct migration background","","","","","","","","","","",""
"2006","35-65 y.","indirect migration background","","","","","","","","","","",""
"2006","35-65 y.","no migration background","","","","","","","","","","",""
"2006","66 and older","direct migration background","","","","","","","","","","",""
"2006","66 and older","indirect migration background","","","","","","","","","","",""
"2006","66 and older","no migration background","","","","","","","","","","",""
"2007","16-34 y.","direct migration background","","","","","","","","","","",""
"2007","16-34 y.","indirect migration background","","","","","","","","","","",""
"2007","16-34 y.","no migration background","","","","","","","","","","",""
"2007","35-65 y.","direct migration background","","","","","","","","","","",""
"2007","35-65 y.","indirect migration background","","","","","","","","","","",""
"2007","35-65 y.","no migration background","","","","","","","","","","",""
"2007","66 and older","direct migration background","","","","","","","","","","",""
"2007","66 and older","indirect migration background","","","","","","","","","","",""
"2007","66 and older","no migration background","","","","","","","","","","",""
"2008","16-34 y.","direct migration background","","","","","","","","","","",""
"2008","16-34 y.","indirect migration background","","","","","","","","","","",""
"2008","16-34 y.","no migration background","","","","","","","","","","",""
"2008","35-65 y.","direct migration background","","","","","","","","","","",""
"2008","35-65 y.","indirect migration background","","","","","","","","","","",""
"2008","35-65 y.","no migration background","","","","","","","","","","",""
"2008","66 and older","direct migration background","","","","","","","","","","",""
"2008","66 and older","indirect migration background","","","","","","","","","","",""
"2008","66 and older","no migration background","","","","","","","","","","",""
"2009","16-34 y.","direct migration background","2.95","3","296","1","1","4","5","2.76","3.14","2","3"
"2009","16-34 y.","indirect migration background","3.21","3","515","1","2","4","5","3.07","3.35","3","3"
"2009","16-34 y.","no migration background","3.32","3","3176","1","2","5","6","3.26","3.38","3","3"
"2009","35-65 y.","direct migration background","3.02","3","1021","1","2","4","5","2.92","3.12","2","3"
"2009","35-65 y.","indirect migration background","3.04","2","190","1","2","4","6","2.79","3.29","2","3"
"2009","35-65 y.","no migration background","3.2","3","8645","1","2","4","5","3.17","3.23","3","3"
"2009","66 and older","direct migration background","2.53","2","332","1","1","4","5","2.35","2.71","2","3"
"2009","66 and older","indirect migration background","","","","","","","","","","",""
"2009","66 and older","no migration background","2.73","2","3810","1","1","4","5","2.68","2.78","2","2"
"2010","16-34 y.","direct migration background","","","","","","","","","","",""
"2010","16-34 y.","indirect migration background","","","","","","","","","","",""
"2010","16-34 y.","no migration background","","","","","","","","","","",""
"2010","35-65 y.","direct migration background","","","","","","","","","","",""
"2010","35-65 y.","indirect migration background","","","","","","","","","","",""
"2010","35-65 y.","no migration background","","","","","","","","","","",""
"2010","66 and older","direct migration background","","","","","","","","","","",""
"2010","66 and older","indirect migration background","","","","","","","","","","",""
"2010","66 and older","no migration background","","","","","","","","","","",""
"2011","16-34 y.","direct migration background","","","","","","","","","","",""
"2011","16-34 y.","indirect migration background","","","","","","","","","","",""
"2011","16-34 y.","no migration background","","","","","","","","","","",""
"2011","35-65 y.","direct migration background","","","","","","","","","","",""
"2011","35-65 y.","indirect migration background","","","","","","","","","","",""
"2011","35-65 y.","no migration background","","","","","","","","","","",""
"2011","66 and older","direct migration background","","","","","","","","","","",""
"2011","66 and older","indirect migration background","","","","","","","","","","",""
"2011","66 and older","no migration background","","","","","","","","","","",""
"2012","16-34 y.","direct migration background","2.81","2","408","1","1","4","5","2.64","2.98","2","3"
"2012","16-34 y.","indirect migration background","3.37","3","243","1","2","5","6","3.14","3.6","3","4"
"2012","16-34 y.","no migration background","3.23","3","1549","1","2","5","6","3.14","3.32","3","3"
"2012","35-65 y.","direct migration background","2.91","2","679","1","1","4","6","2.78","3.04","2","3"
"2012","35-65 y.","indirect migration background","2.88","2","240","1","2","4","5","2.67","3.09","2","3"
"2012","35-65 y.","no migration background","3.17","3","3981","1","2","5","6","3.12","3.22","3","3"
"2012","66 and older","direct migration background","","","","","","","","","","",""
"2012","66 and older","indirect migration background","","","","","","","","","","",""
"2012","66 and older","no migration background","","","","","","","","","","",""
"2013","16-34 y.","direct migration background","3.1","2","284","1","2","5","6","2.89","3.31","2","3"
"2013","16-34 y.","indirect migration background","3.39","3","422","1","2","5","6","3.23","3.55","3","3"
"2013","16-34 y.","no migration background","3.29","3","2986","1","2","5","5","3.23","3.35","3","3"
"2013","35-65 y.","direct migration background","3.03","3","1027","1","2","4","6","2.93","3.13","2","3"
"2013","35-65 y.","indirect migration background","3.21","3","286","1","2","5","6","3.01","3.41","2","3"
"2013","35-65 y.","no migration background","3.14","3","8906","1","2","4","5","3.11","3.17","3","3"
"2013","66 and older","direct migration background","2.61","2","371","1","1","4","5","2.44","2.78","2","2"
"2013","66 and older","indirect migration background","","","","","","","","","","",""
"2013","66 and older","no migration background","2.81","2","4555","1","1","4","5","2.76","2.86","2","3"
"2014","16-34 y.","direct migration background","","","","","","","","","","",""
"2014","16-34 y.","indirect migration background","","","","","","","","","","",""
"2014","16-34 y.","no migration background","","","","","","","","","","",""
"2014","35-65 y.","direct migration background","","","","","","","","","","",""
"2014","35-65 y.","indirect migration background","","","","","","","","","","",""
"2014","35-65 y.","no migration background","","","","","","","","","","",""
"2014","66 and older","direct migration background","","","","","","","","","","",""
"2014","66 and older","indirect migration background","","","","","","","","","","",""
"2014","66 and older","no migration background","","","","","","","","","","",""
"2015","16-34 y.","direct migration background","","","","","","","","","","",""
