"year","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","(0) in school","3.14","3","654","1","2","4","5","7","3.01","3.27","1","7","3","3"
"2005","(1a) inadequately completed","2.86","3","246","1","1","4","5","7","2.65","3.07","1","7","2","3"
"2005","(1b) general elementary school","2.68","2","1858","1","1","4","5","7","2.6","2.76","1","7","2","2"
"2005","(1c) basic vocational qualification","2.91","3","5707","1","1","4","5","7","2.87","2.95","1","7","3","3"
"2005","(2a) intermediate vocational","2.95","3","4789","1","2","4","5","7","2.9","3","1","7","3","3"
"2005","(2b) intermediate general qualification","3.04","3","577","1","2","4","5","7","2.91","3.17","1","7","3","3"
"2005","(2c_gen) general maturity certificate","3.11","3","797","1","2","5","6","7","3","3.22","1","7","3","3"
"2005","(2c_voc) vocational maturity certificate","2.92","3","1515","1","2","4","5","7","2.84","3","1","7","2","3"
"2005","(3a) lower tertiary education","2.8","2","1647","1","2","4","5","6","2.72","2.88","1","7","2","3"
"2005","(3b) higher tertiary education","2.92","3","2518","1","2","4","5","7","2.86","2.98","1","7","2","3"
"2006","(0) in school","","","","","","","","","","","","","",""
"2006","(1a) inadequately completed","","","","","","","","","","","","","",""
"2006","(1b) general elementary school","","","","","","","","","","","","","",""
"2006","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"2006","(2a) intermediate vocational","","","","","","","","","","","","","",""
"2006","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"2006","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"2006","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"2006","(3a) lower tertiary education","","","","","","","","","","","","","",""
"2006","(3b) higher tertiary education","","","","","","","","","","","","","",""
"2007","(0) in school","","","","","","","","","","","","","",""
"2007","(1a) inadequately completed","","","","","","","","","","","","","",""
"2007","(1b) general elementary school","","","","","","","","","","","","","",""
"2007","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"2007","(2a) intermediate vocational","","","","","","","","","","","","","",""
"2007","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"2007","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"2007","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"2007","(3a) lower tertiary education","","","","","","","","","","","","","",""
"2007","(3b) higher tertiary education","","","","","","","","","","","","","",""
"2008","(0) in school","","","","","","","","","","","","","",""
"2008","(1a) inadequately completed","","","","","","","","","","","","","",""
"2008","(1b) general elementary school","","","","","","","","","","","","","",""
"2008","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"2008","(2a) intermediate vocational","","","","","","","","","","","","","",""
"2008","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"2008","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"2008","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"2008","(3a) lower tertiary education","","","","","","","","","","","","","",""
"2008","(3b) higher tertiary education","","","","","","","","","","","","","",""
"2009","(0) in school","3.19","3","312","1","2","4","5","7","3.02","3.36","1","7","3","3"
"2009","(1a) inadequately completed","3.07","3","170","1","2","4","5","6","2.83","3.31","1","7","2","3"
"2009","(1b) general elementary school","2.79","2","1397","1","1","4","5","7","2.7","2.88","1","7","2","3"
"2009","(1c) basic vocational qualification","3.07","3","4802","1","2","4","5","7","3.02","3.12","1","7","3","3"
"2009","(2a) intermediate vocational","3.15","3","4365","1","2","4","5","7","3.1","3.2","1","7","3","3"
"2009","(2b) intermediate general qualification","3.16","3","432","1","2","4","5","7","3.01","3.31","1","7","3","3"
"2009","(2c_gen) general maturity certificate","3.09","3","693","1","2","4","5","7","2.97","3.21","1","7","3","3"
"2009","(2c_voc) vocational maturity certificate","3.14","3","1321","1","2","5","6","7","3.05","3.23","1","7","3","3"
"2009","(3a) lower tertiary education","3.18","3","1580","1","2","4","5","7","3.1","3.26","1","7","3","3"
"2009","(3b) higher tertiary education","3.04","3","2447","1","2","4","5","7","2.98","3.1","1","7","3","3"
"2010","(0) in school","","","","","","","","","","","","","",""
"2010","(1a) inadequately completed","","","","","","","","","","","","","",""
"2010","(1b) general elementary school","","","","","","","","","","","","","",""
"2010","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"2010","(2a) intermediate vocational","","","","","","","","","","","","","",""
"2010","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"2010","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"2010","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"2010","(3a) lower tertiary education","","","","","","","","","","","","","",""
"2010","(3b) higher tertiary education","","","","","","","","","","","","","",""
"2011","(0) in school","","","","","","","","","","","","","",""
"2011","(1a) inadequately completed","","","","","","","","","","","","","",""
"2011","(1b) general elementary school","","","","","","","","","","","","","",""
"2011","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"2011","(2a) intermediate vocational","","","","","","","","","","","","","",""
"2011","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"2011","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"2011","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"2011","(3a) lower tertiary education","","","","","","","","","","","","","",""
"2011","(3b) higher tertiary education","","","","","","","","","","","","","",""
"2012","(0) in school","3.25","3","191","1","2","4","6","7","3.02","3.48","1","7","3","3"
"2012","(1a) inadequately completed","3.18","3","160","1","1","5","6","7","2.87","3.49","1","7","3","4"
"2012","(1b) general elementary school","3.14","3","575","1","2","4","6","7","2.99","3.29","1","7","3","3"
"2012","(1c) basic vocational qualification","3.24","3","1132","1","2","5","6","7","3.14","3.34","1","7","3","3"
"2012","(2a) intermediate vocational","3.11","3","2067","1","2","5","5","7","3.04","3.18","1","7","2","3"
"2012","(2b) intermediate general qualification","3.16","3","231","1","2","5","6","7","2.92","3.4","1","7","2","3"
"2012","(2c_gen) general maturity certificate","2.95","2","247","1","1","4","5","7","2.73","3.17","1","7","2","3"
"2012","(2c_voc) vocational maturity certificate","3.16","3","874","1","2","5","5","7","3.05","3.27","1","7","3","3"
"2012","(3a) lower tertiary education","3.2","3","453","1","2","5","6","7","3.04","3.36","1","7","3","3"
"2012","(3b) higher tertiary education","2.86","2","1043","1","2","4","5","7","2.76","2.96","1","7","2","3"
"2013","(0) in school","3.5","3","262","1","2","5","6","7","3.31","3.69","1","7","3","3"
"2013","(1a) inadequately completed","3.06","3","221","1","1","4","5","7","2.81","3.31","1","7","3","3"
"2013","(1b) general elementary school","2.76","2","1403","1","1","4","5","7","2.67","2.85","1","7","2","3"
"2013","(1c) basic vocational qualification","3.09","3","4793","1","2","4","6","7","3.04","3.14","1","7","3","3"
"2013","(2a) intermediate vocational","3.18","3","4560","1","2","5","6","7","3.13","3.23","1","7","3","3"
"2013","(2b) intermediate general qualification","3.38","3","469","1","2","5","6","7","3.22","3.54","1","7","3","3"
"2013","(2c_gen) general maturity certificate","2.99","3","768","1","2","4","5","6","2.88","3.1","1","7","2","3"
"2013","(2c_voc) vocational maturity certificate","2.97","3","1457","1","2","4","5","7","2.89","3.05","1","7","3","3"
"2013","(3a) lower tertiary education","3.06","3","1680","1","2","4","5","7","2.98","3.14","1","7","3","3"
"2013","(3b) higher tertiary education","3.01","3","2781","1","2","4","5","7","2.95","3.07","1","7","3","3"
"2014","(0) in school","","","","","","","","","","","","","",""
"2014","(1a) inadequately completed","","","","","","","","","","","","","",""
"2014","(1b) general elementary school","","","","","","","","","","","","","",""
"2014","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"2014","(2a) intermediate vocational","","","","","","","","","","","","","",""
"2014","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"2014","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"2014","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"2014","(3a) lower tertiary education","","","","","","","","","","","","","",""
"2014","(3b) higher tertiary education","","","","","","","","","","","","","",""
"2015","(0) in school","","","","","","","","","","","","","",""
"2015","(1a) inadequately completed","","","","","","","","","","","","","",""
"2015","(1b) general elementary school","","","","","","","","","","","","","",""
"2015","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"2015","(2a) intermediate vocational","","","","","","","","","","","","","",""
"2015","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"2015","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"2015","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"2015","(3a) lower tertiary education","","","","","","","","","","","","","",""
"2015","(3b) higher tertiary education","","","","","","","","","","","","","",""
"2016","(0) in school","","","","","","","","","","","","","",""
"2016","(1a) inadequately completed","","","","","","","","","","","","","",""
"2016","(1b) general elementary school","","","","","","","","","","","","","",""
"2016","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"2016","(2a) intermediate vocational","","","","","","","","","","","","","",""
"2016","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"2016","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"2016","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"2016","(3a) lower tertiary education","","","","","","","","","","","","","",""
