"year","education","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","college entrance qualification","Ostdeutschland, neue Bundeslaender","2.69","2","1127","1","2","4","5","7","2.61","2.77","1","7","2","3"
"2005","college entrance qualification","Westdeutschland, alte Bundeslaender","2.72","2","4056","1","2","4","5","7","2.67","2.77","1","7","2","3"
"2005","lower secondary degree","Ostdeutschland, neue Bundeslaender","2.79","3","1386","1","1","4","5","7","2.7","2.88","1","7","2","3"
"2005","lower secondary degree","Westdeutschland, alte Bundeslaender","2.95","3","5668","1","1","4","5","7","2.91","2.99","1","7","3","3"
"2005","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","2.9","3","167","1","1","4","5","7","2.66","3.14","1","7","2","3"
"2005","no degree/no degree yet","Westdeutschland, alte Bundeslaender","3.01","3","725","1","1","4","6","7","2.88","3.14","1","7","3","3"
"2005","Other degree","Ostdeutschland, neue Bundeslaender","2.49","2","49","1","1","4","5","7","1.99","2.99","1","7","2","3"
"2005","Other degree","Westdeutschland, alte Bundeslaender","2.85","2","1066","1","1","4","5","7","2.74","2.96","1","7","2","3"
"2005","secondary school degree","Ostdeutschland, neue Bundeslaender","2.96","3","2220","1","2","4","5","7","2.89","3.03","1","7","3","3"
"2005","secondary school degree","Westdeutschland, alte Bundeslaender","2.85","3","3783","1","1","4","5","7","2.8","2.9","1","7","2","3"
"2006","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2006","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2006","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2006","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2006","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2006","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2006","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2006","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2006","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2006","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2007","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
