"year","age_gr","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","16-34 y.","3.08","3","5305","3.04","3.12","1","2","4","5"
"2005","35-65 y.","2.92","3","11566","2.89","2.95","1","2","4","5"
"2005","66 and older","2.53","2","3761","2.48","2.58","1","1","4","5"
"2006","16-34 y.","","","","","","","","",""
"2006","35-65 y.","","","","","","","","",""
"2006","66 and older","","","","","","","","",""
"2007","16-34 y.","","","","","","","","",""
"2007","35-65 y.","","","","","","","","",""
"2007","66 and older","","","","","","","","",""
"2008","16-34 y.","","","","","","","","",""
"2008","35-65 y.","","","","","","","","",""
"2008","66 and older","","","","","","","","",""
"2009","16-34 y.","","","","","","","","",""
"2009","35-65 y.","","","","","","","","",""
"2009","66 and older","","","","","","","","",""
"2010","16-34 y.","3","3","3567","2.95","3.05","1","2","4","5"
"2010","35-65 y.","2.96","3","9048","2.93","2.99","1","2","4","5"
"2010","66 and older","2.69","2","4017","2.64","2.74","1","1","4","5"
"2011","16-34 y.","","","","","","","","",""
"2011","35-65 y.","","","","","","","","",""
"2011","66 and older","","","","","","","","",""
"2012","16-34 y.","","","","","","","","",""
"2012","35-65 y.","","","","","","","","",""
"2012","66 and older","","","","","","","","",""
"2013","16-34 y.","","","","","","","","",""
"2013","35-65 y.","","","","","","","","",""
"2013","66 and older","","","","","","","","",""
"2014","16-34 y.","","","","","","","","",""
"2014","35-65 y.","","","","","","","","",""
"2014","66 and older","","","","","","","","",""
"2015","16-34 y.","2.53","2","6641","2.49","2.57","1","1","3","5"
"2015","35-65 y.","2.56","2","15141","2.54","2.58","1","1","3","5"
"2015","66 and older","2.44","2","4934","2.4","2.48","1","1","3","5"
"2016","16-34 y.","2.02","1","2459","1.96","2.08","1","1","3","4"
"2016","35-65 y.","1.77","1","1837","1.71","1.83","1","1","2","4"
"2016","66 and older","","","","","","","","",""
"2017","16-34 y.","1.78","1","1840","1.71","1.85","1","1","2","4"
"2017","35-65 y.","1.5","1","961","1.42","1.58","1","1","1","3"
"2017","66 and older","1.16","1","36","0.92","1.4","1","1","1","2"
"2018","16-34 y.","1.74","1","248","1.53","1.95","1","1","1","4"
"2018","35-65 y.","1.63","1","159","1.4","1.86","1","1","1","4"
"2018","66 and older","","","","","","","","",""
"2019","16-34 y.","1.88","1","146","1.6","2.16","1","1","2","4"
"2019","35-65 y.","1.98","1","123","1.73","2.23","1","1","3","5"
"2019","66 and older","","","","","","","","",""
