"ple0022","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","2011","Full Time","1-pers.-HH","146","0.122871465271981","0.103839566707122","0.141903363836841"
"Yes","2011","Full Time","(Married) couple without C. ","383","0.148524229321656","0.134828567934893","0.162219890708419"
"Yes","2011","Full Time","Single parent ","56","0.14504030925675","0.11124182363084","0.178838794882661"
"Yes","2011","Full Time","Couple + C. LE 16 ","142","0.0832389999096559","0.0694555916601768","0.0970224081591349"
"Yes","2011","Full Time","Couple + C. GT 16 ","207","0.128660281625214","0.11147386508648","0.145846698163949"
"Yes","2011","Full Time","Couple + C. LE and GT 16","55","0.115126312686981","0.0875871216763281","0.142665503697635"
"Yes","2011","Part Time","1-pers.-HH","94","0.153557547496784","0.124012521347581","0.183102573645987"
"Yes","2011","Part Time","(Married) couple without C. ","272","0.196706667498851","0.175921355377283","0.21749197962042"
"Yes","2011","Part Time","Single parent ","49","0.1027568887463","0.0725049544849528","0.133008823007648"
"Yes","2011","Part Time","Couple + C. LE 16 ","95","0.104923011023153","0.0870708643503191","0.122775157695987"
"Yes","2011","Part Time","Couple + C. GT 16 ","111","0.119263491851788","0.098030395367749","0.140496588335828"
"Yes","2011","Part Time","Couple + C. LE and GT 16","52","0.136679086922357","0.103787998546296","0.169570175298418"
"Yes","2011","Not Working","1-pers.-HH","541","0.295359687597005","0.274621645636304","0.316097729557705"
"Yes","2011","Not Working","(Married) couple without C. ","1120","0.286938510731884","0.273176498055147","0.300700523408621"
"Yes","2011","Not Working","Single parent ","61","0.150665724727752","0.114216039116313","0.187115410339192"
"Yes","2011","Not Working","Couple + C. LE 16 ","62","0.143229008213559","0.11057136608323","0.175886650343889"
"Yes","2011","Not Working","Couple + C. GT 16 ","104","0.130548738682479","0.107873121007636","0.153224356357323"
"Yes","2011","Not Working","Couple + C. LE and GT 16","32","0.0820567251377219","0.0509483369802847","0.113165113295159"
"No","2011","Full Time","1-pers.-HH","997","0.877128534728019","0.858096636163159","0.896160433292878"
"No","2011","Full Time","(Married) couple without C. ","2207","0.851475770678344","0.837780109291581","0.865171432065107"
"No","2011","Full Time","Single parent ","361","0.85495969074325","0.821161205117339","0.88875817636916"
"No","2011","Full Time","Couple + C. LE 16 ","1401","0.916761000090344","0.902977591840865","0.930544408339823"
"No","2011","Full Time","Couple + C. GT 16 ","1251","0.871339718374786","0.854153301836051","0.88852613491352"
"No","2011","Full Time","Couple + C. LE and GT 16","461","0.884873687313019","0.857334496302365","0.912412878323672"
"No","2011","Part Time","1-pers.-HH","478","0.846442452503216","0.816897426354013","0.875987478652419"
"No","2011","Part Time","(Married) couple without C. ","1133","0.803293332501148","0.78250802037958","0.824078644622717"
"No","2011","Part Time","Single parent ","338","0.8972431112537","0.866991176992352","0.927495045515047"
"No","2011","Part Time","Couple + C. LE 16 ","1037","0.895076988976847","0.877224842304013","0.912929135649681"
"No","2011","Part Time","Couple + C. GT 16 ","784","0.880736508148212","0.859503411664172","0.901969604632251"
"No","2011","Part Time","Couple + C. LE and GT 16","367","0.863320913077643","0.830429824701582","0.896212001453704"
"No","2011","Not Working","1-pers.-HH","1318","0.704640312402996","0.683902270442295","0.725378354363696"
"No","2011","Not Working","(Married) couple without C. ","3030","0.713061489268116","0.699299476591379","0.726823501944853"
"No","2011","Not Working","Single parent ","309","0.849334275272248","0.812884589660808","0.885783960883687"
"No","2011","Not Working","Couple + C. LE 16 ","380","0.856770991786441","0.824113349656111","0.88942863391677"
"No","2011","Not Working","Couple + C. GT 16 ","744","0.869451261317521","0.846775643642677","0.892126878992364"
"No","2011","Not Working","Couple + C. LE and GT 16","267","0.917943274862278","0.886834886704841","0.949051663019715"
"Yes","2012","Full Time","1-pers.-HH","","","",""
"Yes","2012","Full Time","(Married) couple without C. ","","","",""
"Yes","2012","Full Time","Single parent ","","","",""
"Yes","2012","Full Time","Couple + C. LE 16 ","","","",""
"Yes","2012","Full Time","Couple + C. GT 16 ","","","",""
"Yes","2012","Full Time","Couple + C. LE and GT 16","","","",""
"Yes","2012","Part Time","1-pers.-HH","","","",""
"Yes","2012","Part Time","(Married) couple without C. ","","","",""
"Yes","2012","Part Time","Single parent ","","","",""
"Yes","2012","Part Time","Couple + C. LE 16 ","","","",""
"Yes","2012","Part Time","Couple + C. GT 16 ","","","",""
"Yes","2012","Part Time","Couple + C. LE and GT 16","","","",""
"Yes","2012","Not Working","1-pers.-HH","","","",""
"Yes","2012","Not Working","(Married) couple without C. ","","","",""
"Yes","2012","Not Working","Single parent ","","","",""
"Yes","2012","Not Working","Couple + C. LE 16 ","","","",""
"Yes","2012","Not Working","Couple + C. GT 16 ","","","",""
"Yes","2012","Not Working","Couple + C. LE and GT 16","","","",""
"No","2012","Full Time","1-pers.-HH","","","",""
"No","2012","Full Time","(Married) couple without C. ","","","",""
"No","2012","Full Time","Single parent ","","","",""
"No","2012","Full Time","Couple + C. LE 16 ","","","",""
"No","2012","Full Time","Couple + C. GT 16 ","","","",""
"No","2012","Full Time","Couple + C. LE and GT 16","","","",""
"No","2012","Part Time","1-pers.-HH","","","",""
"No","2012","Part Time","(Married) couple without C. ","","","",""
"No","2012","Part Time","Single parent ","","","",""
"No","2012","Part Time","Couple + C. LE 16 ","","","",""
"No","2012","Part Time","Couple + C. GT 16 ","","","",""
"No","2012","Part Time","Couple + C. LE and GT 16","","","",""
"No","2012","Not Working","1-pers.-HH","","","",""
"No","2012","Not Working","(Married) couple without C. ","","","",""
"No","2012","Not Working","Single parent ","","","",""
"No","2012","Not Working","Couple + C. LE 16 ","","","",""
"No","2012","Not Working","Couple + C. GT 16 ","","","",""
