"year","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","college entrance qualification","6.44","7","5192","5","6","7","7","7","6.42","6.46","1","7","7","7"
"2005","lower secondary degree","6.45","7","7095","5","6","7","7","7","6.43","6.47","1","7","7","7"
"2005","no degree/no degree yet","6.33","7","898","5","6","7","7","7","6.27","6.39","1","7","7","7"
"2005","Other degree","6.38","7","1126","5","6","7","7","7","6.32","6.44","1","7","7","7"
"2005","secondary school degree","6.53","7","6026","6","6","7","7","7","6.51","6.55","1","7","7","7"
"2006","college entrance qualification","","","","","","","","","","","","","",""
"2006","lower secondary degree","","","","","","","","","","","","","",""
"2006","no degree/no degree yet","","","","","","","","","","","","","",""
"2006","Other degree","","","","","","","","","","","","","",""
"2006","secondary school degree","","","","","","","","","","","","","",""
"2007","college entrance qualification","","","","","","","","","","","","","",""
"2007","lower secondary degree","","","","","","","","","","","","","",""
"2007","no degree/no degree yet","","","","","","","","","","","","","",""
"2007","Other degree","","","","","","","","","","","","","",""
"2007","secondary school degree","","","","","","","","","","","","","",""
"2008","college entrance qualification","","","","","","","","","","","","","",""
"2008","lower secondary degree","","","","","","","","","","","","","",""
"2008","no degree/no degree yet","","","","","","","","","","","","","",""
"2008","Other degree","","","","","","","","","","","","","",""
"2008","secondary school degree","","","","","","","","","","","","","",""
"2009","college entrance qualification","","","","","","","","","","","","","",""
"2009","lower secondary degree","","","","","","","","","","","","","",""
"2009","no degree/no degree yet","","","","","","","","","","","","","",""
"2009","Other degree","","","","","","","","","","","","","",""
"2009","secondary school degree","","","","","","","","","","","","","",""
"2010","college entrance qualification","6.43","7","4665","5","6","7","7","7","6.41","6.45","1","7","7","7"
"2010","lower secondary degree","6.37","7","5369","5","6","7","7","7","6.34","6.4","1","7","7","7"
"2010","no degree/no degree yet","6.36","7","417","5","6","7","7","7","6.26","6.46","1","7","6","7"
"2010","Other degree","6.36","7","717","5","6","7","7","7","6.29","6.43","1","7","7","7"
"2010","secondary school degree","6.43","7","5051","5","6","7","7","7","6.41","6.45","1","7","7","7"
"2011","college entrance qualification","","","","","","","","","","","","","",""
"2011","lower secondary degree","","","","","","","","","","","","","",""
"2011","no degree/no degree yet","","","","","","","","","","","","","",""
"2011","Other degree","","","","","","","","","","","","","",""
"2011","secondary school degree","","","","","","","","","","","","","",""
"2012","college entrance qualification","","","","","","","","","","","","","",""
"2012","lower secondary degree","","","","","","","","","","","","","",""
"2012","no degree/no degree yet","","","","","","","","","","","","","",""
"2012","Other degree","","","","","","","","","","","","","",""
"2012","secondary school degree","","","","","","","","","","","","","",""
"2013","college entrance qualification","","","","","","","","","","","","","",""
"2013","lower secondary degree","","","","","","","","","","","","","",""
"2013","no degree/no degree yet","","","","","","","","","","","","","",""
"2013","Other degree","","","","","","","","","","","","","",""
"2013","secondary school degree","","","","","","","","","","","","","",""
"2014","college entrance qualification","","","","","","","","","","","","","",""
"2014","lower secondary degree","","","","","","","","","","","","","",""
"2014","no degree/no degree yet","","","","","","","","","","","","","",""
"2014","Other degree","","","","","","","","","","","","","",""
"2014","secondary school degree","","","","","","","","","","","","","",""
"2015","college entrance qualification","6.44","7","7214","5","6","7","7","7","6.42","6.46","1","7","7","7"
"2015","lower secondary degree","6.36","7","6396","5","6","7","7","7","6.34","6.38","1","7","7","7"
"2015","no degree/no degree yet","6.28","7","958","5","6","7","7","7","6.21","6.35","1","7","7","7"
"2015","Other degree","6.29","7","4026","5","6","7","7","7","6.26","6.32","1","7","7","7"
"2015","secondary school degree","6.43","7","7206","5","6","7","7","7","6.41","6.45","1","7","7","7"
"2016","college entrance qualification","","","","","","","","","","","","","",""
"2016","lower secondary degree","5.76","7","32","3","3","7","7","7","5.41","6.11","3","7","7","7"
"2016","no degree/no degree yet","6.42","7","1601","5","6","7","7","7","6.38","6.46","1","7","7","7"
"2016","Other degree","6.64","7","2369","6","7","7","7","7","6.61","6.67","1","7","7","7"
"2016","secondary school degree","","","","","","","","","","","","","",""
"2017","college entrance qualification","","","","","","","","","","","","","",""
"2017","lower secondary degree","","","","","","","","","","","","","",""
"2017","no degree/no degree yet","6.79","7","1251","6","7","7","7","7","6.76","6.82","1","7","7","7"
"2017","Other degree","6.81","7","1445","6","7","7","7","7","6.78","6.84","1","7","7","7"
"2017","secondary school degree","","","","","","","","","","","","","",""
"2018","college entrance qualification","","","","","","","","","","","","","",""
"2018","lower secondary degree","","","","","","","","","","","","","",""
"2018","no degree/no degree yet","6.73","7","175","6","7","7","7","7","6.61","6.85","1","7","7","7"
"2018","Other degree","6.83","7","182","6","7","7","7","7","6.76","6.9","5","7","7","7"
"2018","secondary school degree","","","","","","","","","","","","","",""
"2019","college entrance qualification","","","","","","","","","","","","","",""
"2019","lower secondary degree","","","","","","","","","","","","","",""
"2019","no degree/no degree yet","6.6","7","140","5","7","7","7","7","6.44","6.76","1","7","7","7"
"2019","Other degree","6.88","7","89","6","7","7","7","7","6.76","7","4","7","7","7"
"2019","secondary school degree","","","","","","","","","","","","","",""
