"year","migback","sex","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","direct migration background","Female","6.43","7","1252","6.37","6.49","5","6","7","7"
"2005","direct migration background","Male","6.38","7","1118","6.32","6.44","5","6","7","7"
"2005","indirect migration background","Female","6.57","7","427","6.49","6.65","5","6","7","7"
"2005","indirect migration background","Male","6.24","7","402","6.15","6.33","5","6","7","7"
"2005","no migration background","Female","6.49","7","9136","6.47","6.51","5","6","7","7"
"2005","no migration background","Male","6.44","7","8388","6.42","6.46","5","6","7","7"
"2006","direct migration background","Female","","","","","","","","",""
"2006","direct migration background","Male","","","","","","","","",""
"2006","indirect migration background","Female","","","","","","","","",""
"2006","indirect migration background","Male","","","","","","","","",""
"2006","no migration background","Female","","","","","","","","",""
"2006","no migration background","Male","","","","","","","","",""
"2007","direct migration background","Female","","","","","","","","",""
"2007","direct migration background","Male","","","","","","","","",""
"2007","indirect migration background","Female","","","","","","","","",""
"2007","indirect migration background","Male","","","","","","","","",""
"2007","no migration background","Female","","","","","","","","",""
"2007","no migration background","Male","","","","","","","","",""
"2008","direct migration background","Female","","","","","","","","",""
"2008","direct migration background","Male","","","","","","","","",""
"2008","indirect migration background","Female","","","","","","","","",""
"2008","indirect migration background","Male","","","","","","","","",""
"2008","no migration background","Female","","","","","","","","",""
"2008","no migration background","Male","","","","","","","","",""
"2009","direct migration background","Female","","","","","","","","",""
"2009","direct migration background","Male","","","","","","","","",""
"2009","indirect migration background","Female","","","","","","","","",""
"2009","indirect migration background","Male","","","","","","","","",""
"2009","no migration background","Female","","","","","","","","",""
"2009","no migration background","Male","","","","","","","","",""
"2010","direct migration background","Female","6.41","7","803","6.34","6.48","5","6","7","7"
"2010","direct migration background","Male","6.36","7","663","6.28","6.44","5","6","7","7"
"2010","indirect migration background","Female","6.43","7","344","6.33","6.53","5","6","7","7"
"2010","indirect migration background","Male","6.25","7","314","6.13","6.37","5","6","7","7"
"2010","no migration background","Female","6.43","7","7597","6.41","6.45","5","6","7","7"
"2010","no migration background","Male","6.38","7","6970","6.36","6.4","5","6","7","7"
"2011","direct migration background","Female","","","","","","","","",""
"2011","direct migration background","Male","","","","","","","","",""
"2011","indirect migration background","Female","","","","","","","","",""
"2011","indirect migration background","Male","","","","","","","","",""
"2011","no migration background","Female","","","","","","","","",""
"2011","no migration background","Male","","","","","","","","",""
"2012","direct migration background","Female","","","","","","","","",""
"2012","direct migration background","Male","","","","","","","","",""
"2012","indirect migration background","Female","","","","","","","","",""
"2012","indirect migration background","Male","","","","","","","","",""
"2012","no migration background","Female","","","","","","","","",""
"2012","no migration background","Male","","","","","","","","",""
"2013","direct migration background","Female","","","","","","","","",""
"2013","direct migration background","Male","","","","","","","","",""
"2013","indirect migration background","Female","","","","","","","","",""
"2013","indirect migration background","Male","","","","","","","","",""
"2013","no migration background","Female","","","","","","","","",""
"2013","no migration background","Male","","","","","","","","",""
"2014","direct migration background","Female","","","","","","","","",""
"2014","direct migration background","Male","","","","","","","","",""
"2014","indirect migration background","Female","","","","","","","","",""
"2014","indirect migration background","Male","","","","","","","","",""
"2014","no migration background","Female","","","","","","","","",""
"2014","no migration background","Male","","","","","","","","",""
"2015","direct migration background","Female","6.43","7","3130","6.39","6.47","5","6","7","7"
"2015","direct migration background","Male","6.26","7","2668","6.22","6.3","5","6","7","7"
"2015","indirect migration background","Female","6.44","7","914","6.38","6.5","5","6","7","7"
"2015","indirect migration background","Male","6.42","7","771","6.35","6.49","5","6","7","7"
"2015","no migration background","Female","6.41","7","10412","6.39","6.43","5","6","7","7"
"2015","no migration background","Male","6.38","7","8868","6.36","6.4","5","6","7","7"
"2016","direct migration background","Female","6.48","7","1655","6.44","6.52","5","6","7","7"
"2016","direct migration background","Male","6.67","7","2713","6.64","6.7","6","7","7","7"
"2016","indirect migration background","Female","","","","","","","","",""
"2016","indirect migration background","Male","","","","","","","","",""
"2016","no migration background","Female","","","","","","","","",""
"2016","no migration background","Male","","","","","","","","",""
"2017","direct migration background","Female","6.79","7","1224","6.76","6.82","6","7","7","7"
"2017","direct migration background","Male","6.8","7","1654","6.77","6.83","6","7","7","7"
"2017","indirect migration background","Female","","","","","","","","",""
"2017","indirect migration background","Male","","","","","","","","",""
"2017","no migration background","Female","","","","","","","","",""
"2017","no migration background","Male","","","","","","","","",""
"2018","direct migration background","Female","6.84","7","226","6.78","6.9","6","7","7","7"
"2018","direct migration background","Male","6.78","7","197","6.67","6.89","6","7","7","7"
"2018","indirect migration background","Female","","","","","","","","",""
"2018","indirect migration background","Male","","","","","","","","",""
"2018","no migration background","Female","","","","","","","","",""
"2018","no migration background","Male","","","","","","","","",""
"2019","direct migration background","Female","6.76","7","142","6.62","6.9","6","7","7","7"
"2019","direct migration background","Male","6.78","7","137","6.67","6.89","6","7","7","7"
"2019","indirect migration background","Female","","","","","","","","",""
"2019","indirect migration background","Male","","","","","","","","",""
"2019","no migration background","Female","","","","","","","","",""
"2019","no migration background","Male","","","","","","","","",""
