"year","migback","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","direct migration background","(0) in school","6.6","7","55","5","7","7","7","6.39","6.81","7","7"
"2005","direct migration background","(1a) inadequately completed","6.46","7","162","5","6","7","7","6.29","6.63","7","7"
"2005","direct migration background","(1b) general elementary school","6.35","7","519","5","6","7","7","6.27","6.43","7","7"
"2005","direct migration background","(1c) basic vocational qualification","6.32","7","671","5","6","7","7","6.24","6.4","7","7"
"2005","direct migration background","(2a) intermediate vocational","6.63","7","148","5","6","7","7","6.52","6.74","7","7"
"2005","direct migration background","(2b) intermediate general qualification","6.3","7","49","4","6","7","7","5.99","6.61","6","7"
"2005","direct migration background","(2c_gen) general maturity certificate","6.37","7","107","5","6","7","7","6.18","6.56","6","7"
"2005","direct migration background","(2c_voc) vocational maturity certificate","6.54","7","269","5","6","7","7","6.44","6.64","7","7"
"2005","direct migration background","(3a) lower tertiary education","6.29","7","75","4","6","7","7","6.05","6.53","6","7"
"2005","direct migration background","(3b) higher tertiary education","6.47","7","266","5","6","7","7","6.36","6.58","7","7"
"2005","indirect migration background","(0) in school","6.11","6","91","4","5","7","7","5.91","6.31","6","7"
"2005","indirect migration background","(1a) inadequately completed","","","","","","","","","","",""
"2005","indirect migration background","(1b) general elementary school","6.32","7","115","5","6","7","7","6.15","6.49","6","7"
"2005","indirect migration background","(1c) basic vocational qualification","6.66","7","144","6","7","7","7","6.53","6.79","7","7"
"2005","indirect migration background","(2a) intermediate vocational","6.54","7","127","5","6","7","7","6.38","6.7","7","7"
"2005","indirect migration background","(2b) intermediate general qualification","6.15","7","70","4","6","7","7","5.94","6.36","6","7"
"2005","indirect migration background","(2c_gen) general maturity certificate","6.28","6","88","5","6","7","7","6.11","6.45","6","7"
"2005","indirect migration background","(2c_voc) vocational maturity certificate","6.57","7","57","6","6","7","7","6.35","6.79","6","7"
"2005","indirect migration background","(3a) lower tertiary education","","","","","","","","","","",""
"2005","indirect migration background","(3b) higher tertiary education","6.49","7","48","6","6","7","7","6.31","6.67","7","7"
"2005","no migration background","(0) in school","6.27","7","505","5","6","7","7","6.19","6.35","6","7"
"2005","no migration background","(1a) inadequately completed","6.32","7","76","5","6","7","7","6.05","6.59","6","7"
"2005","no migration background","(1b) general elementary school","6.35","7","1230","5","6","7","7","6.29","6.41","7","7"
"2005","no migration background","(1c) basic vocational qualification","6.49","7","4911","5","6","7","7","6.47","6.51","7","7"
"2005","no migration background","(2a) intermediate vocational","6.54","7","4530","6","6","7","7","6.52","6.56","7","7"
"2005","no migration background","(2b) intermediate general qualification","6.48","7","461","5","6","7","7","6.4","6.56","7","7"
"2005","no migration background","(2c_gen) general maturity certificate","6.33","7","602","5","6","7","7","6.26","6.4","7","7"
"2005","no migration background","(2c_voc) vocational maturity certificate","6.46","7","1190","5","6","7","7","6.41","6.51","7","7"
"2005","no migration background","(3a) lower tertiary education","6.46","7","1551","5","6","7","7","6.42","6.5","7","7"
