"plb0050","year","n","percent","lower_confidence","upper_confidence"
"Yes","2001","6405","0.513186290203679","0.504425164764184","0.521947415643173"
"No","2001","6098","0.486813709796321","0.478052584356826","0.495574835235816"
"Yes","2002","","","",""
"No","2002","","","",""
"Yes","2003","","","",""
"No","2003","","","",""
"Yes","2004","","","",""
"No","2004","","","",""
"Yes","2005","","","",""
"No","2005","","","",""
"Yes","2006","6189","0.502198103097774","0.493299551880492","0.511096654315056"
"No","2006","5939","0.497801896902226","0.488903345684944","0.506700448119508"
"Yes","2007","","","",""
"No","2007","","","",""
"Yes","2008","","","",""
"No","2008","","","",""
"Yes","2009","","","",""
"No","2009","","","",""
"Yes","2010","","","",""
"No","2010","","","",""
"Yes","2011","5940","0.537623658321976","0.528358462790225","0.546888853853728"
"No","2011","5184","0.462376341678024","0.453111146146273","0.471641537209775"
"Yes","2012","","","",""
"No","2012","","","",""
"Yes","2013","","","",""
"No","2013","","","",""
"Yes","2014","","","",""
"No","2014","","","",""
"Yes","2015","","","",""
"No","2015","","","",""
"Yes","2016","7310","0.538994804964639","0.530715465522251","0.547274144407027"
"No","2016","6615","0.461005195035361","0.452725855592973","0.469284534477749"
"Yes","2017","","","",""
"No","2017","","","",""
"Yes","2018","","","",""
"No","2018","","","",""
"Yes","2019","7637","0.538911166237582","0.531106815603471","0.546715516871693"
"No","2019","8035","0.461088833762418","0.453284483128307","0.468893184396529"
