"plb0050","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","2001","Not Employed","Urban Area","43","0.304458945520834","0.228770484813978","0.38014740622769"
"Yes","2001","Not Employed","Rural Area","12","","",""
"Yes","2001","Employed","Urban Area","4381","0.534847680029405","0.52403541047751","0.5456599495813"
"Yes","2001","Employed","Rural Area","1969","0.47580783898801","0.460547049388824","0.491068628587195"
"No","2001","Not Employed","Urban Area","99","0.695541054479166","0.61985259377231","0.771229515186022"
"No","2001","Not Employed","Rural Area","60","0.805592367100618","0.714181849031583","0.897002885169652"
"No","2001","Employed","Urban Area","3794","0.465152319970595","0.4543400504187","0.47596458952249"
"No","2001","Employed","Rural Area","2145","0.52419216101199","0.508931371412805","0.539452950611176"
"Yes","2002","Not Employed","Urban Area","","","",""
"Yes","2002","Not Employed","Rural Area","","","",""
"Yes","2002","Employed","Urban Area","","","",""
"Yes","2002","Employed","Rural Area","","","",""
"No","2002","Not Employed","Urban Area","","","",""
"No","2002","Not Employed","Rural Area","","","",""
"No","2002","Employed","Urban Area","","","",""
"No","2002","Employed","Rural Area","","","",""
"Yes","2003","Not Employed","Urban Area","","","",""
"Yes","2003","Not Employed","Rural Area","","","",""
"Yes","2003","Employed","Urban Area","","","",""
"Yes","2003","Employed","Rural Area","","","",""
"No","2003","Not Employed","Urban Area","","","",""
"No","2003","Not Employed","Rural Area","","","",""
"No","2003","Employed","Urban Area","","","",""
"No","2003","Employed","Rural Area","","","",""
"Yes","2004","Not Employed","Urban Area","","","",""
"Yes","2004","Not Employed","Rural Area","","","",""
"Yes","2004","Employed","Urban Area","","","",""
"Yes","2004","Employed","Rural Area","","","",""
"No","2004","Not Employed","Urban Area","","","",""
"No","2004","Not Employed","Rural Area","","","",""
"No","2004","Employed","Urban Area","","","",""
"No","2004","Employed","Rural Area","","","",""
"Yes","2005","Not Employed","Urban Area","","","",""
"Yes","2005","Not Employed","Rural Area","","","",""
"Yes","2005","Employed","Urban Area","","","",""
"Yes","2005","Employed","Rural Area","","","",""
"No","2005","Not Employed","Urban Area","","","",""
"No","2005","Not Employed","Rural Area","","","",""
"No","2005","Employed","Urban Area","","","",""
"No","2005","Employed","Rural Area","","","",""
"Yes","2006","Not Employed","Urban Area","45","0.304552848854548","0.223221320278586","0.385884377430509"
"Yes","2006","Not Employed","Rural Area","11","","",""
"Yes","2006","Employed","Urban Area","4262","0.523206344339051","0.5122629877169","0.534149700961202"
"Yes","2006","Employed","Rural Area","1871","0.468578165250658","0.45297680242843","0.484179528072886"
"No","2006","Not Employed","Urban Area","78","0.695447151145452","0.614115622569491","0.776778679721414"
"No","2006","Not Employed","Rural Area","62","0.760822696004883","0.662966489965129","0.858678902044637"
"No","2006","Employed","Urban Area","3740","0.476793655660949","0.465850299038798","0.4877370122831"
"No","2006","Employed","Rural Area","2059","0.531421834749342","0.515820471927114","0.54702319757157"
"Yes","2007","Not Employed","Urban Area","","","",""
"Yes","2007","Not Employed","Rural Area","","","",""
"Yes","2007","Employed","Urban Area","","","",""
"Yes","2007","Employed","Rural Area","","","",""
"No","2007","Not Employed","Urban Area","","","",""
"No","2007","Not Employed","Rural Area","","","",""
"No","2007","Employed","Urban Area","","","",""
"No","2007","Employed","Rural Area","","","",""
"Yes","2008","Not Employed","Urban Area","","","",""
"Yes","2008","Not Employed","Rural Area","","","",""
"Yes","2008","Employed","Urban Area","","","",""
"Yes","2008","Employed","Rural Area","","","",""
"No","2008","Not Employed","Urban Area","","","",""
"No","2008","Not Employed","Rural Area","","","",""
"No","2008","Employed","Urban Area","","","",""
"No","2008","Employed","Rural Area","","","",""
"Yes","2009","Not Employed","Urban Area","","","",""
"Yes","2009","Not Employed","Rural Area","","","",""
"Yes","2009","Employed","Urban Area","","","",""
"Yes","2009","Employed","Rural Area","","","",""
"No","2009","Not Employed","Urban Area","","","",""
"No","2009","Not Employed","Rural Area","","","",""
"No","2009","Employed","Urban Area","","","",""
"No","2009","Employed","Rural Area","","","",""
"Yes","2010","Not Employed","Urban Area","","","",""
"Yes","2010","Not Employed","Rural Area","","","",""
"Yes","2010","Employed","Urban Area","","","",""
