"year","education","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","college entrance qualification","Female","5.83","6","2471","4","5","7","7","7","5.78","5.88","1","7","6","6"
"2005","college entrance qualification","Male","5.79","6","2715","4","5","7","7","7","5.75","5.83","1","7","6","6"
"2005","lower secondary degree","Female","5.88","6","3626","4","5","7","7","7","5.84","5.92","1","7","6","6"
"2005","lower secondary degree","Male","5.95","6","3450","4","5","7","7","7","5.91","5.99","1","7","6","6"
"2005","no degree/no degree yet","Female","5.88","6","478","4","5","7","7","7","5.77","5.99","1","7","6","6"
"2005","no degree/no degree yet","Male","5.74","6","418","4","5","7","7","7","5.62","5.86","1","7","6","6"
"2005","Other degree","Female","6.06","6","588","4","6","7","7","7","5.97","6.15","1","7","6","7"
"2005","Other degree","Male","5.94","6","532","4","5","7","7","7","5.84","6.04","1","7","6","7"
"2005","secondary school degree","Female","5.87","6","3446","4","5","7","7","7","5.83","5.91","1","7","6","6"
"2005","secondary school degree","Male","5.98","6","2571","4","5","7","7","7","5.94","6.02","1","7","6","6"
"2006","college entrance qualification","Female","","","","","","","","","","","","","",""
"2006","college entrance qualification","Male","","","","","","","","","","","","","",""
"2006","lower secondary degree","Female","","","","","","","","","","","","","",""
"2006","lower secondary degree","Male","","","","","","","","","","","","","",""
"2006","no degree/no degree yet","Female","","","","","","","","","","","","","",""
"2006","no degree/no degree yet","Male","","","","","","","","","","","","","",""
"2006","Other degree","Female","","","","","","","","","","","","","",""
"2006","Other degree","Male","","","","","","","","","","","","","",""
"2006","secondary school degree","Female","","","","","","","","","","","","","",""
"2006","secondary school degree","Male","","","","","","","","","","","","","",""
"2007","college entrance qualification","Female","","","","","","","","","","","","","",""
"2007","college entrance qualification","Male","","","","","","","","","","","","","",""
"2007","lower secondary degree","Female","","","","","","","","","","","","","",""
"2007","lower secondary degree","Male","","","","","","","","","","","","","",""
"2007","no degree/no degree yet","Female","","","","","","","","","","","","","",""
"2007","no degree/no degree yet","Male","","","","","","","","","","","","","",""
"2007","Other degree","Female","","","","","","","","","","","","","",""
"2007","Other degree","Male","","","","","","","","","","","","","",""
"2007","secondary school degree","Female","","","","","","","","","","","","","",""
"2007","secondary school degree","Male","","","","","","","","","","","","","",""
"2008","college entrance qualification","Female","","","","","","","","","","","","","",""
"2008","college entrance qualification","Male","","","","","","","","","","","","","",""
"2008","lower secondary degree","Female","","","","","","","","","","","","","",""
"2008","lower secondary degree","Male","","","","","","","","","","","","","",""
"2008","no degree/no degree yet","Female","","","","","","","","","","","","","",""
"2008","no degree/no degree yet","Male","","","","","","","","","","","","","",""
"2008","Other degree","Female","","","","","","","","","","","","","",""
"2008","Other degree","Male","","","","","","","","","","","","","",""
"2008","secondary school degree","Female","","","","","","","","","","","","","",""
"2008","secondary school degree","Male","","","","","","","","","","","","","",""
"2009","college entrance qualification","Female","","","","","","","","","","","","","",""
"2009","college entrance qualification","Male","","","","","","","","","","","","","",""
"2009","lower secondary degree","Female","","","","","","","","","","","","","",""
"2009","lower secondary degree","Male","","","","","","","","","","","","","",""
"2009","no degree/no degree yet","Female","","","","","","","","","","","","","",""
"2009","no degree/no degree yet","Male","","","","","","","","","","","","","",""
"2009","Other degree","Female","","","","","","","","","","","","","",""
"2009","Other degree","Male","","","","","","","","","","","","","",""
"2009","secondary school degree","Female","","","","","","","","","","","","","",""
"2009","secondary school degree","Male","","","","","","","","","","","","","",""
"2010","college entrance qualification","Female","5.74","6","2255","4","5","7","7","7","5.69","5.79","1","7","6","6"
"2010","college entrance qualification","Male","5.7","6","2407","4","5","6","7","7","5.66","5.74","1","7","6","6"
"2010","lower secondary degree","Female","5.88","6","2739","4","5","7","7","7","5.83","5.93","1","7","6","6"
"2010","lower secondary degree","Male","5.88","6","2616","4","5","7","7","7","5.83","5.93","1","7","6","6"
"2010","no degree/no degree yet","Female","5.83","6","197","4","5","7","7","7","5.67","5.99","2","7","6","6"
"2010","no degree/no degree yet","Male","5.72","6","217","4","5","7","7","7","5.54","5.9","1","7","6","6"
"2010","Other degree","Female","6.09","7","394","5","6","7","7","7","5.98","6.2","1","7","6","7"
"2010","Other degree","Male","5.85","6","320","4","5","7","7","7","5.71","5.99","1","7","6","6"
"2010","secondary school degree","Female","5.83","6","2899","4","5","7","7","7","5.79","5.87","1","7","6","6"
"2010","secondary school degree","Male","5.87","6","2147","4","5","7","7","7","5.82","5.92","1","7","6","6"
"2011","college entrance qualification","Female","","","","","","","","","","","","","",""
"2011","college entrance qualification","Male","","","","","","","","","","","","","",""
"2011","lower secondary degree","Female","","","","","","","","","","","","","",""
"2011","lower secondary degree","Male","","","","","","","","","","","","","",""
"2011","no degree/no degree yet","Female","","","","","","","","","","","","","",""
"2011","no degree/no degree yet","Male","","","","","","","","","","","","","",""
"2011","Other degree","Female","","","","","","","","","","","","","",""
"2011","Other degree","Male","","","","","","","","","","","","","",""
"2011","secondary school degree","Female","","","","","","","","","","","","","",""
"2011","secondary school degree","Male","","","","","","","","","","","","","",""
"2012","college entrance qualification","Female","","","","","","","","","","","","","",""
"2012","college entrance qualification","Male","","","","","","","","","","","","","",""
"2012","lower secondary degree","Female","","","","","","","","","","","","","",""
"2012","lower secondary degree","Male","","","","","","","","","","","","","",""
"2012","no degree/no degree yet","Female","","","","","","","","","","","","","",""
"2012","no degree/no degree yet","Male","","","","","","","","","","","","","",""
"2012","Other degree","Female","","","","","","","","","","","","","",""
"2012","Other degree","Male","","","","","","","","","","","","","",""
"2012","secondary school degree","Female","","","","","","","","","","","","","",""
"2012","secondary school degree","Male","","","","","","","","","","","","","",""
"2013","college entrance qualification","Female","","","","","","","","","","","","","",""
"2013","college entrance qualification","Male","","","","","","","","","","","","","",""
"2013","lower secondary degree","Female","","","","","","","","","","","","","",""
"2013","lower secondary degree","Male","","","","","","","","","","","","","",""
"2013","no degree/no degree yet","Female","","","","","","","","","","","","","",""
"2013","no degree/no degree yet","Male","","","","","","","","","","","","","",""
"2013","Other degree","Female","","","","","","","","","","","","","",""
"2013","Other degree","Male","","","","","","","","","","","","","",""
"2013","secondary school degree","Female","","","","","","","","","","","","","",""
"2013","secondary school degree","Male","","","","","","","","","","","","","",""
"2014","college entrance qualification","Female","","","","","","","","","","","","","",""
"2014","college entrance qualification","Male","","","","","","","","","","","","","",""
"2014","lower secondary degree","Female","","","","","","","","","","","","","",""
"2014","lower secondary degree","Male","","","","","","","","","","","","","",""
"2014","no degree/no degree yet","Female","","","","","","","","","","","","","",""
"2014","no degree/no degree yet","Male","","","","","","","","","","","","","",""
"2014","Other degree","Female","","","","","","","","","","","","","",""
"2014","Other degree","Male","","","","","","","","","","","","","",""
"2014","secondary school degree","Female","","","","","","","","","","","","","",""
"2014","secondary school degree","Male","","","","","","","","","","","","","",""
"2015","college entrance qualification","Female","5.76","6","3748","4","5","7","7","7","5.72","5.8","1","7","6","6"
"2015","college entrance qualification","Male","5.77","6","3464","4","5","6","7","7","5.73","5.81","1","7","6","6"
"2015","lower secondary degree","Female","5.91","6","3233","4","5","7","7","7","5.87","5.95","1","7","6","6"
"2015","lower secondary degree","Male","5.96","6","3161","4","5","7","7","7","5.92","6","1","7","6","6"
"2015","no degree/no degree yet","Female","5.85","6","536","4","5","7","7","7","5.74","5.96","1","7","6","6"
"2015","no degree/no degree yet","Male","5.89","6","418","4","5","7","7","7","5.79","5.99","1","7","6","6"
"2015","Other degree","Female","6.16","7","2165","5","6","7","7","7","6.11","6.21","1","7","6","7"
"2015","Other degree","Male","6.07","6","1854","4","6","7","7","7","6.01","6.13","1","7","6","7"
"2015","secondary school degree","Female","5.82","6","4262","4","5","7","7","7","5.78","5.86","1","7","6","6"
"2015","secondary school degree","Male","5.92","6","2939","5","5","7","7","7","5.88","5.96","1","7","6","6"
"2016","college entrance qualification","Female","","","","","","","","","","","","","",""
"2016","college entrance qualification","Male","","","","","","","","","","","","","",""
"2016","lower secondary degree","Female","","","","","","","","","","","","","",""
"2016","lower secondary degree","Male","","","","","","","","","","","","","",""
"2016","no degree/no degree yet","Female","6.58","7","660","5","7","7","7","7","6.54","6.62","1","7","7","7"
"2016","no degree/no degree yet","Male","6.45","7","937","5","6","7","7","7","6.4","6.5","1","7","7","7"
"2016","Other degree","Female","6.34","7","849","5","6","7","7","7","6.29","6.39","1","7","7","7"
"2016","Other degree","Male","6.6","7","1520","6","7","7","7","7","6.57","6.63","1","7","7","7"
"2016","secondary school degree","Female","","","","","","","","","","","","","",""
"2016","secondary school degree","Male","","","","","","","","","","","","","",""
"2017","college entrance qualification","Female","","","","","","","","","","","","","",""
"2017","college entrance qualification","Male","","","","","","","","","","","","","",""
"2017","lower secondary degree","Female","","","","","","","","","","","","","",""
"2017","lower secondary degree","Male","","","","","","","","","","","","","",""
"2017","no degree/no degree yet","Female","6.78","7","566","6","7","7","7","7","6.73","6.83","2","7","7","7"
"2017","no degree/no degree yet","Male","6.76","7","680","6","7","7","7","7","6.71","6.81","1","7","7","7"
"2017","Other degree","Female","6.75","7","593","6","7","7","7","7","6.69","6.81","1","7","7","7"
"2017","Other degree","Male","6.71","7","850","6","7","7","7","7","6.66","6.76","1","7","7","7"
"2017","secondary school degree","Female","","","","","","","","","","","","","",""
"2017","secondary school degree","Male","","","","","","","","","","","","","",""
"2018","college entrance qualification","Female","","","","","","","","","","","","","",""
"2018","college entrance qualification","Male","","","","","","","","","","","","","",""
"2018","lower secondary degree","Female","","","","","","","","","","","","","",""
"2018","lower secondary degree","Male","","","","","","","","","","","","","",""
"2018","no degree/no degree yet","Female","6.47","7","96","6","7","7","7","7","6.23","6.71","1","7","7","7"
"2018","no degree/no degree yet","Male","6.56","7","77","6","7","7","7","7","6.35","6.77","2","7","7","7"
"2018","Other degree","Female","6.86","7","101","6","7","7","7","7","6.74","6.98","3","7","7","7"
"2018","Other degree","Male","6.79","7","80","6","7","7","7","7","6.61","6.97","1","7","7","7"
"2018","secondary school degree","Female","","","","","","","","","","","","","",""
"2018","secondary school degree","Male","","","","","","","","","","","","","",""
"2019","college entrance qualification","Female","","","","","","","","","","","","","",""
"2019","college entrance qualification","Male","","","","","","","","","","","","","",""
"2019","lower secondary degree","Female","","","","","","","","","","","","","",""
"2019","lower secondary degree","Male","","","","","","","","","","","","","",""
"2019","no degree/no degree yet","Female","6.41","7","73","5","7","7","7","7","6.1","6.72","1","7","7","7"
"2019","no degree/no degree yet","Male","6.42","7","67","5","6","7","7","7","6.07","6.77","1","7","7","7"
"2019","Other degree","Female","6.28","7","47","5","6","7","7","7","5.98","6.58","2","7","7","7"
"2019","Other degree","Male","6.85","7","40","6","7","7","7","7","6.64","7.06","4","7","7","7"
"2019","secondary school degree","Female","","","","","","","","","","","","","",""
"2019","secondary school degree","Male","","","","","","","","","","","","","",""
