"year","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","5.89","6","20682","5.87","5.91","4","5","7","7"
"2006","","","","","","","","",""
"2007","","","","","","","","",""
"2008","","","","","","","","",""
"2009","","","","","","","","",""
"2010","5.83","6","16660","5.81","5.85","4","5","7","7"
"2011","","","","","","","","",""
"2012","","","","","","","","",""
"2013","","","","","","","","",""
"2014","","","","","","","","",""
"2015","5.88","6","26743","5.87","5.89","4","5","7","7"
"2016","6.48","7","4393","6.46","6.5","5","6","7","7"
"2017","6.73","7","2869","6.7","6.76","6","7","7","7"
"2018","6.73","7","419","6.65","6.81","6","7","7","7"
"2019","6.5","7","276","6.36","6.64","5","7","7","7"
