"pli0081","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence"
"Daily","1990","16-34 y.","Not Employed","92","0.0791539798297482","0.0616321056467103","0.0966758540127862"
"Daily","1990","16-34 y.","Employed","234","0.0699842439500598","0.0604194952085766","0.0795489926915429"
"Daily","1990","35-65 y.","Not Employed","108","0.0713899665771278","0.0579316510537423","0.0848482821005133"
"Daily","1990","35-65 y.","Employed","176","0.0432708465691011","0.036399303868547","0.0501423892696551"
"Daily","1990","66 and older","Not Employed","99","0.101668389340676","0.0830488407649759","0.120287937916375"
"Daily","1990","66 and older","Employed","5","","",""
"Min 1x per week","1990","16-34 y.","Not Employed","320","0.314480569023127","0.284346521777998","0.344614616268256"
"Min 1x per week","1990","16-34 y.","Employed","1186","0.418279530447413","0.399786045673108","0.436773015221718"
"Min 1x per week","1990","35-65 y.","Not Employed","523","0.367088143476785","0.34189326748034","0.392283019473231"
"Min 1x per week","1990","35-65 y.","Employed","1134","0.320053884291788","0.304299158478773","0.335808610104804"
"Min 1x per week","1990","66 and older","Not Employed","360","0.348152758420888","0.318802247137372","0.377503269704403"
"Min 1x per week","1990","66 and older","Employed","12","","",""
"Min 1x per month","1990","16-34 y.","Not Employed","251","0.326881081310739","0.29643779982242","0.357324362799058"
"Min 1x per month","1990","16-34 y.","Employed","707","0.29175983082261","0.274717409336697","0.308802252308523"
"Min 1x per month","1990","35-65 y.","Not Employed","415","0.319179047512292","0.294812776277017","0.343545318747567"
"Min 1x per month","1990","35-65 y.","Employed","1052","0.341267468065398","0.325254787106747","0.35728014902405"
"Min 1x per month","1990","66 and older","Not Employed","304","0.286078969844965","0.258235337599659","0.313922602090271"
"Min 1x per month","1990","66 and older","Employed","14","","",""
"Rarely","1990","16-34 y.","Not Employed","201","0.243697007745543","0.215834276909435","0.27155973858165"
"Rarely","1990","16-34 y.","Employed","528","0.201339483272696","0.186305507106262","0.21637345943913"
"Rarely","1990","35-65 y.","Not Employed","298","0.214683858884638","0.19322150314106","0.236146214628216"
"Rarely","1990","35-65 y.","Employed","852","0.266794319480797","0.251857324009101","0.281731314952494"
"Rarely","1990","66 and older","Not Employed","211","0.223523032701017","0.197855550812919","0.249190514589116"
"Rarely","1990","66 and older","Employed","12","","",""
"Never","1990","16-34 y.","Not Employed","48","0.0357873620908437","0.0237313985671452","0.0478433256145422"
"Never","1990","16-34 y.","Employed","78","0.0186369115072214","0.0135666529552811","0.0237071700591617"
"Never","1990","35-65 y.","Not Employed","62","0.0276589835491568","0.0190869701403763","0.0362309969579372"
"Never","1990","35-65 y.","Employed","154","0.0286134815929145","0.022983027294289","0.03424393589154"
"Never","1990","66 and older","Not Employed","38","0.0405768496924545","0.0284205305091264","0.0527331688757826"
"Never","1990","66 and older","Employed","1","","",""
"Daily","1991","16-34 y.","Not Employed","","","",""
"Daily","1991","16-34 y.","Employed","","","",""
"Daily","1991","35-65 y.","Not Employed","","","",""
"Daily","1991","35-65 y.","Employed","","","",""
"Daily","1991","66 and older","Not Employed","","","",""
"Daily","1991","66 and older","Employed","","","",""
"Min 1x per week","1991","16-34 y.","Not Employed","","","",""
"Min 1x per week","1991","16-34 y.","Employed","","","",""
"Min 1x per week","1991","35-65 y.","Not Employed","","","",""
"Min 1x per week","1991","35-65 y.","Employed","","","",""
