"pli0081","year","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Male","271","0.048517661281171","0.0423586985202858","0.0546766240420563"
"Daily","1990","Female","443","0.0850823357971341","0.0771894070778615","0.0929752645164066"
"Min 1x per week","1990","Male","1680","0.337885635870295","0.324327229291968","0.351444042448621"
"Min 1x per week","1990","Female","1855","0.372215379101545","0.358540296283665","0.385890461919424"
"Min 1x per month","1990","Male","1378","0.324291105998905","0.310872585930606","0.337709626067203"
"Min 1x per month","1990","Female","1365","0.306434391706753","0.293392517712954","0.319476265700551"
"Rarely","1990","Male","1137","0.259227992753434","0.246666521372027","0.27178946413484"
"Rarely","1990","Female","965","0.20913106607539","0.197626002941613","0.220636129209168"
"Never","1990","Male","209","0.0300776040961962","0.0251815365983462","0.0349736715940462"
"Never","1990","Female","172","0.0271368273191782","0.0225402677819566","0.0317333868563997"
"Daily","1991","Male","","","",""
"Daily","1991","Female","","","",""
"Min 1x per week","1991","Male","","","",""
"Min 1x per week","1991","Female","","","",""
"Min 1x per month","1991","Male","","","",""
"Min 1x per month","1991","Female","","","",""
"Rarely","1991","Male","","","",""
"Rarely","1991","Female","","","",""
"Never","1991","Male","","","",""
"Never","1991","Female","","","",""
"Daily","1992","Male","","","",""
"Daily","1992","Female","","","",""
"Min 1x per week","1992","Male","","","",""
"Min 1x per week","1992","Female","","","",""
"Min 1x per month","1992","Male","","","",""
"Min 1x per month","1992","Female","","","",""
"Rarely","1992","Male","","","",""
"Rarely","1992","Female","","","",""
"Never","1992","Male","","","",""
"Never","1992","Female","","","",""
"Daily","1993","Male","","","",""
"Daily","1993","Female","","","",""
"Min 1x per week","1993","Male","","","",""
"Min 1x per week","1993","Female","","","",""
"Min 1x per month","1993","Male","","","",""
"Min 1x per month","1993","Female","","","",""
"Rarely","1993","Male","","","",""
"Rarely","1993","Female","","","",""
"Never","1993","Male","","","",""
"Never","1993","Female","","","",""
"Daily","1994","Male","","","",""
"Daily","1994","Female","","","",""
"Min 1x per week","1994","Male","","","",""
"Min 1x per week","1994","Female","","","",""
"Min 1x per month","1994","Male","","","",""
"Min 1x per month","1994","Female","","","",""
"Rarely","1994","Male","","","",""
