"pli0081","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Not Employed","no migration background","194","0.0842547864937388","0.0731695730661719","0.0953399999213056"
"Daily","1990","Not Employed","direct migration background","92","0.103338550312503","0.0822318602451525","0.124445240379854"
"Daily","1990","Not Employed","indirect migration background","13","","",""
"Daily","1990","Employed","no migration background","238","0.0527130655652793","0.045981379299061","0.0594447518314975"
"Daily","1990","Employed","direct migration background","162","0.0716917647116127","0.0595598620041229","0.0838236674191026"
"Daily","1990","Employed","indirect migration background","15","","",""
"Min 1x per week","1990","Not Employed","no migration background","824","0.345726266741422","0.326745866324703","0.364706667158141"
"Min 1x per week","1990","Not Employed","direct migration background","330","0.382135616454908","0.348443364424657","0.41582786848516"
"Min 1x per week","1990","Not Employed","indirect migration background","49","0.288188021779111","0.206812231500583","0.369563812057638"
"Min 1x per week","1990","Employed","no migration background","1545","0.360104307627003","0.345643494684711","0.374565120569295"
"Min 1x per week","1990","Employed","direct migration background","708","0.358477736847603","0.335925732705131","0.381029740990074"
"Min 1x per week","1990","Employed","indirect migration background","79","0.406844676972341","0.334062070922642","0.47962728302204"
"Min 1x per month","1990","Not Employed","no migration background","795","0.315084611014826","0.296545389329822","0.33362383269983"
"Min 1x per month","1990","Not Employed","direct migration background","147","0.228151011628186","0.199053753258221","0.25724826999815"
"Min 1x per month","1990","Not Employed","indirect migration background","28","","",""
"Min 1x per month","1990","Employed","no migration background","1395","0.33274720564779","0.318552500823116","0.346941910472464"
"Min 1x per month","1990","Employed","direct migration background","346","0.238119080715106","0.218088717294156","0.258149444136055"
"Min 1x per month","1990","Employed","indirect migration background","32","0.248780964420159","0.184730699212791","0.312831229627526"
"Rarely","1990","Not Employed","no migration background","528","0.222392067245626","0.205796220090333","0.238987914400919"
"Rarely","1990","Not Employed","direct migration background","162","0.238914373764209","0.209347010244873","0.268481737283544"
"Rarely","1990","Not Employed","indirect migration background","20","","",""
"Rarely","1990","Employed","no migration background","996","0.239903494426435","0.227039477237293","0.252767511615577"
"Rarely","1990","Employed","direct migration background","357","0.236159525287405","0.216186113815584","0.256132936759227"
"Rarely","1990","Employed","indirect migration background","39","0.203154639711947","0.143543220230911","0.262766059192983"
"Never","1990","Not Employed","no migration background","71","0.0325422685043873","0.0254611909466258","0.0396233460621488"
"Never","1990","Not Employed","direct migration background","68","0.0474604478401939","0.0327175747767585","0.0622033209036292"
"Never","1990","Not Employed","indirect migration background","9","","",""
"Never","1990","Employed","no migration background","59","0.0145319267334924","0.0109269137268473","0.0181369397401375"
"Never","1990","Employed","direct migration background","164","0.0955518924382731","0.0817270670287406","0.109376717847806"
"Never","1990","Employed","indirect migration background","10","","",""
"Daily","1991","Not Employed","no migration background","","","",""
"Daily","1991","Not Employed","direct migration background","","","",""
"Daily","1991","Not Employed","indirect migration background","","","",""
"Daily","1991","Employed","no migration background","","","",""
"Daily","1991","Employed","direct migration background","","","",""
"Daily","1991","Employed","indirect migration background","","","",""
"Min 1x per week","1991","Not Employed","no migration background","","","",""
"Min 1x per week","1991","Not Employed","direct migration background","","","",""
"Min 1x per week","1991","Not Employed","indirect migration background","","","",""
"Min 1x per week","1991","Employed","no migration background","","","",""
"Min 1x per week","1991","Employed","direct migration background","","","",""
"Min 1x per week","1991","Employed","indirect migration background","","","",""
"Min 1x per month","1991","Not Employed","no migration background","","","",""
"Min 1x per month","1991","Not Employed","direct migration background","","","",""
"Min 1x per month","1991","Not Employed","indirect migration background","","","",""
"Min 1x per month","1991","Employed","no migration background","","","",""
"Min 1x per month","1991","Employed","direct migration background","","","",""
"Min 1x per month","1991","Employed","indirect migration background","","","",""
"Rarely","1991","Not Employed","no migration background","","","",""
"Rarely","1991","Not Employed","direct migration background","","","",""
"Rarely","1991","Not Employed","indirect migration background","","","",""
"Rarely","1991","Employed","no migration background","","","",""
"Rarely","1991","Employed","direct migration background","","","",""
"Rarely","1991","Employed","indirect migration background","","","",""
"Never","1991","Not Employed","no migration background","","","",""
"Never","1991","Not Employed","direct migration background","","","",""
"Never","1991","Not Employed","indirect migration background","","","",""
"Never","1991","Employed","no migration background","","","",""
"Never","1991","Employed","direct migration background","","","",""
"Never","1991","Employed","indirect migration background","","","",""
"Daily","1992","Not Employed","no migration background","","","",""
"Daily","1992","Not Employed","direct migration background","","","",""
"Daily","1992","Not Employed","indirect migration background","","","",""
"Daily","1992","Employed","no migration background","","","",""
"Daily","1992","Employed","direct migration background","","","",""
"Daily","1992","Employed","indirect migration background","","","",""
"Min 1x per week","1992","Not Employed","no migration background","","","",""
"Min 1x per week","1992","Not Employed","direct migration background","","","",""
"Min 1x per week","1992","Not Employed","indirect migration background","","","",""
"Min 1x per week","1992","Employed","no migration background","","","",""
"Min 1x per week","1992","Employed","direct migration background","","","",""
"Min 1x per week","1992","Employed","indirect migration background","","","",""
"Min 1x per month","1992","Not Employed","no migration background","","","",""
"Min 1x per month","1992","Not Employed","direct migration background","","","",""
"Min 1x per month","1992","Not Employed","indirect migration background","","","",""
"Min 1x per month","1992","Employed","no migration background","","","",""
"Min 1x per month","1992","Employed","direct migration background","","","",""
"Min 1x per month","1992","Employed","indirect migration background","","","",""
"Rarely","1992","Not Employed","no migration background","","","",""
"Rarely","1992","Not Employed","direct migration background","","","",""
"Rarely","1992","Not Employed","indirect migration background","","","",""
"Rarely","1992","Employed","no migration background","","","",""
"Rarely","1992","Employed","direct migration background","","","",""
"Rarely","1992","Employed","indirect migration background","","","",""
"Never","1992","Not Employed","no migration background","","","",""
"Never","1992","Not Employed","direct migration background","","","",""
"Never","1992","Not Employed","indirect migration background","","","",""
"Never","1992","Employed","no migration background","","","",""
"Never","1992","Employed","direct migration background","","","",""
"Never","1992","Employed","indirect migration background","","","",""
"Daily","1993","Not Employed","no migration background","","","",""
"Daily","1993","Not Employed","direct migration background","","","",""
"Daily","1993","Not Employed","indirect migration background","","","",""
"Daily","1993","Employed","no migration background","","","",""
"Daily","1993","Employed","direct migration background","","","",""
"Daily","1993","Employed","indirect migration background","","","",""
"Min 1x per week","1993","Not Employed","no migration background","","","",""
"Min 1x per week","1993","Not Employed","direct migration background","","","",""
"Min 1x per week","1993","Not Employed","indirect migration background","","","",""
"Min 1x per week","1993","Employed","no migration background","","","",""
"Min 1x per week","1993","Employed","direct migration background","","","",""
"Min 1x per week","1993","Employed","indirect migration background","","","",""
"Min 1x per month","1993","Not Employed","no migration background","","","",""
"Min 1x per month","1993","Not Employed","direct migration background","","","",""
"Min 1x per month","1993","Not Employed","indirect migration background","","","",""
"Min 1x per month","1993","Employed","no migration background","","","",""
"Min 1x per month","1993","Employed","direct migration background","","","",""
"Min 1x per month","1993","Employed","indirect migration background","","","",""
"Rarely","1993","Not Employed","no migration background","","","",""
"Rarely","1993","Not Employed","direct migration background","","","",""
"Rarely","1993","Not Employed","indirect migration background","","","",""
"Rarely","1993","Employed","no migration background","","","",""
"Rarely","1993","Employed","direct migration background","","","",""
"Rarely","1993","Employed","indirect migration background","","","",""
"Never","1993","Not Employed","no migration background","","","",""
"Never","1993","Not Employed","direct migration background","","","",""
"Never","1993","Not Employed","indirect migration background","","","",""
"Never","1993","Employed","no migration background","","","",""
"Never","1993","Employed","direct migration background","","","",""
"Never","1993","Employed","indirect migration background","","","",""
"Daily","1994","Not Employed","no migration background","","","",""
"Daily","1994","Not Employed","direct migration background","","","",""
"Daily","1994","Not Employed","indirect migration background","","","",""
"Daily","1994","Employed","no migration background","","","",""
"Daily","1994","Employed","direct migration background","","","",""
"Daily","1994","Employed","indirect migration background","","","",""
"Min 1x per week","1994","Not Employed","no migration background","","","",""
"Min 1x per week","1994","Not Employed","direct migration background","","","",""
"Min 1x per week","1994","Not Employed","indirect migration background","","","",""
"Min 1x per week","1994","Employed","no migration background","","","",""
"Min 1x per week","1994","Employed","direct migration background","","","",""
"Min 1x per week","1994","Employed","indirect migration background","","","",""
"Min 1x per month","1994","Not Employed","no migration background","","","",""
"Min 1x per month","1994","Not Employed","direct migration background","","","",""
"Min 1x per month","1994","Not Employed","indirect migration background","","","",""
"Min 1x per month","1994","Employed","no migration background","","","",""
"Min 1x per month","1994","Employed","direct migration background","","","",""
"Min 1x per month","1994","Employed","indirect migration background","","","",""
"Rarely","1994","Not Employed","no migration background","","","",""
"Rarely","1994","Not Employed","direct migration background","","","",""
"Rarely","1994","Not Employed","indirect migration background","","","",""
"Rarely","1994","Employed","no migration background","","","",""
"Rarely","1994","Employed","direct migration background","","","",""
"Rarely","1994","Employed","indirect migration background","","","",""
"Never","1994","Not Employed","no migration background","","","",""
"Never","1994","Not Employed","direct migration background","","","",""
"Never","1994","Not Employed","indirect migration background","","","",""
"Never","1994","Employed","no migration background","","","",""
"Never","1994","Employed","direct migration background","","","",""
"Never","1994","Employed","indirect migration background","","","",""
"Daily","1995","Not Employed","no migration background","313","0.0926800141974998","0.0831179962000112","0.102242032194988"
"Daily","1995","Not Employed","direct migration background","151","0.129939183437196","0.110042089555079","0.149836277319312"
"Daily","1995","Not Employed","indirect migration background","19","","",""
"Daily","1995","Employed","no migration background","396","0.053872270711187","0.0483630255828356","0.0593815158395385"
"Daily","1995","Employed","direct migration background","170","0.0908525704695489","0.0771987533890581","0.10450638755004"
"Daily","1995","Employed","indirect migration background","40","0.0877794856059984","0.0576567316147293","0.117902239597268"
"Min 1x per week","1995","Not Employed","no migration background","1403","0.390172817204055","0.374088294928829","0.406257339479281"
"Min 1x per week","1995","Not Employed","direct migration background","511","0.402703366749458","0.373681025729719","0.431725707769198"
"Min 1x per week","1995","Not Employed","indirect migration background","65","0.260159509915802","0.194594403815215","0.32572461601639"
"Min 1x per week","1995","Employed","no migration background","2443","0.37316420442471","0.361362045637838","0.384966363211582"
"Min 1x per week","1995","Employed","direct migration background","784","0.402295472993269","0.378999322751733","0.425591623234804"
"Min 1x per week","1995","Employed","indirect migration background","159","0.370627658087342","0.319214890667007","0.422040425507676"
"Min 1x per month","1995","Not Employed","no migration background","1044","0.28201737914078","0.267179522372743","0.296855235908817"
"Min 1x per month","1995","Not Employed","direct migration background","204","0.222449620498124","0.197838868693241","0.247060372303008"
"Min 1x per month","1995","Not Employed","indirect migration background","39","0.245557449841855","0.181233380413962","0.309881519269748"
"Min 1x per month","1995","Employed","no migration background","2136","0.328438698793341","0.316978172484304","0.339899225102377"
"Min 1x per month","1995","Employed","direct migration background","354","0.229682007161938","0.209698724956242","0.249665289367635"
"Min 1x per month","1995","Employed","indirect migration background","71","0.258289033719796","0.211696258871645","0.304881808567947"
"Rarely","1995","Not Employed","no migration background","674","0.203233849761073","0.189964802777127","0.21650289674502"
"Rarely","1995","Not Employed","direct migration background","163","0.175159008353713","0.152666073055664","0.197651943651762"
"Rarely","1995","Not Employed","indirect migration background","34","0.309059330086065","0.239999552491901","0.378119107680229"
"Rarely","1995","Employed","no migration background","1380","0.227241973047335","0.217016095019198","0.237467851075472"
"Rarely","1995","Employed","direct migration background","283","0.209488761388294","0.190155607762992","0.228821915013597"
"Rarely","1995","Employed","indirect migration background","51","0.203966913130368","0.16107319799225","0.246860628268486"
"Never","1995","Not Employed","no migration background","99","0.0318959396965915","0.0261015861043804","0.0376902932888027"
"Never","1995","Not Employed","direct migration background","68","0.0697488209615086","0.0546753479694118","0.0848222939536054"
"Never","1995","Not Employed","indirect migration background","15","","",""
"Never","1995","Employed","no migration background","96","0.0172828530234278","0.0141026374838499","0.0204630685630056"
"Never","1995","Employed","direct migration background","111","0.0676811879869498","0.0557472294834561","0.0796151464904435"
"Never","1995","Employed","indirect migration background","18","","",""
"Daily","1996","Not Employed","no migration background","","","",""
"Daily","1996","Not Employed","direct migration background","","","",""
"Daily","1996","Not Employed","indirect migration background","","","",""
"Daily","1996","Employed","no migration background","","","",""
"Daily","1996","Employed","direct migration background","","","",""
"Daily","1996","Employed","indirect migration background","","","",""
"Min 1x per week","1996","Not Employed","no migration background","","","",""
"Min 1x per week","1996","Not Employed","direct migration background","","","",""
"Min 1x per week","1996","Not Employed","indirect migration background","","","",""
"Min 1x per week","1996","Employed","no migration background","","","",""
"Min 1x per week","1996","Employed","direct migration background","","","",""
"Min 1x per week","1996","Employed","indirect migration background","","","",""
"Min 1x per month","1996","Not Employed","no migration background","","","",""
"Min 1x per month","1996","Not Employed","direct migration background","","","",""
"Min 1x per month","1996","Not Employed","indirect migration background","","","",""
"Min 1x per month","1996","Employed","no migration background","","","",""
"Min 1x per month","1996","Employed","direct migration background","","","",""
"Min 1x per month","1996","Employed","indirect migration background","","","",""
"Rarely","1996","Not Employed","no migration background","","","",""
"Rarely","1996","Not Employed","direct migration background","","","",""
"Rarely","1996","Not Employed","indirect migration background","","","",""
"Rarely","1996","Employed","no migration background","","","",""
"Rarely","1996","Employed","direct migration background","","","",""
"Rarely","1996","Employed","indirect migration background","","","",""
"Never","1996","Not Employed","no migration background","","","",""
"Never","1996","Not Employed","direct migration background","","","",""
"Never","1996","Not Employed","indirect migration background","","","",""
"Never","1996","Employed","no migration background","","","",""
"Never","1996","Employed","direct migration background","","","",""
"Never","1996","Employed","indirect migration background","","","",""
"Daily","1997","Not Employed","no migration background","","","",""
"Daily","1997","Not Employed","direct migration background","","","",""
"Daily","1997","Not Employed","indirect migration background","","","",""
"Daily","1997","Employed","no migration background","","","",""
"Daily","1997","Employed","direct migration background","","","",""
"Daily","1997","Employed","indirect migration background","","","",""
"Min 1x per week","1997","Not Employed","no migration background","","","",""
"Min 1x per week","1997","Not Employed","direct migration background","","","",""
"Min 1x per week","1997","Not Employed","indirect migration background","","","",""
"Min 1x per week","1997","Employed","no migration background","","","",""
"Min 1x per week","1997","Employed","direct migration background","","","",""
"Min 1x per week","1997","Employed","indirect migration background","","","",""
"Min 1x per month","1997","Not Employed","no migration background","","","",""
"Min 1x per month","1997","Not Employed","direct migration background","","","",""
"Min 1x per month","1997","Not Employed","indirect migration background","","","",""
"Min 1x per month","1997","Employed","no migration background","","","",""
"Min 1x per month","1997","Employed","direct migration background","","","",""
"Min 1x per month","1997","Employed","indirect migration background","","","",""
"Rarely","1997","Not Employed","no migration background","","","",""
"Rarely","1997","Not Employed","direct migration background","","","",""
"Rarely","1997","Not Employed","indirect migration background","","","",""
"Rarely","1997","Employed","no migration background","","","",""
"Rarely","1997","Employed","direct migration background","","","",""
"Rarely","1997","Employed","indirect migration background","","","",""
"Never","1997","Not Employed","no migration background","","","",""
"Never","1997","Not Employed","direct migration background","","","",""
"Never","1997","Not Employed","indirect migration background","","","",""
"Never","1997","Employed","no migration background","","","",""
"Never","1997","Employed","direct migration background","","","",""
"Never","1997","Employed","indirect migration background","","","",""
"Daily","1998","Not Employed","no migration background","408","0.0936968431263076","0.0848680856793846","0.102525600573231"
"Daily","1998","Not Employed","direct migration background","174","0.13572671996312","0.114530625580195","0.156922814346045"
