"pli0081","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","1990","in school","12","","",""
"Daily","1990","inadequately","78","0.112935569897057","0.0882980823097531","0.137573057484362"
"Daily","1990","general elemantary","248","0.101626381634322","0.0897079455304089","0.113544817738234"
"Daily","1990","middle vocational","306","0.0603846587728692","0.0534634691109263","0.0673058484348122"
"Daily","1990","vocational + Abi","9","","",""
"Daily","1990","higher vocational","29","","",""
"Daily","1990","higher education","21","","",""
"Min 1x per week","1990","in school","39","0.198485097620034","0.136874573070969","0.260095622169098"
"Min 1x per week","1990","inadequately","267","0.378622701588271","0.340866831911423","0.416378571265118"
"Min 1x per week","1990","general elemantary","949","0.357524751501901","0.338620094448312","0.376429408555491"
"Min 1x per week","1990","middle vocational","1727","0.367790584905548","0.353779454471999","0.381801715339096"
"Min 1x per week","1990","vocational + Abi","108","0.346294719934559","0.291908564805538","0.400680875063579"
"Min 1x per week","1990","higher vocational","161","0.32077386581141","0.2803817975782","0.36116593404462"
"Min 1x per week","1990","higher education","216","0.322468872359554","0.287792879446981","0.357144865272128"
"Min 1x per month","1990","in school","55","0.394317348033024","0.318828871193462","0.469805824872587"
"Min 1x per month","1990","inadequately","117","0.195325055866738","0.164465286219793","0.226184825513683"
"Min 1x per month","1990","general elemantary","651","0.300775882625666","0.282686770501806","0.318864994749526"
"Min 1x per month","1990","middle vocational","1386","0.317267895004332","0.303744659254387","0.330791130754278"
"Min 1x per month","1990","vocational + Abi","90","0.35450192926012","0.299821589852546","0.409182268667693"
"Min 1x per month","1990","higher vocational","187","0.347654203134707","0.306444253389559","0.388864152879856"
"Min 1x per month","1990","higher education","228","0.327742886844835","0.292920805941861","0.362564967747809"
"Rarely","1990","in school","43","0.315284023549484","0.243514284727103","0.387053762371866"
"Rarely","1990","inadequately","108","0.200745001205224","0.169565546722943","0.231924455687505"
"Rarely","1990","general elemantary","487","0.202793235873975","0.186933360655535","0.218653111092416"
"Rarely","1990","middle vocational","1002","0.231433030450697","0.219178521262688","0.243687539638705"
"Rarely","1990","vocational + Abi","74","0.243376481246183","0.194324828165412","0.292428134326954"
"Rarely","1990","higher vocational","129","0.258958948732347","0.221051373661426","0.296866523803269"
"Rarely","1990","higher education","222","0.301422942570862","0.267380893643971","0.335464991497754"
"Never","1990","in school","12","","",""
"Never","1990","inadequately","64","0.11237167144271","0.087787959438841","0.136955383446578"
"Never","1990","general elemantary","134","0.0372797483641358","0.029807107921892","0.0447523888063795"
"Never","1990","middle vocational","129","0.0231238308665541","0.0187567418711894","0.0274909198619189"
"Never","1990","vocational + Abi","13","","",""
"Never","1990","higher vocational","7","","",""
"Never","1990","higher education","11","","",""
"Daily","1991","in school","","","",""
"Daily","1991","inadequately","","","",""
"Daily","1991","general elemantary","","","",""
"Daily","1991","middle vocational","","","",""
"Daily","1991","vocational + Abi","","","",""
"Daily","1991","higher vocational","","","",""
"Daily","1991","higher education","","","",""
"Min 1x per week","1991","in school","","","",""
"Min 1x per week","1991","inadequately","","","",""
"Min 1x per week","1991","general elemantary","","","",""
"Min 1x per week","1991","middle vocational","","","",""
"Min 1x per week","1991","vocational + Abi","","","",""
"Min 1x per week","1991","higher vocational","","","",""
"Min 1x per week","1991","higher education","","","",""
"Min 1x per month","1991","in school","","","",""
"Min 1x per month","1991","inadequately","","","",""
"Min 1x per month","1991","general elemantary","","","",""
"Min 1x per month","1991","middle vocational","","","",""
"Min 1x per month","1991","vocational + Abi","","","",""
"Min 1x per month","1991","higher vocational","","","",""
"Min 1x per month","1991","higher education","","","",""
"Rarely","1991","in school","","","",""
"Rarely","1991","inadequately","","","",""
"Rarely","1991","general elemantary","","","",""
"Rarely","1991","middle vocational","","","",""
"Rarely","1991","vocational + Abi","","","",""
"Rarely","1991","higher vocational","","","",""
"Rarely","1991","higher education","","","",""
"Never","1991","in school","","","",""
"Never","1991","inadequately","","","",""
"Never","1991","general elemantary","","","",""
"Never","1991","middle vocational","","","",""
"Never","1991","vocational + Abi","","","",""
"Never","1991","higher vocational","","","",""
"Never","1991","higher education","","","",""
"Daily","1992","in school","","","",""
"Daily","1992","inadequately","","","",""
"Daily","1992","general elemantary","","","",""
"Daily","1992","middle vocational","","","",""
"Daily","1992","vocational + Abi","","","",""
"Daily","1992","higher vocational","","","",""
"Daily","1992","higher education","","","",""
"Min 1x per week","1992","in school","","","",""
"Min 1x per week","1992","inadequately","","","",""
"Min 1x per week","1992","general elemantary","","","",""
"Min 1x per week","1992","middle vocational","","","",""
"Min 1x per week","1992","vocational + Abi","","","",""
"Min 1x per week","1992","higher vocational","","","",""
"Min 1x per week","1992","higher education","","","",""
"Min 1x per month","1992","in school","","","",""
"Min 1x per month","1992","inadequately","","","",""
"Min 1x per month","1992","general elemantary","","","",""
"Min 1x per month","1992","middle vocational","","","",""
"Min 1x per month","1992","vocational + Abi","","","",""
"Min 1x per month","1992","higher vocational","","","",""
"Min 1x per month","1992","higher education","","","",""
"Rarely","1992","in school","","","",""
"Rarely","1992","inadequately","","","",""
"Rarely","1992","general elemantary","","","",""
