"year","age_gr","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"1984","16-34 y.","38.66","40","2676","38.38","38.94","32","40","40","41"
"1984","35-65 y.","37.36","40","3589","37.09","37.63","21","40","40","40"
"1984","66 and older","","","","","","","","",""
"1985","16-34 y.","38.37","40","2343","38.1","38.64","35","40","40","40"
"1985","35-65 y.","36.51","40","3169","36.24","36.78","20","39","40","40"
"1985","66 and older","","","","","","","","",""
"1986","16-34 y.","38.23","40","2365","37.98","38.48","35","39","40","40"
"1986","35-65 y.","36.56","40","2967","36.29","36.83","22","38","40","40"
"1986","66 and older","","","","","","","","",""
"1987","16-34 y.","37.96","40","2370","37.7","38.22","35","38.5","40","40"
"1987","35-65 y.","36.36","40","2954","36.08","36.64","22","38","40","40"
"1987","66 and older","","","","","","","","",""
"1988","16-34 y.","37.81","40","2268","37.53","38.09","34","38","40","40"
"1988","35-65 y.","36.01","40","2777","35.72","36.3","20","38","40","40"
"1988","66 and older","","","","","","","","",""
"1989","16-34 y.","37.37","40","2298","37.09","37.65","30","38","40","40"
"1989","35-65 y.","36.03","39","2704","35.74","36.32","20","37","40","40"
"1989","66 and older","","","","","","","","",""
"1990","16-34 y.","37.98","39","3532","37.76","38.2","34","37.5","40","43.7999992370605"
"1990","35-65 y.","36.72","38.5","4509","36.49","36.95","22.5","37","40","43.7999992370605"
"1990","66 and older","","","","","","","","",""
"1991","16-34 y.","37.12","38.5","3267","36.89","37.35","30","37.5","40","40"
"1991","35-65 y.","35.87","38.5","4253","35.64","36.1","20.5","37","40","40"
"1991","66 and older","","","","","","","","",""
"1992","16-34 y.","36.92","38.5","3047","36.69","37.15","30","37.5","40","40"
"1992","35-65 y.","35.58","38.5","3935","35.34","35.82","20","37","40","40"
"1992","66 and older","","","","","","","","",""
"1993","16-34 y.","36.79","38.5","2932","36.56","37.02","30","37.5","40","40"
"1993","35-65 y.","35.39","38.5","3785","35.15","35.63","20","37","40","40"
"1993","66 and older","","","","","","","","",""
"1994","16-34 y.","36.64","38.5","2814","36.39","36.89","26.7999992370605","37.5","40","40"
"1994","35-65 y.","35.22","38.5","3647","34.96","35.48","20","36","40","40"
"1994","66 and older","","","","","","","","",""
"1995","16-34 y.","36.33","38.5","2933","36.06","36.6","25","37","40","40"
"1995","35-65 y.","34.76","38","3806","34.5","35.02","20","35","40","40"
"1995","66 and older","","","","","","","","",""
"1996","16-34 y.","36.2","38.5","2776","35.94","36.46","25","37","40","40"
"1996","35-65 y.","34.71","38","3731","34.45","34.97","20","35","40","40"
"1996","66 and older","","","","","","","","",""
"1997","16-34 y.","36.16","38.5","2622","35.89","36.43","25","37","40","40"
"1997","35-65 y.","34.86","38","3537","34.6","35.12","20","35","40","40"
"1997","66 and older","","","","","","","","",""
"1998","16-34 y.","36.03","38.5","2748","35.75","36.31","25","37","40","40"
"1998","35-65 y.","34.64","38","3995","34.38","34.9","20","35","40","40"
"1998","66 and older","","","","","","","","",""
"1999","16-34 y.","35.83","38.5","2703","35.54","36.12","20","37","40","40"
"1999","35-65 y.","34.64","38","4007","34.38","34.9","20","35","40","40"
"1999","66 and older","","","","","","","","",""
"2000","16-34 y.","35.78","38.5","3994","35.53","36.03","20","37","40","40"
"2000","35-65 y.","34.56","38","7147","34.36","34.76","20","35","40","40"
"2000","66 and older","","","","","","","","",""
"2001","16-34 y.","35.3","38.5","3593","35.01","35.59","20","36","40","40"
"2001","35-65 y.","34.19","38","6848","33.97","34.41","20","32","40","40"
"2001","66 and older","16.04","12","35","11.6","20.48","5","9","20","38.5"
"2002","16-34 y.","35.96","38.5","3337","35.67","36.25","20","37","40","40"
"2002","35-65 y.","33.95","38","7200","33.74","34.16","20","30","40","40"
"2002","66 and older","","","","","","","","",""
"2003","16-34 y.","34.97","38.5","3211","34.64","35.3","20","35","40","40"
"2003","35-65 y.","33.74","38","7046","33.52","33.96","19.2999992370605","30","40","40"
"2003","66 and older","17.03","12","40","12.86","21.2","7","8","20","40"
"2004","16-34 y.","35.79","38.5","2874","35.47","36.11","22","37","40","40"
"2004","35-65 y.","33.92","38","6662","33.7","34.14","19.5","30","40","40"
"2004","66 and older","11.4","10","36","8.86","13.94","5","6.5","15","20"
"2005","16-34 y.","36.07","38.5","2657","35.74","36.4","24","37","40","40"
"2005","35-65 y.","34.27","38.5","6412","34.04","34.5","20","30","40","40"
"2005","66 and older","14.17","10","36","10.41","17.93","4","7","20","25"
"2006","16-34 y.","35.85","38.5","2620","35.51","36.19","20.5","37","40","40"
"2006","35-65 y.","34.09","38.5","6828","33.87","34.31","20","30","40","40"
"2006","66 and older","16.03","14.11","49","12.84","19.22","5","9","20","25"
"2007","16-34 y.","35.84","40","2517","35.48","36.2","20","37","40","40"
"2007","35-65 y.","34.19","38.5","6593","33.96","34.42","20","30","40","40"
"2007","66 and older","14.32","10","51","10.77","17.87","4","10","18","25"
"2008","16-34 y.","36.09","40","2355","35.73","36.45","20","37.5","40","40"
"2008","35-65 y.","34.18","38.5","6287","33.95","34.41","20","30","40","40"
"2008","66 and older","14.27","10","42","10.59","17.95","6","8","18","24"
"2009","16-34 y.","35.47","40","2201","35.09","35.85","20","36","40","40"
"2009","35-65 y.","34.36","38.5","5913","34.12","34.6","20","30","40","40"
"2009","66 and older","14.46","10","53","11.55","17.37","6","8","18","25"
"2010","16-34 y.","35.39","39","3288","35.03","35.75","20","35","40","40"
"2010","35-65 y.","33.85","38.5","8074","33.62","34.08","18.5","30","40","40"
"2010","66 and older","13.36","8","71","10.72","16","4","6","18","25"
"2011","16-34 y.","35.76","40","3670","35.42","36.1","20","36","40","40"
"2011","35-65 y.","33.96","38.5","10131","33.76","34.16","19.2000007629395","30","40","40"
"2011","66 and older","16.35","10","65","13.33","19.37","6","8","20","40"
"2012","16-34 y.","35.36","40","3454","35.02","35.7","20","35","40","40"
"2012","35-65 y.","34.16","38.5","10119","33.96","34.36","20","30","40","40"
"2012","66 and older","15.7","10","87","13.07","18.33","4","6","20","30"
"2013","16-34 y.","35.31","40","4330","35","35.62","20","35","40","40"
"2013","35-65 y.","34.22","38.5","11161","34.03","34.41","20","30","40","40"
"2013","66 and older","10.78","10","86","8.88","12.68","3.20000004768372","5","15","20"
"2014","16-34 y.","34.47","39","3740","34.13","34.81","16","35","40","40"
"2014","35-65 y.","33.77","38.5","10142","33.57","33.97","19.5","30","40","40"
"2014","66 and older","13.03","10","117","11.01","15.05","3","6","20","25"
"2015","16-34 y.","35.02","39.5","3753","34.69","35.35","20","35","40","40"
"2015","35-65 y.","33.86","38.5","9897","33.66","34.06","19.5","30","40","40"
"2015","66 and older","11.19","10","115","9.31","13.07","4","6","12","24"
"2016","16-34 y.","34.41","39","3237","34.05","34.77","15","35","40","40"
"2016","35-65 y.","33.82","38.5","9302","33.61","34.03","19.5","30","40","40"
"2016","66 and older","12.06","10","122","10.2","13.92","5","7.5","12","20"
"2017","16-34 y.","34.53","39","3958","34.2","34.86","18","35","40","40"
"2017","35-65 y.","33.89","38.5","10674","33.7","34.08","20","30","40","40"
"2017","66 and older","12.71","10","152","11.09","14.33","4","8","15","24"
"2018","16-34 y.","34.3","39","4114","33.97","34.63","16","35","40","40"
"2018","35-65 y.","33.92","38.5","10404","33.73","34.11","20","30","40","40"
"2018","66 and older","12.87","10","188","11.37","14.37","4","6","15","25"
"2019","16-34 y.","34.94","39","3816","34.61","35.27","20","35","40","40"
"2019","35-65 y.","33.89","38","9969","33.7","34.08","20","30","40","40"
"2019","66 and older","15.06","10","192","13.29","16.83","5","8","20","35"
