"ple0081_h","year","n","percent","lower_confidence","upper_confidence"
"Yes","2002","7058","0.304320559768675","0.29839306790446","0.310248051632889"
"No","2002","16089","0.695679440231326","0.689751948367111","0.70160693209554"
"Yes","2003","","","",""
"No","2003","","","",""
"Yes","2004","6405","0.298846856755477","0.292753884370457","0.304939829140498"
"No","2004","15277","0.701153143244523","0.695060170859502","0.707246115629543"
"Yes","2005","","","",""
"No","2005","","","",""
"Yes","2006","6303","0.30144504435246","0.295388724978505","0.307501363726415"
"No","2006","15751","0.69855495564754","0.692498636273585","0.704611275021495"
"Yes","2007","","","",""
"No","2007","","","",""
"Yes","2008","5216","0.283959674535713","0.277615306870995","0.290304042200431"
"No","2008","14189","0.716040325464287","0.709695957799569","0.722384693129005"
"Yes","2009","","","",""
"No","2009","","","",""
"Yes","2010","4354","0.269973153492534","0.26324501793075","0.276701289054319"
"No","2010","12371","0.730026846507466","0.723298710945681","0.73675498206925"
"Yes","2011","","","",""
"No","2011","","","",""
"Yes","2012","5279","0.264869726264069","0.258832365247309","0.270907087280828"
"No","2012","15242","0.735130273735931","0.729092912719172","0.741167634752691"
"Yes","2013","","","",""
"No","2013","","","",""
"Yes","2014","7435","0.267405985495092","0.262142463170691","0.272669507819493"
"No","2014","19728","0.732594014504908","0.727330492180507","0.737857536829309"
"Yes","2015","","","",""
"No","2015","","","",""
"Yes","2016","6320","0.255103184351253","0.249618344619204","0.260588024083301"
"No","2016","17945","0.744896815648747","0.739411975916699","0.750381655380796"
"Yes","2017","","","",""
"No","2017","","","",""
"Yes","2018","6507","0.24867209951952","0.243385367143005","0.253958831896036"
"No","2018","19172","0.75132790048048","0.746041168103964","0.756614632856995"
