"ple0081_h","year","e11102","n","percent","lower_confidence","upper_confidence","value"
"No","2002","Not Employed","6560","0.803678857699853","0.795135487437761","0.812222227961944","2"
"No","2002","Employed","9529","0.623384930994833","0.61558996466332","0.631179897326345","2"
"Yes","2002","Not Employed","1744","0.196321142300147","0.187777772038056","0.204864512562239","1"
"Yes","2002","Employed","5314","0.376615069005167","0.368820102673655","0.38441003533668","1"
"No","2003","Not Employed","","","","","2"
"No","2003","Employed","","","","","2"
"Yes","2003","Not Employed","","","","","1"
"Yes","2003","Employed","","","","","1"
"No","2004","Not Employed","6449","0.79527175133798","0.786536663283803","0.804006839392156","2"
"No","2004","Employed","8828","0.634110485422463","0.625980681619123","0.642240289225803","2"
"Yes","2004","Not Employed","1748","0.20472824866202","0.195993160607843","0.213463336716197","1"
"Yes","2004","Employed","4657","0.365889514577537","0.357759710774197","0.374019318380877","1"
"No","2005","Not Employed","","","","","2"
"No","2005","Employed","","","","","2"
"Yes","2005","Not Employed","","","","","1"
"Yes","2005","Employed","","","","","1"
"No","2006","Not Employed","6781","0.784199950143513","0.775497482603353","0.792902417683672","2"
"No","2006","Employed","8970","0.63924838228778","0.631138710916599","0.647358053658961","2"
"Yes","2006","Not Employed","1803","0.215800049856488","0.207097582316328","0.224502517396647","1"
"Yes","2006","Employed","4500","0.36075161771222","0.352641946341039","0.368861289083401","1"
"No","2007","Not Employed","","","","","2"
"No","2007","Employed","","","","","2"
"Yes","2007","Not Employed","","","","","1"
"Yes","2007","Employed","","","","","1"
"No","2008","Not Employed","6109","0.804834721484257","0.795860354260128","0.813809088708386","2"
"No","2008","Employed","8080","0.658033208643656","0.649514899592053","0.66655151769526","2"
"Yes","2008","Not Employed","1383","0.195165278515743","0.186190911291614","0.204139645739872","1"
"Yes","2008","Employed","3833","0.341966791356344","0.33344848230474","0.350485100407947","1"
"No","2009","Not Employed","","","","","2"
"No","2009","Employed","","","","","2"
"Yes","2009","Not Employed","","","","","1"
"Yes","2009","Employed","","","","","1"
"No","2010","Not Employed","5223","0.816143212352648","0.806626829462715","0.825659595242582","2"
"No","2010","Employed","7148","0.674453821651064","0.66543082857795","0.683476814724179","2"
"Yes","2010","Not Employed","1142","0.183856787647352","0.174340404757418","0.193373170537285","1"
"Yes","2010","Employed","3212","0.325546178348936","0.316523185275821","0.33456917142205","1"
"No","2011","Not Employed","","","","","2"
"No","2011","Employed","","","","","2"
"Yes","2011","Not Employed","","","","","1"
"Yes","2011","Employed","","","","","1"
"No","2012","Not Employed","6570","0.811738134739316","0.803198499826687","0.820277769651945","2"
"No","2012","Employed","8672","0.686462012463574","0.678319643291698","0.694604381635449","2"
"Yes","2012","Not Employed","1480","0.188261865260684","0.179722230348055","0.196801500173313","1"
"Yes","2012","Employed","3799","0.313537987536426","0.305395618364551","0.321680356708302","1"
"No","2013","Not Employed","","","","","2"
"No","2013","Employed","","","","","2"
"Yes","2013","Not Employed","","","","","1"
"Yes","2013","Employed","","","","","1"
"No","2014","Not Employed","7294","0.799857057919519","0.79176094219662","0.807953173642418","2"
"No","2014","Employed","12434","0.691939526476007","0.685153398283447","0.698725654668567","2"
"Yes","2014","Not Employed","2088","0.200142942080481","0.192046826357582","0.20823905780338","1"
"Yes","2014","Employed","5347","0.308060473523993","0.301274345331433","0.314846601716553","1"
"No","2015","Not Employed","","","","","2"
"No","2015","Employed","","","","","2"
"Yes","2015","Not Employed","","","","","1"
"Yes","2015","Employed","","","","","1"
"No","2016","Not Employed","6444","0.804730485384136","0.796107864917077","0.813353105851195","2"
"No","2016","Employed","11501","0.711142304228785","0.704151359870976","0.718133248586594","2"
"Yes","2016","Not Employed","1675","0.195269514615864","0.186646894148805","0.203892135082923","1"
"Yes","2016","Employed","4645","0.288857695771215","0.281866751413406","0.295848640129024","1"
"No","2017","Not Employed","","","","","2"
"No","2017","Employed","","","","","2"
"Yes","2017","Not Employed","","","","","1"
"Yes","2017","Employed","","","","","1"
"No","2018","Not Employed","6559","0.814662828827551","0.806260724085934","0.823064933569169","2"
"No","2018","Employed","12613","0.717745213509242","0.711069549438453","0.724420877580031","2"
"Yes","2018","Not Employed","1657","0.185337171172449","0.176935066430831","0.193739275914066","1"
"Yes","2018","Employed","4850","0.282254786490758","0.275579122419969","0.288930450561547","1"
